"","Provider_Number","FUH.30_.","FUH.30_Numerator","FUH.30_Denominator","FUH.7_.","FUH.7_Numerator","FUH.7_Denominator","HBIPS.2_Overall_Rate_Per_1000","HBIPS.2_Overall_Num","HBIPS.2_Overall_Den","HBIPS.3_Overall_Rate_Per_1000","HBIPS.3_Overall_Num","HBIPS.3_Overall_Den","HBIPS.5_Overall_._of_Total","HBIPS.5_Overall_Num","HBIPS.5_Overall_Den","SUB.1_.","SUB.1_Numerator","SUB.1_Denominator","SUB.2_.","SUB.2_Numerator","SUB.2_Denominator","SUB.2a_.","SUB.2a_Numerator","SUB.2a_Denominator","TOB.1_.","TOB.1_Numerator","TOB.1_Denominator","TOB.2_.","TOB.2_Numerator","TOB.2_Denominator","TOB.2a_.","TOB.2a_Numerator","TOB.2a_Denominator","TOB.3_.","TOB.3_Numerator","TOB.3_Denominator","TOB.3a_.","TOB.3a_Numerator","TOB.3a_Denominator","PEoC_Assessed_Response","EHR_Use_Response","HIE_Response","IMM.2_.","IMM.2_Numerator","IMM.2_Denominator","HCP_.","HCP_Numerator","HCP_Denominator"
"369",120019,"44.12","15","34","Not Available","Not Available","Not Available","0.02","2.35","6108","0.00",".58","6108","Not Available","Not Available","Not Available","97.30%","144","148","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","99.00%","199","201","90.38%","94","104","71.15%","74","104","48.42%","46","95","22.11%","21","95","No","Certified EHR Technology","Yes","96.34%","158","164","78%","18","23"
"370",121306,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00","0","1127","0.00","0","1127","Not Available","Not Available","Not Available","98.43%","188","191","69.15%","65","94","30.85%","29","94","97.91%","187","191","66.67%","86","129","33.33%","43","129","13.18%","17","129","0.00%","0","129","Yes","Certified EHR Technology","No","90.80%","79","87","75%","15","20"
"371",124001,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.09","56.32","26184","0.06","40.65","26184","Not Available","Not Available","Not Available","79.78%","71","89","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","89","89","42.31%","11","26","Not Available","Not Available","Not Available","0.00%","0","26","0.00%","0","26","Yes","Paper or Other Form","No","53.61%","104","194","79%","335","424"
"372",130002,"77.55","38","49","57.14","28","49","0.15","15.56","4189","0.01",".6","4189","Not Available","Not Available","Not Available","94.51%","379","401","96.21%","127","132","96.21%","127","132","95.88%","535","558","91.16%","299","328","80.79%","265","328","60.68%","179","295","51.86%","153","295","No","Certified EHR Technology","No","88.15%","387","439","93%","3036","3260"
"373",130003,"68.66","46","67","37.31","25","67","0.73","47.17","2710","0.46","29.92","2710","54.55%","12","22","88.50%","200","226","15.11%","34","225","14.22%","32","225","99.69%","317","318","81.87%","140","171","56.14%","96","171","55.41%","82","148","18.92%","28","148","Yes","Paper or Other Form","No","54.39%","130","239","92%","46","50"
"374",130018,"49.40","41","83","28.92","24","83","0.08","20.48","10629","0.49","125.27","10629","Not Available","Not Available","Not Available","97.95%","477","487","17.12%","19","111","11.71%","13","111","100.00%","542","542","85.35%","233","273","Not Available","Not Available","Not Available","22.07%","47","213","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","Yes","94.62%","299","316","96%","2088","2164"
"375",130028,"51.25","41","80","40.00","32","80","0.15","15.23","4226","0.04","4.08","4226","68.00%","17","25","99.75%","400","401","81.08%","60","74","79.73%","59","74","100.00%","489","489","84.59%","225","266","69.55%","185","266","64.96%","152","234","20.51%","48","234","No","Paper or Other Form","No","95.10%","272","286","88%","224","255"
"376",134002,"60.96","153","251","42.23","106","251","0.02","16.58","31830","0.03","22.75","31830","100.00%","22","22","99.72%","359","360","93.96%","171","182","86.81%","158","182","98.84%","426","431","84.85%","224","264","19.32%","51","264","66.67%","158","237","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","87.56%","352","402","64%","248","386"
"377",134009,"57.35","39","68","38.24","26","68","0.01",".75","4712","0.00","0","4712","100.00%","179","179","92.00%","529","575","100.00%","131","131","100.00%","131","131","100.00%","575","575","72.60%","212","292","27.40%","80","292","0.00%","0","292","0.00%","0","292","Yes","Paper or Other Form","No","0.00%","0","252","Not Available","Not Available","Not Available"
"378",134010,"37.59","50","133","22.56","30","133","0.18","138.5","32762","0.56","443.78","32762","88.37%","114","129","99.49%","581","584","97.81%","179","183","97.81%","179","183","99.66%","582","584","96.92%","315","325","13.85%","45","325","60.57%","192","317","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","99.38%","319","321","78%","259","334"
"379",140002,"57.14","28","49","22.45","11","49","0.00","0","2780","0.00","0","2780","Not Available","Not Available","Not Available","100.00%","218","218","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","223","223","72.22%","13","18","61.11%","11","18","0.00%","0","14","0.00%","0","14","Yes","Paper or Other Form","No","72.38%","76","105","94%","600","635"
"380",140008,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00","0","3098","0.00","0","3098","Not Available","Not Available","Not Available","97.62%","82","84","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","98.81%","83","84","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","Yes","100.00%","89","89","96%","1722","1792"
"381",140010,"84.96","113","133","56.39","75","133","0.88","209.78","9909","0.00","0","9909","Not Available","Not Available","Not Available","98.77%","322","326","51.43%","18","35","51.43%","18","35","98.69%","378","383","62.11%","59","95","53.68%","51","95","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","No","81.79%","256","313","52%","25","48"
"382",140012,"58.33","42","72","27.78","20","72","0.01",".83","2683","0.00","0","2683","Not Available","Not Available","Not Available","0.00%","0","312","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","312","312","100.00%","193","193","72.54%","140","193","0.00%","0","193","0.00%","0","193","Yes","Certified EHR Technology","No","Not Available","Not Available","Not Available","100%","33","33"
"383",140013,"56.82","25","44","29.55","13","44","0.05","5.67","4464","0.02","2.1","4464","Not Available","Not Available","Not Available","83.15%","227","273","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","98.95%","282","285","Not Available","Not Available","Not Available","0.00%","0","25","Not Available","Not Available","Not Available","0.00%","0","16","Yes","Certified EHR Technology","Yes","91.28%","136","149","94%","31","33"
"384",140015,"63.29","100","158","28.48","45","158","0.35","94.18","11196","0.70","188.75","11196","Not Available","Not Available","Not Available","94.32%","299","317","64.94%","50","77","63.64%","49","77","99.74%","384","385","88.28%","226","256","67.19%","172","256","86.99%","214","246","0.00%","0","246","Yes","Certified EHR Technology","Yes","98.66%","295","299","95%","104","110"
"385",140018,"31.58","24","76","Not Available","Not Available","Not Available","1.19","245.22","8572","0.00","0","8572","Not Available","Not Available","Not Available","99.78%","448","449","48.48%","32","66","36.36%","24","66","99.81%","516","517","94.72%","251","265","54.72%","145","265","61.92%","148","239","44.35%","106","239","No","Paper or Other Form","No","96.84%","153","158","98%","59","60"
"386",140033,"48.00","48","100","28.00","28","100","0.00","0","7061","0.00","0","7061","Not Available","Not Available","Not Available","98.91%","545","551","63.04%","87","138","60.87%","84","138","99.83%","603","604","78.43%","269","343","33.53%","115","343","46.47%","145","312","3.53%","11","312","No","Paper or Other Form","No","100.00%","326","326","88%","38","43"
"387",140034,"50.85","30","59","28.81","17","59","0.14","10.75","3177","0.00","0","3177","Not Available","Not Available","Not Available","100.00%","363","363","80.39%","82","102","80.39%","82","102","98.90%","449","454","75.00%","219","292","66.78%","195","292","77.14%","216","280","16.43%","46","280","Yes","Certified EHR Technology","No","99.01%","300","303","97%","123","127"
"388",140040,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.01",".53","2840","0.00","0","2840","100.00%","23","23","100.00%","157","157","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","156","156","94.44%","17","18","61.11%","11","18","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","No","Paper or Other Form","No","100.00%","82","82","94%","544","581"
"389",140053,"59.26","32","54","33.33","18","54","1.26","135.51","4495","0.00","0","4495","Not Available","Not Available","Not Available","85.91%","128","149","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","83.11%","182","219","62.00%","31","50","60.00%","30","50","0.00%","0","33","0.00%","0","33","Yes","Paper or Other Form","No","88.99%","97","109","97%","31","32"
"390",140054,"46.11","77","167","22.75","38","167","0.38","149.99","16499","0.14","56.79","16499","65.00%","13","20","98.03%","646","659","100.00%","108","108","94.44%","102","108","100.00%","723","723","82.74%","302","365","79.73%","291","365","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","No","96.87%","340","351","99%","155","157"
"391",140058,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","96%","24","25"
"392",140062,"72.09","62","86","41.86","36","86","0.16","33.13","8578","0.00","0","8578","91.67%","11","12","100.00%","400","400","98.36%","180","183","98.36%","180","183","100.00%","503","503","97.34%","256","263","76.81%","202","263","95.49%","233","244","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","100.00%","320","320","99%","106","107"
"393",140082,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","2.21","174.7","3297","0.00","0","3297","0.00%","0","26","97.60%","122","125","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","87.30%","110","126","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","No","96.83%","122","126","67%","24","36"
"394",140089,"66.67","16","24","Not Available","Not Available","Not Available","0.07","2.22","1235","0.00","0","1235","Not Available","0","0","100.00%","108","108","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","99.10%","110","111","86.36%","19","22","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00%","0","13","Yes","Certified EHR Technology","Yes","91.23%","52","57","97%","180","186"
"395",140095,"32.35","22","68","Not Available","Not Available","Not Available","2.43","673.33","11522","0.33","92.13","11522","57.14%","16","28","99.30%","564","568","78.75%","63","80","66.25%","53","80","98.98%","581","587","85.45%","329","385","52.21%","201","385","71.43%","195","273","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","100.00%","300","300","91%","115","127"
"396",140103,"15.45","17","110","Not Available","Not Available","Not Available","2.34","653.98","11639","0.00","0","11639","Not Available","Not Available","Not Available","96.40%","429","445","98.41%","62","63","96.83%","61","63","100.00%","468","468","95.32%","346","363","29.20%","106","363","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","No","53.88%","139","258","87%","45","52"
"397",140110,"68.50","87","127","42.52","54","127","0.17","7.25","1758","26.07","1100","1758","Not Available","Not Available","Not Available","97.00%","194","200","92.00%","23","25","92.00%","23","25","85.77%","211","246","65.35%","66","101","57.43%","58","101","Not Available","Not Available","Not Available","0.00%","0","95","Yes","Certified EHR Technology","No","98.93%","185","187","94%","572","611"
"398",140114,"63.01","46","73","32.88","24","73","0.11","13.48","5229","0.00","0","5229","42.31%","11","26","99.61%","516","518","83.08%","54","65","83.08%","54","65","90.76%","511","563","52.28%","126","241","51.87%","125","241","0.00%","0","190","0.00%","0","190","Yes","Paper or Other Form","Yes","92.42%","305","330","100%","31","31"
"399",140118,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.85","58.45","2860","0.14","9.6","2860","Not Available","Not Available","Not Available","99.58%","235","236","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","98.74%","235","238","85.29%","29","34","Not Available","Not Available","Not Available","63.64%","14","22","Not Available","Not Available","Not Available","No","Paper or Other Form","No","97.99%","146","149","57%","12","21"
"400",140119,"66.47","113","170","35.29","60","170","3.86","1359.98","14691","0.07","25.12","14691","64.71%","11","17","98.36%","299","304","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","92.45%","343","371","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00%","0","81","0.00%","0","81","Yes","Paper or Other Form","No","95.93%","283","295","68%","2734","4042"
"401",140122,"78.95","45","57","57.89","33","57","0.33","33.83","4267","0.00","0","4267","Not Available","Not Available","Not Available","99.44%","358","360","94.74%","72","76","81.58%","62","76","99.04%","414","418","64.05%","98","153","52.29%","80","153","Not Available","Not Available","Not Available","0.00%","0","139","Yes","Certified EHR Technology","Yes","99.70%","333","334","100%","121","121"
"402",140125,"30.48","32","105","13.33","14","105","0.00","0","429","0.35","3.63","429","32.20%","19","59","93.95%","357","380","96.61%","57","59","86.44%","51","59","100.00%","324","324","94.41%","152","161","34.16%","55","161","53.38%","71","133","9.77%","13","133","No","Paper or Other Form","No","100.00%","233","233","68%","115","168"
"403",140135,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00",".02","3920","0.00",".2","3920","0.00%","0","12","99.44%","179","180","100.00%","11","11","Not Available","Not Available","Not Available","98.94%","187","189","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","Yes","79.13%","91","115","100%","46","46"
"404",140137,"50.00","18","36","30.56","11","36","0.00","0","1699","0.00","0","1699","Not Available","Not Available","Not Available","100.00%","189","189","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","185","185","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","No","Non-Certified EHR Technology","Yes","96.67%","87","90","94%","68","72"
"405",140147,"41.51","22","53","Not Available","Not Available","Not Available","0.30","13","1815","0.00","0","1815","0.00%","0","17","100.00%","240","240","75.68%","28","37","67.57%","25","37","100.00%","302","302","91.15%","175","192","Not Available","Not Available","Not Available","34.90%","67","192","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","99.38%","159","160","100%","17","17"
"406",140148,"66.67","128","192","34.38","66","192","1.28","361","11727","0.49","137","11727","Not Available","Not Available","Not Available","98.47%","452","459","70.21%","66","94","68.09%","64","94","98.13%","525","535","69.67%","209","300","Not Available","Not Available","Not Available","0.00%","0","276","0.00%","0","276","Yes","Certified EHR Technology","Yes","82.30%","265","322","97%","7194","7427"
"407",140150,"50.00","30","60","38.33","23","60","1.65","461.86","11659","0.58","160.9","11659","57.14%","16","28","100.00%","415","415","87.50%","28","32","87.50%","28","32","99.58%","473","475","90.32%","168","186","81.72%","152","186","8.09%","14","173","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","Yes","96.24%","512","532","95%","118","124"
"408",140158,"40.85","29","71","15.49","11","71","0.71","102.94","6050","0.00","0","6050","0.00%","0","36","77.60%","291","375","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","87.48%","454","519","17.57%","52","296","Not Available","Not Available","Not Available","5.40%","15","278","0.00%","0","278","Yes","Certified EHR Technology","Yes","91.08%","286","314","82%","27","33"
"409",140166,"52.00","13","25","Not Available","Not Available","Not Available","0.00","0","4365","0.00","0","4365","Not Available","Not Available","Not Available","98.48%","259","263","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","99.25%","265","267","84.38%","27","32","56.25%","18","32","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","No","94.12%","112","119","94%","81","86"
"410",140174,"62.59","87","139","33.81","47","139","0.14","49.28","14903","0.01","3.22","14903","Not Available","Not Available","Not Available","89.78%","246","274","55.88%","38","68","42.65%","29","68","98.91%","362","366","22.89%","38","166","Not Available","Not Available","Not Available","13.42%","20","149","0.00%","0","149","Yes","Paper or Other Form","No","78.65%","221","281","95%","135","142"
"411",140179,"56.70","55","97","34.02","33","97","10.13","621.42","2557","0.00","0","2557","Not Available","Not Available","Not Available","96.84%","398","411","92.91%","131","141","87.23%","123","141","98.98%","485","490","92.24%","214","232","54.74%","127","232","62.56%","127","203","13.30%","27","203","Yes","Paper or Other Form","No","58.30%","158","271","100%","37","37"
"412",140181,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00","0","4248","0.00","0","4248","0.00%","0","33","99.72%","353","354","100.00%","17","17","100.00%","17","17","100.00%","357","357","100.00%","135","135","96.30%","130","135","100.00%","122","122","60.66%","74","122","Yes","Certified EHR Technology","No","99.43%","173","174","92%","33","36"
"413",140182,"57.26","67","117","31.62","37","117","0.64","130.6","8460","0.39","78.18","8460","Not Available","Not Available","Not Available","99.81%","515","516","43.75%","21","48","41.67%","20","48","100.00%","578","578","94.27%","296","314","67.20%","211","314","37.29%","110","295","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","94.92%","299","315","100%","64","64"
"414",140186,"65.22","15","23","Not Available","Not Available","Not Available","0.09","5.8","2634","0.00","0","2634","Not Available","Not Available","Not Available","85.06%","205","241","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","99.18%","242","244","36.36%","12","33","Not Available","Not Available","Not Available","0.00%","0","17","0.00%","0","17","Yes","Certified EHR Technology","Yes","96.67%","116","120","78%","154","197"
"415",140189,"62.50","65","104","19.23","20","104","0.41","26.2","2683","0.00","0","2683","93.33%","14","15","99.60%","250","251","90.32%","28","31","90.32%","28","31","99.71%","345","346","98.49%","196","199","51.76%","103","199","76.60%","144","188","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","Yes","94.32%","249","264","100%","25","25"
"416",140191,"43.80","53","121","14.88","18","121","0.28","18.5","2785","0.00","0","2785","Not Available","Not Available","Not Available","100.00%","170","170","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","182","182","100.00%","48","48","91.67%","44","48","73.68%","28","38","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","100.00%","163","163","55%","56","101"
"417",140206,"30.95","13","42","Not Available","Not Available","Not Available","0.00","0","828","0.00","0","828","0.00%","0","17","100.00%","398","398","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","399","399","96.63%","201","208","41.83%","87","208","0.00%","0","151","0.00%","0","151","Yes","Certified EHR Technology","Yes","92.06%","232","252","87%","90","103"
"418",140208,"50.26","97","193","21.24","41","193","2.53","619.28","10182","0.00","0","10182","50.00%","13","26","99.59%","489","491","83.08%","54","65","83.08%","54","65","100.00%","556","556","96.36%","265","275","77.09%","212","275","90.46%","218","241","88.80%","214","241","Yes","Paper or Other Form","No","99.02%","302","305","99%","72","73"
"419",140209,"56.77","109","192","34.38","66","192","0.20","107.02","22003","0.52","276.58","22003","53.57%","15","28","92.42%","256","277","25.42%","15","59","23.73%","14","59","100.00%","334","334","9.29%","17","183","7.65%","14","183","Not Available","Not Available","Not Available","0.00%","0","165","Yes","Certified EHR Technology","Yes","86.20%","281","326","96%","133","139"
"420",140210,"62.44","133","213","23.47","50","213","0.69","142.96","8611","0.40","82.61","8611","Not Available","Not Available","Not Available","66.11%","357","540","100.00%","90","90","100.00%","90","90","100.00%","601","601","99.71%","347","348","98.56%","343","348","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","Yes","91.40%","340","372","97%","69","71"
"421",140213,"46.36","51","110","16.36","18","110","0.10","14.67","6106","0.00","0","6106","Not Available","Not Available","Not Available","93.68%","489","522","58.97%","69","117","56.41%","66","117","96.45%","544","564","67.97%","191","281","Not Available","Not Available","Not Available","0.00%","0","248","0.00%","0","248","Yes","Paper or Other Form","Yes","99.34%","300","302","81%","48","59"
"422",140223,"77.88","81","104","38.46","40","104","0.81","198.45","10179","0.00","0","10179","Not Available","Not Available","Not Available","98.61%","426","432","100.00%","71","71","100.00%","71","71","100.00%","458","458","100.00%","99","99","90.91%","90","99","95.60%","87","91","51.65%","47","91","Yes","Paper or Other Form","No","97.78%","308","315","96%","92","96"
"423",140228,"42.31","44","104","25.00","26","104","0.00",".25","8415","0.00","0","8415","Not Available","Not Available","Not Available","97.01%","325","335","16.46%","13","79","Not Available","Not Available","Not Available","100.00%","403","403","85.91%","189","220","59.09%","130","220","53.67%","117","218","Not Available","Not Available","Not Available","No","Certified EHR Technology","Yes","94.90%","298","314","90%","44","49"
"424",140239,"46.27","31","67","19.40","13","67","0.15","13.83","3762","0.02","2.15","3762","Not Available","Not Available","Not Available","99.78%","458","459","70.25%","85","121","52.89%","64","121","100.00%","492","492","50.51%","149","295","7.46%","22","295","53.71%","152","283","0.00%","0","283","No","Certified EHR Technology","Yes","83.22%","248","298","78%","25","32"
"425",140240,"46.67","42","90","18.89","17","90","0.67","187.84","11598","0.01","4","11598","Not Available","Not Available","Not Available","96.23%","612","636","43.36%","49","113","40.71%","46","113","99.69%","653","655","65.38%","289","442","51.36%","227","442","41.45%","172","415","3.13%","13","415","No","Paper or Other Form","No","99.15%","349","352","87%","202","232"
"426",140242,"74.36","58","78","47.44","37","78","0.19","45.52","10244","0.00","0","10244","Not Available","Not Available","Not Available","98.80%","413","418","65.22%","75","115","65.22%","75","115","100.00%","472","472","85.51%","177","207","69.08%","143","207","42.11%","80","190","16.32%","31","190","Yes","Certified EHR Technology","Yes","99.35%","305","307","97%","112","115"
"427",140252,"61.11","55","90","36.67","33","90","0.07","23.22","14217","0.05","17.22","14217","Not Available","Not Available","Not Available","94.69%","410","433","23.01%","26","113","20.35%","23","113","100.00%","466","466","47.26%","95","201","39.80%","80","201","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","No","Certified EHR Technology","Yes","85.06%","296","348","88%","216","246"
"428",140258,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.01","1.25","5574","0.00","0","5574","Not Available","Not Available","Not Available","100.00%","18","18","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","155","155","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","No","Paper or Other Form","No","98.69%","151","153","84%","87","103"
"429",140281,"65.79","75","114","37.72","43","114","0.82","166.35","8485","0.43","86.62","8485","Not Available","0","0","96.90%","469","484","70.59%","12","17","70.59%","12","17","99.44%","537","540","93.92%","139","148","65.54%","97","148","78.32%","112","143","42.66%","61","143","Yes","Paper or Other Form","No","99.03%","305","308","29%","38","133"
"430",140288,"75.79","72","95","48.42","46","95","0.55","126.83","9612","0.00","0","9612","Not Available","Not Available","Not Available","100.00%","573","573","64.47%","49","76","64.47%","49","76","99.67%","607","609","92.70%","254","274","68.61%","188","274","38.46%","100","260","9.62%","25","260","Yes","Paper or Other Form","No","100.00%","330","330","98%","58","59"
"431",140292,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","12.02","5317.07","18436","0.00","0","18436","Not Available","Not Available","Not Available","96.64%","517","535","72.38%","76","105","53.33%","56","105","93.06%","523","562","53.20%","158","297","28.28%","84","297","15.86%","36","227","0.00%","0","227","Yes","Certified EHR Technology","Yes","99.70%","333","334","86%","124","145"
"432",140304,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","8.36","532.65","2654","0.00","0","2654","Not Available","Not Available","Not Available","100.00%","35","35","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100.00%","40","40","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","No","Certified EHR Technology","Yes","100.00%","117","117","100%","41","41"
"433",141315,"73.33","11","15","Not Available","Not Available","Not Available","0.00","0","1319","0.00","0","1319","Not Available","Not Available","Not Available","94.85%","129","136","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","99.40%","167","168","63.77%","44","69","23.19%","16","69","46.77%","29","62","Not Available","Not Available","Not Available","Yes","Certified EHR Technology","Yes","96.67%","87","90","96%","23","24"
"434",144005,"45.59","62","136","22.79","31","136","1.29","116.93","3776","0.02","19.37","44557","62.16%","23","37","99.87%","795","796","100.00%","155","155","100.00%","155","155","99.88%","818","819","99.63%","533","535","79.07%","423","535","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","0.00%","0","5117","72%","342","473"
"435",144009,"37.30","91","244","16.80","41","244","0.08","78.8","40543","0.00",".27","40543","100.00%","47","47","94.72%","377","398","84.85%","56","66","68.18%","45","66","96.31%","392","407","70.00%","126","180","31.11%","56","180","63.51%","94","148","0.00%","0","148","Yes","Paper or Other Form","No","77.24%","353","457","36%","153","429"
"436",144010,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.11","19.43","7095","0.00","0","7095","Not Available","0","0","94.25%","295","313","67.14%","47","70","58.57%","41","70","92.10%","303","329","93.38%","127","136","68.38%","93","136","47.62%","50","105","12.38%","13","105","Yes","Paper or Other Form","No","99.44%","179","180","45%","146","323"
"437",144016,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","2.63","370.87","5866","0.06","9.08","5866","Not Available","0","0","93.33%","28","30","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","96.67%","29","30","93.33%","14","15","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.00%","0","13","Yes","Paper or Other Form","No","Not Available","Not Available","Not Available","62%","129","208"
"438",144021,"48.65","18","37","Not Available","Not Available","Not Available","0.16","190.8","49185","0.01","14.17","49185","Not Available","Not Available","Not Available","100.00%","224","224","57.14%","20","35","37.14%","13","35","99.55%","223","224","93.20%","96","103","Not Available","Not Available","Not Available","71.43%","65","91","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","100.00%","85","85","52%","163","316"
"439",144026,"36.50","50","137","18.98","26","137","0.06","69.13","47056","0.07","83.1","47056","Not Available","Not Available","Not Available","98.02%","346","353","88.89%","64","72","88.89%","64","72","97.50%","351","360","73.05%","122","167","61.08%","102","167","27.21%","37","136","12.50%","17","136","Yes","Paper or Other Form","No","93.89%","430","458","50%","259","519"
"440",144028,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.23","41.52","7632","0.08","14.17","7632","Not Available","Not Available","Not Available","99.80%","509","510","95.05%","96","101","71.29%","72","101","99.81%","514","515","99.34%","301","303","70.63%","214","303","95.12%","234","246","0.00%","0","246","Yes","Paper or Other Form","No","96.09%","172","179","56%","208","371"
"441",144029,"49.59","60","121","25.62","31","121","0.05","24.75","21875","0.08","44.58","21875","Not Available","Not Available","Not Available","100.00%","260","260","74.39%","61","82","56.10%","46","82","100.00%","299","299","92.81%","155","167","62.87%","105","167","90.63%","145","160","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","93.49%","445","476","77%","282","368"
"442",144031,"64.15","229","357","36.13","129","357","0.09","99.5","46547","0.03","32.57","46547","53.33%","16","30","98.44%","696","707","92.12%","187","203","78.82%","160","203","99.76%","842","844","95.81%","297","310","19.68%","61","310","44.56%","131","294","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","98.03%","548","559","93%","974","1050"
"443",144034,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.08","70.06","38632","0.08","76.83","38632","96.00%","24","25","93.14%","95","102","41.38%","12","29","Not Available","Not Available","Not Available","100.00%","106","106","60.00%","27","45","26.67%","12","45","29.55%","13","44","Not Available","Not Available","Not Available","Yes","Paper or Other Form","No","93.60%","453","484","69%","239","346"
"444",144035,"81.69","174","213","53.99","115","213","0.28","214.03","31341","0.07","52.62","31341","Not Available","Not Available","Not Available","96.19%","1992","2071","85.35%","373","437","37.76%","165","437","99.21%","1749","1763","88.90%","625","703","70.13%","493","703","67.85%","477","703","27.45%","193","703","Yes","Certified EHR Technology","Yes","97.57%","2085","2137","97%","762","782"
