"Hospital.Name","Provider.ID","ED_1b","ED_2b","EDV","IMM_2","IMM_3_OP_27_FAC_ADHPCT","OP_1","OP_18b","OP_2","OP_20","OP_21","OP_22","OP_23","OP_29","OP_30","OP_31","OP_33","OP_3b","OP_4","OP_5","PC_01","VTE_6"
"CHRISTIANA CARE HEALTH SERVICES, INC.",80001,"480","154","Very High (60,000+ patients annually)","94","92","Not Available","202","Not Available","59","57","4","Not Available","76","71","Not Available","100","Not Available","Not Available","Not Available","1","4"
"CHRISTUS COUSHATTA HEALTH CARE CENTER",191312,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHRISTUS GOOD SHEPHERD MEDICAL CENTER MARSHALL",450032,"259","128","Medium (20,000 - 39,999 patients annually)","97","99","Not Available","120","Not Available","19","44","1","82","100","100","Not Available","Not Available","Not Available","97","1","4","Not Available"
"CHRISTUS GOOD SHEPHERD MEDICAL CENTER- LONGVIEW",450037,"303","134","Very High (60,000+ patients annually)","93","99","Not Available","120","Not Available","18","46","1","86","Not Available","Not Available","Not Available","Not Available","Not Available","96","2","0","8"
"CHRISTUS HEALTH SHREVEPORT - BOSSIER",190041,"292","154","Medium (20,000 - 39,999 patients annually)","97","91","Not Available","167","Not Available","20","82","3","Not Available","67","81","Not Available","56","Not Available","Not Available","Not Available","4","6"
"CHRISTUS JASPER MEMORIAL HOSPITAL",450573,"319","145","Medium (20,000 - 39,999 patients annually)","86","100","Not Available","136","Not Available","9","37","1","59","87","Not Available","Not Available","Not Available","Not Available","95","7","3","Not Available"
"CHRISTUS LAKE AREA HOSPITAL",190201,"212","42","Medium (20,000 - 39,999 patients annually)","98","84","Not Available","91","Not Available","24","34","3","Not Available","100","100","Not Available","Not Available","Not Available","Not Available","Not Available","2","Not Available"
"CHRISTUS MOTHER FRANCES HOSPITAL",450102,"286","101","Very High (60,000+ patients annually)","99","91","Not Available","178","Not Available","47","68","4","Not Available","97","100","Not Available","Not Available","Not Available","Not Available","Not Available","1","0"
"CHRISTUS MOTHER FRANCES HOSPITAL SULPHUR SPRINGS",450236,"228","94","Medium (20,000 - 39,999 patients annually)","90","80","Not Available","130","Not Available","31","56","4","44","92","89","Not Available","Not Available","Not Available","84","10","6","Not Available"
"CHRISTUS MOTHER FRANCES HOSPITAL- JACKSONVILLE",451319,"202","50","Not Available","99","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHRISTUS MOTHER FRANCES HOSPITAL- WINNSBORO",451381,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHRISTUS SANTA ROSA HOSPITAL",450237,"381","164","Very High (60,000+ patients annually)","97","76","Not Available","146","Not Available","17","48","3","80","88","94","Not Available","Not Available","Not Available","93","7","3","0"
"CHRISTUS SOUTHEAST TEXAS- ST ELIZABETH",450034,"401","176","High (40,000 - 59,999 patients annually)","90","97","Not Available","156","Not Available","17","68","2","65","75","90","Not Available","Not Available","75","87","13","9","13"
"CHRISTUS SPOHN HOSPITAL ALICE",450828,"407","248","Medium (20,000 - 39,999 patients annually)","100","94","54","157","21","8","60","1","47","0","100","Not Available","Not Available","Not Available","97","25","0","Not Available"
"CHRISTUS SPOHN HOSPITAL BEEVILLE",450082,"255","156","Medium (20,000 - 39,999 patients annually)","92","93","Not Available","96","27","4","30","1","45","31","Not Available","Not Available","Not Available","Not Available","95","19","0","Not Available"
"CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI",450046,"451","306","Very High (60,000+ patients annually)","96","96","Not Available","160","Not Available","15","53","1","91","88","96","Not Available","Not Available","Not Available","95","8","1","0"
"CHRISTUS SPOHN HOSPITAL KLEBERG",450163,"424","293","Medium (20,000 - 39,999 patients annually)","97","96","Not Available","198","Not Available","22","73","2","86","37","100","Not Available","Not Available","Not Available","96","14","0","Not Available"
"CHRISTUS ST FRANCES CABRINI HOSPITAL",190019,"437","168","High (40,000 - 59,999 patients annually)","97","97","Not Available","202","Not Available","10","94","2","77","98","99","Not Available","100","Not Available","Not Available","Not Available","0","0"
"CHRISTUS ST MICHAEL HEALTH SYSTEM",450801,"293","114","Very High (60,000+ patients annually)","94","87","Not Available","187","Not Available","24","62","2","56","94","95","Not Available","Not Available","Not Available","98","7","0","3"
"CHRISTUS ST PATRICK HOSPITAL",190027,"300","133","Medium (20,000 - 39,999 patients annually)","88","95","Not Available","169","Not Available","12","56","3","68","93","70","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","6"
"CHRISTUS ST VINCENT REGIONAL MEDICAL CENTER",320002,"425","216","Medium (20,000 - 39,999 patients annually)","84","89","Not Available","174","Not Available","35","85","3","31","98","77","Not Available","0","Not Available","Not Available","Not Available","0","12"
"CIBOLA GENERAL HOSPITAL",321308,"224","212","Not Available","28","Not Available","Not Available","105","Not Available","14","34","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CIMARRON MEMORIAL HOSPITAL",371307,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CINCINNATI CHILDREN'S HOSPITAL MEDICAL CENTER",363300,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CITIZENS BAPTIST MEDICAL CENTER",10101,"208","60","Medium (20,000 - 39,999 patients annually)","100","99","Not Available","104","Not Available","18","57","1","91","93","100","Not Available","Not Available","Not Available","96","6","0","Not Available"
"CITIZENS MEDICAL CENTER",171362,"152","25","Not Available","48","74","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CITIZENS MEDICAL CENTER",190184,"220","53","Low (0 - 19,999 patients annually)","82","9","Not Available","140","Not Available","25","Not Available","2","Not Available","69","79","Not Available","Not Available","Not Available","100","10","Not Available","Not Available"
"CITIZENS MEDICAL CENTER",450023,"213","72","Medium (20,000 - 39,999 patients annually)","94","91","Not Available","112","Not Available","17","43","1","92","100","100","Not Available","Not Available","Not Available","Not Available","Not Available","0","Not Available"
"CITIZENS MEMORIAL HOSPITAL",260195,"205","75","Low (0 - 19,999 patients annually)","89","92","Not Available","150","Not Available","27","61","2","94","97","96","Not Available","Not Available","Not Available","100","4","0","Not Available"
"CITRUS MEMORIAL HOSPITAL",100023,"358","147","Medium (20,000 - 39,999 patients annually)","100","79","Not Available","167","Not Available","9","24","0","93","Not Available","96","Not Available","Not Available","Not Available","Not Available","Not Available","0","0"
"CITRUS VALLEY MEDICAL CENTER-IC CAMPUS",50382,"389","226","Very High (60,000+ patients annually)","69","70","Not Available","144","Not Available","26","44","1","89","82","70","Not Available","Not Available","37","97","8","5","0"
"CJW MEDICAL CENTER",490112,"256","83","Very High (60,000+ patients annually)","99","91","Not Available","129","Not Available","6","30","1","Not Available","100","100","Not Available","94","Not Available","Not Available","Not Available","0","0"
"CLAIBORNE COUNTY HOSPITAL",251320,"Not Available","Not Available","Not Available","Not Available","33","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CLAIBORNE MEDICAL CENTER",440057,"247","75","Low (0 - 19,999 patients annually)","96","97","Not Available","154","Not Available","31","63","3","Not Available","90","84","Not Available","Not Available","58","88","8","Not Available","Not Available"
"CLAIBORNE MEMORIAL MEDICAL CENTER",190114,"185","15","Low (0 - 19,999 patients annually)","80","84","Not Available","119","Not Available","20","Not Available","5","Not Available","62","90","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CLARA BARTON HOSPITAL",171333,"206","45","Low (0 - 19,999 patients annually)","71","60","Not Available","138","Not Available","26","Not Available","0","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100","11","Not Available","Not Available"
"CLARA MAASS MEDICAL CENTER",310009,"631","415","Very High (60,000+ patients annually)","93","98","Not Available","178","Not Available","36","86","2","Not Available","71","33","Not Available","Not Available","Not Available","Not Available","Not Available","0","13"
"CLAREMORE INDIAN HOSPITAL",370173,"220","44","Not Available","98","94","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","4","Not Available"
"CLARINDA REGIONAL HEALTH CENTER",161352,"120","20","Not Available","71","85","Not Available","81","Not Available","14","36","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CLARION HOSPITAL",390093,"223","72","Low (0 - 19,999 patients annually)","94","90","Not Available","133","Not Available","33","70","1","Not Available","91","100","100","Not Available","110","93","10","Not Available","Not Available"
"CLARK FORK VALLEY HOSPITAL",271323,"179","13","Not Available","87","92","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CLARK MEMORIAL HOSPITAL",150009,"349","116","High (40,000 - 59,999 patients annually)","87","88","Not Available","186","Not Available","29","66","1","Not Available","95","98","Not Available","Not Available","Not Available","Not Available","Not Available","3","Not Available"
"CLARK REGIONAL MEDICAL CENTER",180092,"223","35","Medium (20,000 - 39,999 patients annually)","99","98","Not Available","140","Not Available","17","22","0","94","94","98","Not Available","Not Available","34","100","4","0","Not Available"
"CLARKE COUNTY HOSPITAL",161348,"199","38","Not Available","97","Not Available","Not Available","190","Not Available","14","38","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","93","6","Not Available","Not Available"
"CLAXTON-HEPBURN MEDICAL CENTER",330211,"259","63","Low (0 - 19,999 patients annually)","92","94","23","128","62","18","36","1","Not Available","96","91","Not Available","Not Available","Not Available","99","7","5","Not Available"
"CLAY COUNTY HOSPITAL",10073,"211","65","Low (0 - 19,999 patients annually)","99","70","Not Available","108","Not Available","21","82","3","Not Available","65","62","Not Available","Not Available","Not Available","89","7","Not Available","Not Available"
"CLAY COUNTY HOSPITAL",141351,"Not Available","Not Available","Not Available","Not Available","100","Not Available","138","Not Available","15","91","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","92","39","Not Available","Not Available"
"CLAY COUNTY MEDICAL CENTER",171371,"Not Available","Not Available","Not Available","Not Available","89","Not Available","96","Not Available","27","50","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","64","22","Not Available","Not Available"
"CLAY COUNTY MEDICAL CENTER",250067,"156","21","Low (0 - 19,999 patients annually)","99","97","Not Available","108","Not Available","44","42","2","Not Available","94","Not Available","Not Available","Not Available","Not Available","100","8","0","Not Available"
"CLAY COUNTY MEMORIAL HOSPITAL",451362,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CLEAR LAKE REGIONAL MEDICAL CENTER",450617,"252","109","Very High (60,000+ patients annually)","99","79","Not Available","128","Not Available","5","27","1","89","78","67","Not Available","Not Available","Not Available","100","4","1","0"
"CLEARVIEW  REGIONAL MEDICAL CENTER",110046,"278","100","Medium (20,000 - 39,999 patients annually)","99","74","Not Available","138","Not Available","22","61","3","Not Available","100","100","Not Available","Not Available","Not Available","98","6","2","Not Available"
"CLEARWATER VALLEY HOSPITAL & CLINICS",131320,"Not Available","Not Available","Not Available","65","94","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CLEVELAND AREA HOSPITAL",371320,"Not Available","Not Available","Not Available","94","Not Available","Not Available","102","Not Available","22","58","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","85","4","Not Available","Not Available"
"CLEVELAND CLINIC",360180,"312","114","Very High (60,000+ patients annually)","93","92","Not Available","136","Not Available","9","49","1","82","95","99","Not Available","98","59","92","3","Not Available","2"
"CLEVELAND CLINIC AVON HOSPITAL",360364,"222","49","Not Available","99","91","Not Available","135","Not Available","18","46","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","86","6","Not Available","Not Available"
"CLEVELAND CLINIC CHILDREN'S HOSPITAL FOR REHAB",363304,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CLEVELAND CLINIC HOSPITAL",100289,"355","210","Low (0 - 19,999 patients annually)","98","89","Not Available","134","Not Available","16","44","0","Not Available","88","100","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0"
"CLEVELAND EMERGENCY HOSPITAL",670115,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CLIFTON FINE HOSPITAL",331307,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CLIFTON SPRINGS HOSPITAL AND CLINIC",330265,"293","120","Low (0 - 19,999 patients annually)","94","86","Not Available","179","Not Available","15","Not Available","2","Not Available","97","67","Not Available","41","Not Available","97","14","Not Available","Not Available"
"CLINCH MEMORIAL HOSPITAL",111308,"242","66","Low (0 - 19,999 patients annually)","55","70","Not Available","122","Not Available","25","76","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","89","6","Not Available","Not Available"
"CLINCH VALLEY MEDICAL CENTER",490060,"224","51","Low (0 - 19,999 patients annually)","99","98","Not Available","148","Not Available","11","24","0","Not Available","100","100","Not Available","45","Not Available","98","4","5","Not Available"
"CLINTON HOSPITAL ASSOCIATION",220058,"244","62","Low (0 - 19,999 patients annually)","83","92","Not Available","144","Not Available","28","54","1","56","91","29","Not Available","Not Available","Not Available","88","9","Not Available","Not Available"
"CLINTON MEMORIAL HOSPITAL",360175,"252","73","Medium (20,000 - 39,999 patients annually)","86","68","Not Available","129","Not Available","17","57","1","Not Available","95","91","Not Available","Not Available","Not Available","99","8","3","Not Available"
"CLOUD COUNTY HEALTH CENTER",171349,"158","Not Available","Not Available","Not Available","93","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CLOVIS COMMUNITY MEDICAL CENTER",50492,"1091","692","Very High (60,000+ patients annually)","96","87","Not Available","292","Not Available","68","95","2","50","89","99","Not Available","Not Available","Not Available","Not Available","14","3","0"
"COALINGA REGIONAL MEDICAL CENTER",50397,"342","80","Low (0 - 19,999 patients annually)","73","93","Not Available","110","Not Available","13","39","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","88","8","Not Available","Not Available"
"COAST PLAZA HOSPITAL",50771,"288","97","Low (0 - 19,999 patients annually)","98","92","Not Available","111","Not Available","59","70","1","Not Available","0","Not Available","Not Available","Not Available","Not Available","94","16","Not Available","Not Available"
"COASTAL CAROLINA HOSPITAL",420101,"390","146","Medium (20,000 - 39,999 patients annually)","97","99","Not Available","207","Not Available","34","64","7","93","78","89","Not Available","Not Available","76","92","14","0","Not Available"
"COBLESKILL REGIONAL HOSPITAL",330268,"276","96","Low (0 - 19,999 patients annually)","96","69","Not Available","104","Not Available","24","32","1","Not Available","89","85","Not Available","Not Available","Not Available","97","8","Not Available","Not Available"
"COBRE VALLEY REGIONAL MEDICAL CENTER",31314,"324","113","Low (0 - 19,999 patients annually)","90","97","Not Available","132","Not Available","25","49","3","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","91","8","0","Not Available"
"COCHRAN MEMORIAL HOSPITAL",451366,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"COFFEE REGIONAL MEDICAL CENTER",110089,"213","56","Medium (20,000 - 39,999 patients annually)","97","99","Not Available","106","Not Available","25","45","2","86","22","Not Available","Not Available","Not Available","Not Available","99","4","0","Not Available"
"COFFEY COUNTY HOSPITAL",170094,"120","36","Low (0 - 19,999 patients annually)","91","99","Not Available","74","Not Available","12","36","0","Not Available","96","89","Not Available","Not Available","Not Available","95","11","0","Not Available"
"COFFEYVILLE REGIONAL MEDICAL CENTER",170145,"214","61","Low (0 - 19,999 patients annually)","95","99","Not Available","134","Not Available","27","48","1","Not Available","84","97","Not Available","Not Available","Not Available","91","8","0","Not Available"
"COGDELL MEMORIAL HOSPITAL",451384,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"COLEMAN COUNTY MEDICAL CENTER COMPANY",451347,"190","50","Not Available","91","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"COLISEUM MEDICAL CENTERS",110164,"252","96","Very High (60,000+ patients annually)","99","90","Not Available","122","Not Available","5","22","1","Not Available","95","100","Not Available","Not Available","Not Available","Not Available","Not Available","0","0"
"COLISEUM NORTHSIDE HOSPITAL",110201,"206","54","Medium (20,000 - 39,999 patients annually)","99","91","Not Available","114","Not Available","5","24","1","Not Available","87","94","Not Available","Not Available","45","99","11","Not Available","Not Available"
"COLLEGE HOSPITAL COSTA MESA",50543,"Not Available","Not Available","Low (0 - 19,999 patients annually)","84","90","Not Available","Not Available","Not Available","Not Available","Not Available","3","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"COLLEGE MEDICAL CENTER",50776,"328","135","Low (0 - 19,999 patients annually)","91","77","Not Available","196","Not Available","19","74","5","Not Available","Not Available","17","Not Available","Not Available","Not Available","95","12","Not Available","Not Available"
"COLLEGE STATION MEDICAL CENTER",450299,"203","64","Medium (20,000 - 39,999 patients annually)","99","99","Not Available","105","Not Available","11","35","1","Not Available","85","98","Not Available","Not Available","Not Available","Not Available","Not Available","10","Not Available"
"COLLETON MEDICAL CENTER",420030,"219","70","Medium (20,000 - 39,999 patients annually)","98","88","Not Available","103","Not Available","6","28","1","88","9","100","Not Available","Not Available","Not Available","100","5","2","Not Available"
"COLLINGSWORTH GENERAL HOSPITAL",451355,"168","15","Low (0 - 19,999 patients annually)","79","Not Available","Not Available","120","Not Available","25","56","0","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"COLORADO CANYONS HOSPITAL AND MEDICAL CENTER",61302,"252","67","Not Available","48","98","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"COLORADO PLAINS MEDICAL CENTER",60044,"175","54","Low (0 - 19,999 patients annually)","99","100","Not Available","98","Not Available","4","20","0","Not Available","94","100","Not Available","Not Available","Not Available","98","6","0","Not Available"
"COLORADO RIVER MEDICAL CENTER",51323,"251","60","Not Available","68","50","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"COLQUITT REGIONAL MEDICAL CENTER",110105,"310","64","Medium (20,000 - 39,999 patients annually)","84","59","Not Available","153","Not Available","22","47","1","Not Available","100","71","Not Available","Not Available","Not Available","100","11","5","Not Available"
"COLUMBIA BASIN HOSPITAL",501317,"Not Available","Not Available","Low (0 - 19,999 patients annually)","Not Available","Not Available","Not Available","85","Not Available","20","39","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","94","6","Not Available","Not Available"
"COLUMBIA CENTER",520195,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"COLUMBIA MEMORIAL HOSPITAL",330094,"390","181","Medium (20,000 - 39,999 patients annually)","98","56","Not Available","143","Not Available","19","62","1","55","96","92","Not Available","Not Available","Not Available","100","6","0","20"
"COLUMBIA MEMORIAL HOSPITAL",381320,"200","41","Not Available","Not Available","86","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"COLUMBIA ST MARYS HOSPITAL MILWAUKEE",520051,"236","58","Very High (60,000+ patients annually)","100","78","Not Available","119","Not Available","10","49","1","Not Available","98","90","Not Available","57","Not Available","Not Available","Not Available","0","0"
"COLUMBIA ST MARYS HOSPITAL OZAUKEE",520027,"192","45","Low (0 - 19,999 patients annually)","100","73","Not Available","140","Not Available","11","40","1","82","97","94","Not Available","19","Not Available","Not Available","Not Available","Not Available","6"
"COLUMBUS COMMUNITY HOSPITAL",280111,"184","53","Low (0 - 19,999 patients annually)","99","98","Not Available","101","Not Available","17","49","0","75","87","90","Not Available","Not Available","39","96","8","1","Not Available"
"COLUMBUS COMMUNITY HOSPITAL",450370,"266","78","Low (0 - 19,999 patients annually)","97","98","Not Available","140","Not Available","26","54","1","Not Available","100","100","Not Available","Not Available","Not Available","100","4","0","Not Available"
"COLUMBUS COMMUNITY HOSPITAL",521338,"154","50","Not Available","90","86","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"COLUMBUS REGIONAL HEALTHCARE SYSTEM",340068,"266","105","Very High (60,000+ patients annually)","93","98","Not Available","154","Not Available","26","57","3","100","30","92","Not Available","Not Available","Not Available","100","8","31","Not Available"
"COLUMBUS REGIONAL HOSPITAL",150112,"221","77","High (40,000 - 59,999 patients annually)","99","97","Not Available","122","Not Available","16","41","2","84","65","98","Not Available","76","Not Available","100","5","0","Not Available"
"COMANCHE COUNTY HOSPITAL",171312,"108","14","Not Available","54","88","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"COMANCHE COUNTY MEDICAL CENTER",451382,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"COMANCHE COUNTY MEMORIAL HOSPITAL",370056,"292","117","High (40,000 - 59,999 patients annually)","92","85","Not Available","148","Not Available","27","45","4","90","88","86","Not Available","58","Not Available","Not Available","Not Available","7","0"
"COMMONWEALTH HEALTH CENTER",660001,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"COMMUNITY FIRST MEDICAL CENTER",140251,"275","161","High (40,000 - 59,999 patients annually)","87","98","Not Available","168","Not Available","26","54","2","79","99","100","Not Available","Not Available","Not Available","Not Available","8","Not Available","Not Available"
"COMMUNITY HEALTH CENTER OF BRANCH COUNTY",230022,"270","96","Medium (20,000 - 39,999 patients annually)","97","90","Not Available","132","Not Available","32","52","1","73","92","99","96","Not Available","66","97","5","9","Not Available"
"COMMUNITY HOSPITAL",60054,"273","128","Low (0 - 19,999 patients annually)","88","97","Not Available","106","Not Available","8","41","1","Not Available","100","100","Not Available","100","Not Available","100","15","6","Not Available"
"COMMUNITY HOSPITAL",150125,"279","125","Very High (60,000+ patients annually)","98","63","Not Available","146","Not Available","38","35","2","100","89","97","Not Available","44","Not Available","Not Available","Not Available","0","Not Available"
"COMMUNITY HOSPITAL",281363,"153","28","Low (0 - 19,999 patients annually)","97","95","Not Available","100","Not Available","16","40","0","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","97","5","Not Available","Not Available"
"COMMUNITY HOSPITAL",531307,"139","24","Low (0 - 19,999 patients annually)","98","95","Not Available","Not Available","Not Available","Not Available","Not Available","0","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"COMMUNITY HOSPITAL ASSOCIATION",261303,"Not Available","Not Available","Not Available","Not Available","93","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"COMMUNITY HOSPITAL EAST",150074,"252","136","Very High (60,000+ patients annually)","99","85","Not Available","141","Not Available","24","55","2","Not Available","98","100","Not Available","83","Not Available","83","4","1","0"
"COMMUNITY HOSPITAL INC",10034,"261","70","Low (0 - 19,999 patients annually)","91","82","Not Available","116","Not Available","31","82","3","Not Available","99","94","Not Available","Not Available","Not Available","93","20","Not Available","Not Available"
"COMMUNITY HOSPITAL NORTH",150169,"263","138","Very High (60,000+ patients annually)","99","77","Not Available","142","Not Available","22","50","1","Not Available","100","100","Not Available","Not Available","Not Available","84","10","1","4"
"COMMUNITY HOSPITAL OF ANACONDA",271335,"Not Available","Not Available","Not Available","91","95","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY",150113,"221","63","Medium (20,000 - 39,999 patients annually)","98","100","Not Available","146","Not Available","28","46","1","Not Available","Not Available","Not Available","Not Available","Not Available","42","100","5","0","Not Available"
"COMMUNITY HOSPITAL OF BREMEN INC",151300,"Not Available","Not Available","Not Available","Not Available","95","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"COMMUNITY HOSPITAL OF HUNTINGTON PARK",50091,"394","122","High (40,000 - 59,999 patients annually)","93","73","Not Available","177","Not Available","62","85","6","Not Available","0","Not Available","Not Available","Not Available","52","91","18","Not Available","Not Available"
"COMMUNITY HOSPITAL OF LONG BEACH",50727,"378","173","Medium (20,000 - 39,999 patients annually)","75","74","Not Available","174","Not Available","30","72","3","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","84","16","Not Available","Not Available"
"COMMUNITY HOSPITAL OF SAN BERNARDINO",50089,"549","291","Very High (60,000+ patients annually)","97","71","Not Available","150","Not Available","10","44","2","82","92","Not Available","Not Available","Not Available","Not Available","91","12","0","Not Available"
"COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA",50145,"251","60","High (40,000 - 59,999 patients annually)","98","85","Not Available","192","Not Available","29","66","2","47","93","100","Not Available","Not Available","Not Available","Not Available","Not Available","2","0"
"COMMUNITY HOSPITAL SOUTH",150128,"239","75","High (40,000 - 59,999 patients annually)","98","88","Not Available","135","Not Available","22","46","0","Not Available","100","100","Not Available","Not Available","Not Available","Not Available","Not Available","0","4"
