"Hospital.Name","Provider.ID","OP_10","OP_11","OP_13","OP_14","OP_8","OP_9"
"CARROLL HOSPITAL CENTER",210033,"0.1","0.0","5.0","1.3","Not Available","Not Available"
"CARSON TAHOE REGIONAL MEDICAL CENTER",290019,"12.3","2.1","5.4","1.0","42.9","8.7"
"CARSON VALLEY MEDICAL CENTER",291306,"9.6","8.3","2.7","1.6","Not Available","10.6"
"CARTERET GENERAL HOSPITAL",340142,"4.0","0.0","2.8","1.4","43.7","10.1"
"CARTERSVILLE MEDICAL CENTER",110030,"4.7","0.5","4.8","1.8","Not Available","7.8"
"CARTHAGE AREA HOSPITAL, INC",331318,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CARY MEDICAL CENTER",200031,"3.4","0.7","3.3","0.4","44.4","9.2"
"CASA COLINA HOSPITAL",50782,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CASCADE MEDICAL CENTER",131308,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CASCADE MEDICAL CENTER",501313,"Not Available","Not Available","Not Available","Not Available","Not Available","8.1"
"CASCADE VALLEY HOSPITAL",500060,"4.2","0.0","2.2","0.6","Not Available","7.6"
"CASEY COUNTY HOSPITAL",181309,"2.4","2.2","Not Available","Not Available","Not Available","6.0"
"CASS COUNTY MEMORIAL HOSPITAL",161376,"23.4","10.1","Not Available","Not Available","Not Available","10.7"
"CASS LAKE INDIAN HEALTH SERVICES HOSPITAL",241358,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CASS REGIONAL MEDICAL CENTER",261324,"4.2","3.3","Not Available","Not Available","Not Available","9.4"
"CASSIA REGIONAL HOSPITAL",131326,"4.6","1.4","Not Available","1.1","44.0","12.4"
"CASTLE MEDICAL CENTER",120006,"0.9","0.0","1.6","0.6","Not Available","5.2"
"CASTLE ROCK ADVENTIST HOSPITAL",60125,"5.7","0.9","1.4","Not Available","Not Available","11.6"
"CASTLEVIEW HOSPITAL",460011,"3.9","1.2","5.0","Not Available","40.3","9.6"
"CATALINA ISLAND MEDICAL CENTER",51307,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CATAWBA VALLEY MEDICAL CENTER",340143,"0.8","1.1","5.4","0.5","41.5","8.5"
"CATHOLIC MEDICAL CENTER",300034,"5.0","0.0","5.4","0.9","39.6","8.3"
"CATSKILL REGIONAL MEDICAL CENTER",330386,"3.4","1.2","Not Available","1.5","Not Available","15.7"
"CATSKILL REGIONAL MEDICAL CENTER - G HERMANN SITE",331303,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CAYUGA MEDICAL CENTER AT ITHACA",330307,"2.2","0.8","1.9","2.1","30.5","7.0"
"CCMH & CLINICS",351323,"1.8","1.4","Not Available","0.0","Not Available","2.3"
"CEDAR CITY HOSPITAL",460007,"1.3","0.7","1.6","Not Available","39.7","12.7"
"CEDAR COUNTY MEMORIAL HOSPITAL",261323,"1.2","Not Available","Not Available","0.6","Not Available","18.5"
"CEDAR PARK REGIONAL MEDICAL CENTER",670043,"6.1","5.5","3.6","Not Available","Not Available","21.1"
"CEDARS-SINAI MEDICAL CENTER",50625,"3.0","0.4","5.1","1.3","42.0","24.8"
"CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL",140116,"6.3","1.3","5.8","1.5","39.2","7.9"
"CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL",140176,"4.9","2.2","3.8","1.8","33.8","8.0"
"CENTENNIAL HILLS HOSPITAL MEDICAL CENTER",290054,"0.7","4.5","1.5","1.2","Not Available","Not Available"
"CENTERPOINT MEDICAL CENTER",260095,"4.9","0.0","5.3","2.3","37.8","8.1"
"CENTINELA HOSPITAL MEDICAL CENTER",50739,"3.1","4.6","Not Available","2.4","Not Available","7.1"
"CENTRA  HEALTH, INC",490021,"3.3","1.8","4.4","0.6","37.4","20.8"
"CENTRA CARE HEALTH PAYNESVILLE",241349,"2.9","0.0","Not Available","0.0","Not Available","5.6"
"CENTRACARE HEALTH - MONTICELLO",241362,"4.2","0.0","Not Available","Not Available","Not Available","Not Available"
"CENTRACARE HEALTH SYSTEM - LONG PRAIRIE",241326,"2.2","Not Available","Not Available","0.0","Not Available","Not Available"
"CENTRACARE HEALTH SYSTEM - MELROSE HOSPITAL",241330,"3.4","0.0","Not Available","0.0","Not Available","7.5"
"CENTRACARE HEALTH SYSTEM - SAUK CENTRE",241368,"0.0","0.0","Not Available","0.0","Not Available","10.9"
"CENTRAL CAROLINA HOSPITAL",340020,"0.5","0.0","4.4","1.2","Not Available","4.3"
"CENTRAL COMMUNITY HOSPITAL",161319,"Not Available","Not Available","Not Available","Not Available","Not Available","8.3"
"CENTRAL DUPAGE HOSPITAL",140242,"4.9","0.1","5.0","1.1","38.5","7.8"
"CENTRAL FLORIDA REGIONAL HOSPITAL",100161,"2.9","2.1","Not Available","1.6","Not Available","7.2"
"CENTRAL LOUISIANA SURGICAL HOSPITAL",190298,"15.2","5.3","Not Available","Not Available","46.7","Not Available"
"CENTRAL MAINE MEDICAL CENTER",200024,"8.4","0.0","5.2","1.2","Not Available","6.8"
"CENTRAL MONTANA MEDICAL CENTER",271345,"33.7","0.0","Not Available","0.0","Not Available","5.9"
"CENTRAL PENINSULA GENERAL HOSPITAL",20024,"10.7","0.3","1.0","1.6","41.7","8.3"
"CENTRAL TEXAS MEDICAL CENTER",450272,"3.8","1.1","3.4","2.0","Not Available","1.6"
"CENTRAL VALLEY MEDICAL CENTER - CAH",461304,"2.2","0.0","Not Available","Not Available","Not Available","16.3"
"CENTRAL VERMONT MEDICAL CENTER",470001,"3.1","0.0","3.4","1.1","26.2","6.9"
"CENTRAL WASHINGTON HOSPITAL",500016,"2.2","0.0","Not Available","0.2","52.5","Not Available"
"CENTRASTATE MEDICAL CENTER",310111,"3.0","0.0","5.3","1.2","Not Available","14.0"
"CENTRO CARDIOVASCULAR",400124,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CENTRO MEDICO WILMA N VAZQUEZ",400115,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL",60103,"12.6","2.6","0.8","Not Available","Not Available","7.0"
"CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL",60113,"3.9","3.0","4.1","Not Available","Not Available","9.5"
"CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES",60031,"3.5","1.8","5.4","1.3","Not Available","12.0"
"CENTURA HEALTH-PORTER ADVENTIST HOSPITAL",60064,"25.1","3.3","3.6","1.5","Not Available","12.4"
"CENTURA HEALTH-ST ANTHONY HOSPITAL",60015,"2.8","0.6","2.8","2.7","43.6","9.0"
"CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER",60012,"12.3","6.9","3.7","1.8","Not Available","11.0"
"CENTURA HEALTH-ST THOMAS MORE HOSPITAL",60016,"12.1","6.5","Not Available","Not Available","Not Available","11.6"
"CGH MEDICAL CENTER",140043,"3.1","0.0","4.8","1.8","34.0","9.3"
"CHADRON COMMUNITY HOSPITAL CORP",281341,"8.0","0.0","Not Available","Not Available","Not Available","7.0"
"CHAMBERS MEMORIAL HOSPITAL",40011,"4.1","1.6","Not Available","Not Available","Not Available","Not Available"
"CHAMBERSBURG HOSPITAL",390151,"8.1","0.3","3.3","1.8","34.6","8.9"
"CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR",330250,"3.1","0.0","4.0","2.3","38.8","7.6"
"CHANDLER REGIONAL MEDICAL CENTER",30036,"0.6","0.0","1.1","1.2","Not Available","10.2"
"CHAPMAN GLOBAL MEDICAL CENTER",50745,"0.0","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHARLES A CANNON JR MEMORIAL HOSPITAL",341323,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHARLES A DEAN MEMORIAL HOSPITAL",201301,"0.0","Not Available","Not Available","Not Available","Not Available","11.1"
"CHARLES COLE MEMORIAL HOSPITAL",391313,"8.5","9.7","2.6","Not Available","Not Available","11.3"
"CHARLESTON AREA MEDICAL CENTER",510022,"7.6","0.5","4.9","1.0","40.3","7.5"
"CHARLESTON SURGICAL HOSPITAL",510091,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHARLOTTE HUNGERFORD HOSPITAL",70011,"4.1","1.4","6.8","1.0","Not Available","28.3"
"CHASE COUNTY COMMUNITY HOSPITAL",281351,"Not Available","Not Available","Not Available","Not Available","Not Available","11.3"
"CHATHAM HOSPITAL INC",341311,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHATUGE REGIONAL HOSPITAL",111324,"3.6","0.0","Not Available","Not Available","Not Available","10.7"
"CHENANGO MEMORIAL HOSPITAL, INC",330033,"4.5","2.0","Not Available","0.4","Not Available","9.7"
"CHEROKEE INDIAN HOSPITAL AUTHORITY",340156,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHEROKEE MEDICAL CENTER",10022,"0.9","2.8","Not Available","Not Available","Not Available","4.6"
"CHEROKEE REGIONAL MEDICAL CENTER",161362,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHERRY COUNTY HOSPITAL",281344,"7.5","0.0","1.7","Not Available","Not Available","7.0"
"CHESAPEAKE GENERAL HOSPITAL",490120,"10.9","1.8","5.9","0.9","44.7","8.2"
"CHESHIRE MEDICAL CENTER",300019,"2.1","0.1","4.6","1.0","49.5","2.8"
"CHESTATEE REGIONAL HOSPITAL",110187,"0.9","2.2","Not Available","Not Available","Not Available","11.6"
"CHESTER COUNTY HOSPITAL",390179,"5.1","0.3","7.7","1.8","27.3","11.2"
"CHESTER REGIONAL MEDICAL CENTER",420019,"4.0","1.5","Not Available","0.0","Not Available","12.4"
"CHESTNUT HILL HOSPITAL",390026,"9.4","1.1","3.5","2.3","51.4","4.7"
"CHEYENNE COUNTY HOSPITAL",171310,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHEYENNE REGIONAL MEDICAL CENTER",530014,"7.8","9.7","3.9","1.2","45.0","Not Available"
"CHI HEALTH  - MERCY CORNING",161304,"11.2","11.0","Not Available","Not Available","Not Available","5.1"
"CHI HEALTH CREIGHTON UNIVERSITY MEDICAL CENTER - B",280060,"3.0","0.7","7.0","1.0","41.2","10.3"
"CHI HEALTH GOOD SAMARITAN",280009,"3.6","0.0","2.6","Not Available","43.6","3.5"
"CHI HEALTH IMMANUEL",280081,"2.6","1.2","5.4","0.6","29.1","7.3"
"CHI HEALTH LAKESIDE",280130,"3.3","0.2","9.6","1.1","Not Available","6.9"
"CHI HEALTH MERCY COUNCIL BLUFFS",160028,"1.6","0.0","9.7","Not Available","32.5","7.2"
"CHI HEALTH MIDLANDS",280105,"8.8","1.8","6.6","1.5","40.4","4.1"
"CHI HEALTH MISSOURI VALLEY",161309,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHI HEALTH NEBRASKA HEART",280128,"Not Available","3.5","3.8","Not Available","Not Available","Not Available"
"CHI HEALTH PLAINVIEW",281346,"Not Available","Not Available","Not Available","Not Available","Not Available","4.3"
"CHI HEALTH SCHUYLER",281323,"2.0","0.0","Not Available","0.0","Not Available","8.0"
"CHI HEALTH ST ELIZABETH",280020,"3.9","0.0","5.7","1.7","47.8","12.0"
"CHI HEALTH ST FRANCIS",280023,"8.6","1.8","3.1","1.5","38.7","9.2"
"CHI HEALTH ST MARY'S",281342,"11.7","1.7","5.2","0.0","Not Available","8.9"
"CHI LISBON HEALTH",351311,"0.0","Not Available","Not Available","Not Available","Not Available","10.1"
"CHI MERCY HEALTH",351324,"5.6","0.0","Not Available","Not Available","Not Available","1.4"
"CHI OAKES HOSPITAL",351315,"3.9","0.0","Not Available","0.0","Not Available","4.3"
"CHI ST ALEXIUS HEALTH BISMARCK",350002,"22.7","0.3","5.5","1.5","31.7","3.0"
"CHI ST ALEXIUS HEALTH DEVILS LAKE",351333,"4.1","1.0","3.9","0.7","44.0","Not Available"
"CHI ST ALEXIUS HEALTH DICKINSON",351336,"3.3","0.0","3.8","Not Available","28.6","8.4"
"CHI ST ALEXIUS HEALTH TURTLE LAKE",351304,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHI ST ALEXIUS HEALTH WILLISTON",351334,"13.3","12.7","Not Available","Not Available","Not Available","8.2"
"CHI ST LUKE'S HEALTH BAYLOR COLLEGE OF MEDICINE ME",450193,"18.0","1.7","5.1","1.4","34.7","7.0"
"CHI ST LUKES HEALTH MEMORIAL LUFKIN",450211,"38.2","0.3","3.3","1.1","46.2","6.6"
"CHI ST LUKES HEALTH MEMORIAL SAN AUGUSTINE",451360,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHI ST VINCENT MORRILTON",41324,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHI ST. VINCENT HOSPITAL HOT SPRINGS",40026,"8.9","3.8","5.2","1.2","49.1","13.1"
"CHI-ST VINCENT INFIRMARY",40007,"5.3","0.0","4.1","1.6","46.4","Not Available"
"CHICKASAW NATION MEDICAL CENTER",370180,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHICOT MEMORIAL MEDICAL CENTER",41328,"26.9","Not Available","Not Available","Not Available","Not Available","4.6"
"CHILDREN'S HEALTHCARE OF ATLANTA AT EGLESTON",113300,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHILDREN'S HEALTHCARE OF ATLANTA AT SCOTTISH RITE",113301,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHILDREN'S HOME OF PITTSBURGH",393304,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHILDREN'S HOSP OF LOS ANGELES",53302,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHILDREN'S HOSP OF RICHMOND OF THE VCU HEALTH SYS",493302,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHILDREN'S HOSPITAL",193300,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHILDREN'S HOSPITAL & MEDICAL CENTER",283301,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHILDREN'S HOSPITAL & RESEARCH CENTER OAKLAND",53301,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHILDREN'S HOSPITAL AT MISSION",53306,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHILDREN'S HOSPITAL NMC",93300,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHILDREN'S HOSPITAL OF ALABAMA",13300,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHILDREN'S HOSPITAL OF MICHIGAN",233300,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHILDREN'S HOSPITAL OF ORANGE COUNTY",53304,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHILDREN'S HOSPITAL OF PHILADELPHIA",393303,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHILDREN'S HOSPITAL OF PITTSBURGH OF UPMC",393302,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHILDREN'S HOSPITAL OF SAN ANTONIO",453315,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHILDREN'S HOSPITALS & CLINICS OF MN",243302,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHILDREN'S INSTITUTE OF PITTSBURGH, THE",393308,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHILDREN'S MERCY HOSPITAL KANSAS",173300,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHILDREN'S SPECIALIZED HOSPITAL",313300,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHILDRENS HOSPITAL COLORADO",63301,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHILDRENS HOSPITAL OF THE KINGS DAUGHTERS INC",493301,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHILDRENS HOSPITAL OF WISCONSIN",523300,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHILDRENS HOSPITAL OF WISCONSIN FOX VALLEY",523302,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHILDRENS MEDICAL CENTER PLANO",453316,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHILDRENS MEDICAL CTR OF DALLAS",453302,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHILDRENS MERCY HOSPITAL",263302,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHILDRESS REGIONAL MEDICAL CENTER",450369,"18.4","4.4","Not Available","Not Available","Not Available","6.5"
"CHILLICOTHE HOSPITAL DISTRICT",451326,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHILTON MEDICAL CENTER",310017,"16.4","0.8","6.3","3.0","42.9","24.6"
"CHINESE HOSPITAL",50407,"7.6","1.0","4.0","1.1","Not Available","4.2"
"CHINLE COMPREHENSIVE HEALTH CARE FACILITY",30084,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHINO VALLEY MEDICAL CENTER",50586,"4.7","Not Available","Not Available","0.0","Not Available","Not Available"
"CHIPPEWA COUNTY HOSPITAL",241325,"24.1","1.8","Not Available","0.0","Not Available","6.1"
"CHIPPEWA COUNTY WAR MEMORIAL HOSPITAL",230239,"12.6","2.5","3.6","Not Available","37.9","7.0"
"CHIPPEWA VALLEY HOSPITAL",521307,"1.4","Not Available","Not Available","0.0","Not Available","6.6"
"CHOCTAW GENERAL HOSPITAL",11304,"5.2","0.0","Not Available","Not Available","Not Available","Not Available"
"CHOCTAW HEALTH CENTER",250127,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHOCTAW MEMORIAL HOSPITAL",370100,"1.3","2.0","Not Available","0.0","Not Available","18.2"
"CHOCTAW NATION HEALTH SERVICES AUTHORITY",370172,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHOCTAW REGIONAL MEDICAL CENTER",251334,"31.1","Not Available","Not Available","7.1","Not Available","Not Available"
"CHRIST HOSPITAL",360163,"7.8","1.2","5.0","1.4","47.3","7.2"
"CHRISTIAN HOSPITAL NORTHEAST-NORTHWEST",260180,"1.4","0.0","7.6","0.3","Not Available","11.6"
"CHRISTIANA CARE HEALTH SERVICES, INC.",80001,"4.0","0.2","5.0","0.1","36.6","4.6"
"CHRISTUS COUSHATTA HEALTH CARE CENTER",191312,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHRISTUS GOOD SHEPHERD MEDICAL CENTER MARSHALL",450032,"6.5","3.4","2.0","0.8","Not Available","6.7"
"CHRISTUS GOOD SHEPHERD MEDICAL CENTER- LONGVIEW",450037,"6.9","2.4","4.4","0.3","49.0","6.8"
"CHRISTUS HEALTH SHREVEPORT - BOSSIER",190041,"6.3","0.1","Not Available","2.2","37.6","7.6"
"CHRISTUS JASPER MEMORIAL HOSPITAL",450573,"7.1","9.6","Not Available","1.5","Not Available","8.2"
"CHRISTUS LAKE AREA HOSPITAL",190201,"8.6","2.2","Not Available","Not Available","Not Available","6.5"
"CHRISTUS MOTHER FRANCES HOSPITAL",450102,"14.6","0.0","5.8","0.8","47.3","14.7"
"CHRISTUS MOTHER FRANCES HOSPITAL SULPHUR SPRINGS",450236,"12.0","10.0","3.5","1.1","Not Available","8.1"
"CHRISTUS MOTHER FRANCES HOSPITAL- JACKSONVILLE",451319,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHRISTUS MOTHER FRANCES HOSPITAL- WINNSBORO",451381,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CHRISTUS SANTA ROSA HOSPITAL",450237,"5.1","2.9","3.6","1.8","37.8","4.7"
"CHRISTUS SOUTHEAST TEXAS- ST ELIZABETH",450034,"11.4","16.1","Not Available","1.8","33.3","7.8"
"CHRISTUS SPOHN HOSPITAL ALICE",450828,"55.7","2.6","Not Available","Not Available","Not Available","8.9"
"CHRISTUS SPOHN HOSPITAL BEEVILLE",450082,"11.8","7.8","Not Available","Not Available","Not Available","6.8"
"CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI",450046,"40.0","2.0","Not Available","2.5","Not Available","6.2"
"CHRISTUS SPOHN HOSPITAL KLEBERG",450163,"45.9","12.0","Not Available","Not Available","Not Available","5.9"
"CHRISTUS ST FRANCES CABRINI HOSPITAL",190019,"24.9","2.6","3.1","1.0","39.9","7.4"
"CHRISTUS ST MICHAEL HEALTH SYSTEM",450801,"14.1","2.5","6.8","0.9","48.5","9.4"
"CHRISTUS ST PATRICK HOSPITAL",190027,"12.2","16.8","4.8","1.2","Not Available","6.2"
"CHRISTUS ST VINCENT REGIONAL MEDICAL CENTER",320002,"3.8","1.8","4.3","0.6","Not Available","Not Available"
"CIBOLA GENERAL HOSPITAL",321308,"8.0","2.6","Not Available","0.7","Not Available","6.9"
"CIMARRON MEMORIAL HOSPITAL",371307,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CINCINNATI CHILDREN'S HOSPITAL MEDICAL CENTER",363300,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CITIZENS BAPTIST MEDICAL CENTER",10101,"8.4","6.0","6.0","0.7","Not Available","5.1"
"CITIZENS MEDICAL CENTER",171362,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CITIZENS MEDICAL CENTER",190184,"16.0","0.0","Not Available","Not Available","Not Available","Not Available"
"CITIZENS MEDICAL CENTER",450023,"2.8","0.2","4.4","1.0","52.2","5.2"
"CITIZENS MEMORIAL HOSPITAL",260195,"3.1","0.0","2.8","1.4","58.8","3.3"
"CITRUS MEMORIAL HOSPITAL",100023,"8.9","5.2","Not Available","2.1","Not Available","12.3"
"CITRUS VALLEY MEDICAL CENTER-IC CAMPUS",50382,"18.3","14.7","7.8","0.8","Not Available","8.9"
"CJW MEDICAL CENTER",490112,"11.2","2.0","5.1","0.9","37.0","6.6"
"CLAIBORNE COUNTY HOSPITAL",251320,"1.4","Not Available","Not Available","Not Available","Not Available","Not Available"
"CLAIBORNE MEDICAL CENTER",440057,"6.8","4.8","7.4","Not Available","Not Available","5.8"
"CLAIBORNE MEMORIAL MEDICAL CENTER",190114,"11.6","Not Available","Not Available","0.6","Not Available","8.3"
"CLARA BARTON HOSPITAL",171333,"12.3","10.4","Not Available","0.0","Not Available","5.6"
"CLARA MAASS MEDICAL CENTER",310009,"4.8","2.9","6.3","2.2","Not Available","8.8"
"CLAREMORE INDIAN HOSPITAL",370173,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CLARINDA REGIONAL HEALTH CENTER",161352,"8.7","18.3","Not Available","Not Available","Not Available","11.8"
"CLARION HOSPITAL",390093,"24.5","0.3","3.8","4.4","Not Available","5.4"
"CLARK FORK VALLEY HOSPITAL",271323,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CLARK MEMORIAL HOSPITAL",150009,"3.0","0.0","6.0","1.2","44.6","11.1"
"CLARK REGIONAL MEDICAL CENTER",180092,"5.0","7.5","9.3","4.4","Not Available","8.6"
"CLARKE COUNTY HOSPITAL",161348,"9.6","Not Available","Not Available","0.0","Not Available","2.8"
"CLAXTON-HEPBURN MEDICAL CENTER",330211,"1.3","0.8","5.2","Not Available","Not Available","9.2"
"CLAY COUNTY HOSPITAL",10073,"5.5","8.2","Not Available","Not Available","Not Available","4.2"
"CLAY COUNTY HOSPITAL",141351,"6.3","0.3","Not Available","Not Available","Not Available","5.7"
"CLAY COUNTY MEDICAL CENTER",171371,"16.3","0.0","2.9","0.6","44.4","7.2"
"CLAY COUNTY MEDICAL CENTER",250067,"10.8","Not Available","Not Available","0.4","Not Available","2.0"
"CLAY COUNTY MEMORIAL HOSPITAL",451362,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CLEAR LAKE REGIONAL MEDICAL CENTER",450617,"8.3","0.4","3.4","2.3","52.2","7.8"
"CLEARVIEW  REGIONAL MEDICAL CENTER",110046,"3.0","3.0","Not Available","1.6","Not Available","15.1"
"CLEARWATER VALLEY HOSPITAL & CLINICS",131320,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CLEVELAND AREA HOSPITAL",371320,"7.5","0.0","Not Available","0.0","Not Available","18.5"
"CLEVELAND CLINIC",360180,"5.3","0.1","6.1","1.0","34.1","9.7"
"CLEVELAND CLINIC AVON HOSPITAL",360364,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CLEVELAND CLINIC CHILDREN'S HOSPITAL FOR REHAB",363304,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CLEVELAND CLINIC HOSPITAL",100289,"21.0","0.4","Not Available","1.4","39.0","13.5"
"CLEVELAND EMERGENCY HOSPITAL",670115,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CLIFTON FINE HOSPITAL",331307,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CLIFTON SPRINGS HOSPITAL AND CLINIC",330265,"31.1","3.8","2.2","Not Available","Not Available","9.7"
"CLINCH MEMORIAL HOSPITAL",111308,"28.0","Not Available","Not Available","Not Available","Not Available","4.2"
"CLINCH VALLEY MEDICAL CENTER",490060,"18.3","0.4","4.7","0.4","40.0","8.5"
"CLINTON HOSPITAL ASSOCIATION",220058,"3.3","0.0","Not Available","0.0","Not Available","11.8"
"CLINTON MEMORIAL HOSPITAL",360175,"10.6","8.8","5.3","1.5","39.3","6.1"
"CLOUD COUNTY HEALTH CENTER",171349,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CLOVIS COMMUNITY MEDICAL CENTER",50492,"4.4","0.9","Not Available","1.5","Not Available","9.6"
"COALINGA REGIONAL MEDICAL CENTER",50397,"Not Available","Not Available","Not Available","Not Available","Not Available","7.7"
"COAST PLAZA HOSPITAL",50771,"7.5","Not Available","Not Available","0.6","Not Available","Not Available"
"COASTAL CAROLINA HOSPITAL",420101,"10.2","0.0","Not Available","1.0","Not Available","5.3"
"COBLESKILL REGIONAL HOSPITAL",330268,"3.6","1.7","Not Available","Not Available","Not Available","6.3"
"COBRE VALLEY REGIONAL MEDICAL CENTER",31314,"11.3","14.3","Not Available","Not Available","Not Available","6.9"
"COCHRAN MEMORIAL HOSPITAL",451366,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"COFFEE REGIONAL MEDICAL CENTER",110089,"8.3","3.5","6.0","1.0","Not Available","7.7"
"COFFEY COUNTY HOSPITAL",170094,"18.4","1.2","Not Available","Not Available","58.1","2.0"
"COFFEYVILLE REGIONAL MEDICAL CENTER",170145,"6.9","0.0","2.8","0.7","41.2","9.5"
"COGDELL MEMORIAL HOSPITAL",451384,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"COLEMAN COUNTY MEDICAL CENTER COMPANY",451347,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"COLISEUM MEDICAL CENTERS",110164,"2.7","0.5","Not Available","0.7","Not Available","5.5"
"COLISEUM NORTHSIDE HOSPITAL",110201,"2.6","Not Available","Not Available","Not Available","Not Available","5.3"
"COLLEGE HOSPITAL COSTA MESA",50543,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"COLLEGE MEDICAL CENTER",50776,"4.9","Not Available","Not Available","Not Available","Not Available","Not Available"
"COLLEGE STATION MEDICAL CENTER",450299,"2.3","0.8","Not Available","Not Available","Not Available","42.5"
"COLLETON MEDICAL CENTER",420030,"10.1","0.0","6.1","1.0","34.4","7.2"
"COLLINGSWORTH GENERAL HOSPITAL",451355,"Not Available","Not Available","Not Available","0.0","Not Available","Not Available"
