"","Provider.ID","Hospital.name","PAYM_30_AMI","PAYM_30_HF","PAYM_30_PN","PAYM_90_HIP_KNEE"
"825",100167,"PLANTATION GENERAL HOSPITAL","$25,208","$17,687","$19,888","$25,574"
"826",100168,"BOCA RATON REGIONAL HOSPITAL","$23,900","$17,817","$16,861","$23,413"
"827",100173,"FLORIDA HOSPITAL TAMPA","$23,260","$19,016","$20,413","$22,494"
"828",100175,"DESOTO MEMORIAL HOSPITAL","Not Available","$17,020","$17,110","Not Available"
"829",100176,"PALM BEACH GARDENS MEDICAL CENTER","$25,067","$19,511","$17,678","$26,157"
"830",100177,"CAPE CANAVERAL HOSPITAL","$24,195","$17,430","$16,100","$24,043"
"831",100179,"MEMORIAL HOSPITAL JACKSONVILLE","$24,402","$19,218","$19,094","$26,374"
"832",100180,"ST PETERSBURG GENERAL HOSPITAL","$23,882","$16,947","$19,321","$26,317"
"833",100181,"LARKIN COMMUNITY HOSPITAL","Not Available","$16,977","$17,626","$24,896"
"834",100183,"CORAL GABLES HOSPITAL","$24,229","$17,850","$18,127","$29,899"
"835",100187,"PALMETTO GENERAL HOSPITAL","$23,593","$18,469","$17,853","$29,627"
"836",100189,"NORTHWEST MEDICAL CENTER","$24,140","$18,432","$18,858","Not Available"
"837",100191,"MEDICAL CENTER OF TRINITY","$21,570","$17,578","$18,391","$24,897"
"838",100200,"BROWARD HEALTH IMPERIAL POINT","$24,778","$16,528","$16,584","$25,480"
"839",100204,"NORTH FLORIDA REGIONAL MEDICAL CENTER","$22,957","$16,523","$15,942","$23,001"
"840",100206,"MEMORIAL HOSPITAL OF TAMPA","Not Available","$15,952","$17,528","$24,257"
"841",100209,"KENDALL REGIONAL MEDICAL CENTER","$25,904","$17,400","$19,272","$30,307"
"842",100211,"BAYFRONT HEALTH DADE CITY","$25,073","$15,953","$16,885","Not Available"
"843",100212,"OCALA REGIONAL MEDICAL CENTER","$22,438","$17,008","$18,160","$23,545"
"844",100213,"BLAKE MEDICAL CENTER","$22,964","$16,493","$16,666","$21,169"
"845",100217,"SEBASTIAN RIVER MEDICAL CENTER","$23,681","$15,886","$16,391","$21,706"
"846",100220,"GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM","$23,864","$17,327","$18,425","$23,103"
"847",100223,"FORT WALTON BEACH MEDICAL CENTER","$23,958","$16,238","$16,585","$23,391"
"848",100224,"UNIVERSITY HOSPITAL AND MEDICAL CENTER","$26,030","$18,173","$18,124","$27,110"
"849",100226,"ORANGE PARK MEDICAL CENTER","$24,611","$18,636","$20,305","$27,046"
"850",100228,"WESTSIDE REGIONAL MEDICAL CENTER","$24,065","$17,789","$17,811","$26,662"
"851",100230,"MEMORIAL HOSPITAL PEMBROKE","$27,235","$17,499","$17,832","Not Available"
"852",100231,"WEST FLORIDA HOSPITAL","$23,583","$14,969","$18,189","$24,095"
"853",100232,"PUTNAM COMMUNITY MEDICAL CENTER","$24,408","$18,076","$18,745","$25,199"
"854",100236,"FAWCETT MEMORIAL HOSPITAL","$22,386","$17,849","$19,784","$22,381"
"855",100238,"NORTHSIDE HOSPITAL","$24,217","$17,554","$20,355","$27,195"
"856",100240,"ANNE BATES LEACH EYE HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"857",100242,"GULF COAST REGIONAL MEDICAL CENTER","$24,495","$17,924","$19,575","$24,519"
"858",100243,"BRANDON REGIONAL HOSPITAL","$23,258","$17,847","$18,230","$23,656"
"859",100244,"CAPE CORAL HOSPITAL","$26,233","$15,984","$17,185","$23,937"
"860",100246,"LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE","$23,105","$16,937","$19,648","$26,312"
"861",100248,"LARGO MEDICAL CENTER","$24,231","$18,447","$19,717","$23,132"
"862",100249,"SEVEN RIVERS REGIONAL MEDICAL CENTER","$23,653","$17,731","$16,768","$24,842"
"863",100252,"RAULERSON HOSPITAL","$25,188","$16,659","$17,868","$26,398"
"864",100253,"JUPITER MEDICAL CENTER","$24,461","$18,989","$16,904","$24,144"
"865",100254,"CAPITAL REGIONAL MEDICAL CENTER","$23,974","$16,650","$17,274","$23,303"
"866",100255,"TAMPA COMMUNITY HOSPITAL","$22,319","$17,662","$20,211","$24,644"
"867",100256,"REGIONAL MEDICAL CENTER BAYONET POINT","$20,942","$17,270","$18,545","$24,602"
"868",100258,"DELRAY MEDICAL CENTER","$24,660","$18,640","$18,047","$24,209"
"869",100259,"SOUTH BAY HOSPITAL","$25,539","$16,689","$18,045","$25,199"
"870",100260,"ST LUCIE MEDICAL CENTER","$24,272","$16,948","$18,449","$24,778"
"871",100264,"OAK HILL HOSPITAL","$22,747","$17,354","$18,686","$22,742"
"872",100265,"MEASE COUNTRYSIDE HOSPITAL","$22,788","$17,683","$17,682","$23,965"
"873",100266,"GULF BREEZE HOSPITAL","$24,557","$14,848","$14,757","$22,485"
"874",100267,"ENGLEWOOD COMMUNITY HOSPITAL","$23,739","$16,413","$17,256","$23,178"
"875",100268,"WEST BOCA MEDICAL CENTER","$24,985","$19,446","$16,416","$24,260"
"876",100269,"PALMS WEST HOSPITAL","$27,279","$18,846","$17,549","$26,929"
"877",100275,"WELLINGTON REGIONAL MEDICAL CENTER LLC","$22,446","$17,758","$17,826","$26,842"
"878",100276,"BROWARD HEALTH CORAL SPRINGS","$23,193","$16,395","$17,776","$27,054"
"879",100277,"DOUGLAS GARDENS HOSPITAL","Not Available","Not Available","$16,125","Not Available"
"880",100281,"MEMORIAL HOSPITAL WEST","$23,720","$18,840","$16,833","$26,156"
"881",100284,"WESTCHESTER GENERAL HOSPITAL","$22,768","$17,060","$16,570","Not Available"
"882",100285,"MEMORIAL HOSPITAL MIRAMAR","$24,470","$18,487","$17,052","$26,474"
"883",100286,"PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE","$24,072","$16,148","$15,191","$20,132"
"884",100287,"GOOD SAMARITAN MEDICAL CENTER","$24,285","$17,733","$17,962","$25,002"
"885",100288,"ST MARY'S MEDICAL CENTER","Not Available","$16,420","$18,242","$27,437"
"886",100289,"CLEVELAND CLINIC HOSPITAL","$22,751","$17,240","$17,464","$20,153"
"887",100290,"VILLAGES REGIONAL HOSPITAL, THE","$23,603","$16,751","$17,816","$24,260"
"888",100291,"STEWARD MELBOURNE HOSPITAL","$24,246","$18,157","$16,825","$25,424"
"889",100292,"SACRED HEART HOSPITAL ON THE EMERALD COAST","$24,062","$16,092","$15,368","$22,019"
"890",100296,"DOCTORS HOSPITAL","$23,095","$17,566","$18,453","$24,952"
"891",100298,"FLORIDA STATE HOSPITAL UNIT 31 MED","Not Available","Not Available","Not Available","Not Available"
"892",100299,"LAKEWOOD RANCH MEDICAL CENTER","$23,062","$18,143","$17,073","$21,699"
"893",100302,"ST CLOUD REGIONAL MEDICAL CENTER","$24,436","$16,407","$19,904","Not Available"
"894",100307,"ST VINCENT'S MEDICAL CENTER SOUTHSIDE","$22,218","$16,572","$18,380","$19,349"
"895",100313,"SACRED HEART HOSPITAL ON THE GULF","Not Available","$13,785","$13,497","Not Available"
"896",100314,"WEST KENDALL BAPTIST HOSPITAL","$21,739","$16,219","$16,196","Not Available"
"897",100315,"VIERA HOSPITAL","$24,358","$17,121","$17,622","$21,184"
"898",100316,"PALM BAY HOSPITAL","$25,011","$18,655","$17,004","$24,157"
"899",100319,"FLORIDA HOSPITAL WESLEY CHAPEL","$24,004","$18,666","$19,289","$20,682"
"900",100320,"POINCIANA MEDICAL CENTER","Not Available","$16,671","$16,869","Not Available"
"901",100321,"ST VINCENTS MEDICAL CENTER - CLAY COUNTY","$25,365","$16,601","$17,820","$24,708"
"902",100322,"REGIONAL GENERAL HOSPITAL WILLISTON","Not Available","Not Available","Not Available","Not Available"
"903",100327,"LANDMARK HOSPITAL OF SOUTHWEST FLORIDA","Not Available","Not Available","Not Available","Not Available"
"904",100328,"MIAMI MEDICAL CENTER, THE","Not Available","Not Available","Not Available","Not Available"
"905",100329,"OVIEDO MEDICAL CENTER","Not Available","Not Available","Not Available","Not Available"
"906",101300,"FLORIDA HOSPITAL WAUCHULA","Not Available","$17,833","$18,962","Not Available"
"907",101301,"SHANDS LIVE OAK REGIONAL MEDICAL CENTER","$23,860","$16,909","$17,681","Not Available"
"908",101302,"CAMPBELLTON-GRACEVILLE HOSPITAL","Not Available","Not Available","$19,022","Not Available"
"909",101303,"LAKE BUTLER HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"910",101304,"CALHOUN-LIBERTY HOSPITAL","Not Available","$15,168","$17,313","Not Available"
"911",101305,"GEORGE E WEEMS MEMORIAL HOSPITAL","Not Available","Not Available","$13,309","Not Available"
"912",101307,"DOCTORS MEMORIAL HOSPITAL","Not Available","$15,786","$16,759","Not Available"
"913",101308,"NORTHWEST FLORIDA COMMUNITY HOSPITAL","Not Available","$16,546","$16,113","Not Available"
"914",101309,"HENDRY REGIONAL MEDICAL CENTER","Not Available","$16,300","$17,592","Not Available"
"915",101310,"SHANDS STARKE REGIONAL MEDICAL CENTER","Not Available","$15,055","$16,221","Not Available"
"916",101311,"MADISON COUNTY MEMORIAL HOSPITAL","Not Available","$17,585","$17,863","Not Available"
"917",101312,"FISHERMEN'S HOSPITAL","Not Available","$20,566","$18,955","$23,852"
"918",101313,"MARINERS HOSPITAL","Not Available","$13,745","$13,997","Not Available"
"919",103300,"ALL CHILDREN'S HOSPITAL, INC","Not Available","Not Available","Not Available","Not Available"
"920",103301,"NICKLAUS CHILDREN'S HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"921",103303,"SHRINERS HOSPITALS FOR CHILDREN-TAMPA","Not Available","Not Available","Not Available","Not Available"
"922",103304,"NEMOURS CHILDREN'S HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"923",110001,"HAMILTON MEDICAL CENTER","$20,489","$15,451","$15,485","$23,773"
"924",110002,"UPSON REGIONAL MEDICAL CENTER","$23,213","$14,061","$17,023","$22,398"
"925",110003,"MEMORIAL SATILLA HEALTH","$25,028","$17,770","$17,386","$23,386"
"926",110005,"NORTHSIDE HOSPITAL FORSYTH","$22,129","$15,707","$16,187","$17,662"
"927",110006,"ST MARY'S HOSPITAL","$20,576","$15,154","$16,499","$22,074"
"928",110007,"PHOEBE PUTNEY MEMORIAL HOSPITAL","$24,456","$13,917","$16,868","$24,519"
"929",110008,"NORTHSIDE HOSPITAL CHEROKEE","$23,737","$16,448","$16,323","$22,147"
"930",110010,"EMORY UNIVERSITY HOSPITAL","$22,508","$15,680","$17,796","$19,702"
"931",110011,"TANNER MEDICAL CENTER - CARROLLTON","$24,323","$17,955","$17,898","$26,231"
"932",110015,"TANNER MEDICAL CENTER VILLA RICA","$22,014","$16,352","$17,938","Not Available"
"933",110016,"WELLSTAR WEST GEORGIA MEDICAL CENTER","$24,424","$16,608","$16,509","$23,264"
"934",110018,"PIEDMONT NEWTON HOSPITAL","$25,564","$16,425","$16,171","$28,095"
"935",110023,"GORDON HOSPITAL","$24,303","$15,585","$17,248","$22,543"
"936",110024,"CANDLER HOSPITAL","Not Available","$15,027","$16,872","$22,358"
"937",110025,"SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS","$22,343","$14,757","$14,854","$21,324"
"938",110026,"ELBERT MEMORIAL HOSPITAL","Not Available","$14,421","$15,261","Not Available"
"939",110027,"ST MARY'S SACRED HEART HOSPITAL, INC","Not Available","$16,108","$17,888","Not Available"
"940",110028,"UNIVERSITY HOSPITAL","$23,116","$15,873","$17,341","$18,771"
"941",110029,"NORTHEAST GEORGIA MEDICAL CENTER, INC","$22,500","$14,360","$16,721","$18,610"
"942",110030,"CARTERSVILLE MEDICAL CENTER","$23,680","$15,254","$17,598","$21,363"
"943",110031,"WELLSTAR SPALDING REGIONAL HOSPITAL","$22,119","$14,310","$16,730","$23,866"
"944",110032,"STEPHENS COUNTY HOSPITAL","Not Available","$13,990","$14,729","$26,790"
"945",110034,"AU MEDICAL CENTER","$23,413","$16,747","$17,857","$20,561"
"946",110035,"WELLSTAR KENNESTONE HOSPITAL","$24,503","$16,511","$16,957","$19,313"
"947",110036,"MEMORIAL HEALTH UNIV MED CEN, INC","$21,407","$14,789","$17,441","$19,087"
"948",110038,"JOHN D ARCHBOLD MEMORIAL HOSPITAL","$22,950","$15,732","$16,482","$23,207"
"949",110039,"TRINITY HOSPITAL OF AUGUSTA","Not Available","$15,502","$16,409","$18,517"
"950",110040,"NORTHRIDGE MEDICAL CENTER","Not Available","$14,736","$16,319","Not Available"
"951",110041,"HABERSHAM COUNTY MEDICAL CTR","Not Available","$14,617","$16,948","$21,854"
"952",110042,"WELLSTAR PAULDING HOSPITAL","$23,065","$14,252","$15,009","$20,309"
"953",110043,"ST JOSEPH'S HOSPITAL - SAVANNAH","$21,321","$16,741","$15,708","$18,244"
"954",110044,"PHOEBE SUMTER MEDICAL CENTER","Not Available","$14,199","$16,871","$26,674"
"955",110045,"NORTHEAST GEORGIA MEDICAL CENTER BARROW","Not Available","$15,372","$16,518","Not Available"
"956",110046,"CLEARVIEW  REGIONAL MEDICAL CENTER","$23,649","$15,341","$17,337","$22,245"
"957",110050,"MURRAY MEDICAL CENTER","Not Available","$15,771","$15,977","Not Available"
"958",110051,"UNION GENERAL HOSPITAL","$21,275","$13,999","$15,342","$24,483"
"959",110054,"FLOYD MEDICAL CENTER","$22,835","$16,630","$17,892","$21,304"
"960",110064,"MIDTOWN MEDICAL CENTER","$23,310","$15,908","$18,667","Not Available"
"961",110069,"HOUSTON MEDICAL CENTER","$22,366","$15,062","$17,268","$23,701"
"962",110071,"APPLING HOSPITAL","Not Available","$15,425","$14,960","Not Available"
"963",110073,"DORMINY MEDICAL CENTER","Not Available","$15,318","$16,698","Not Available"
"964",110074,"PIEDMONT ATHENS REGIONAL MEDICAL CENTER","$20,485","$15,072","$16,220","$22,467"
"965",110075,"EAST GEORGIA REGIONAL MEDICAL CENTER","$23,108","$14,824","$17,270","$27,165"
"966",110076,"DEKALB MEDICAL CENTER","$21,384","$16,455","$16,143","$22,803"
"967",110078,"EMORY UNIVERSITY HOSPITAL MIDTOWN","$23,284","$15,200","$16,377","$23,297"
"968",110079,"GRADY MEMORIAL HOSPITAL","$21,319","$13,476","$18,992","Not Available"
"969",110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC","$22,092","$16,478","$16,620","$18,253"
"970",110083,"PIEDMONT HOSPITAL","$22,008","$16,888","$17,515","$21,336"
"971",110086,"WASHINGTON COUNTY REGIONAL MEDICAL CENTER","Not Available","$14,021","$15,687","Not Available"
"972",110087,"GWINNETT MEDICAL CENTER","$22,153","$15,770","$16,129","$20,882"
"973",110089,"COFFEE REGIONAL MEDICAL CENTER","$24,634","$16,739","$15,042","$20,899"
"974",110091,"ROCKDALE MEDICAL CENTER","$22,485","$14,349","$15,996","$24,232"
"975",110092,"DODGE COUNTY HOSPITAL","Not Available","$15,339","$15,044","Not Available"
"976",110095,"TIFT REGIONAL MEDICAL CENTER","$21,150","$14,217","$14,902","$18,861"
"977",110100,"JEFFERSON HOSPITAL","Not Available","$13,708","$16,799","Not Available"
"978",110101,"COOK  MEDICAL CENTER  A CAMPUS OF TIFT REG MED CTR","Not Available","Not Available","$13,985","Not Available"
"979",110104,"CRISP REGIONAL HOSPITAL","$23,280","$14,906","$15,656","Not Available"
"980",110105,"COLQUITT REGIONAL MEDICAL CENTER","Not Available","$14,536","$16,723","$22,684"
"981",110107,"MEDICAL CENTER, NAVICENT HEALTH (THE)","$21,475","$16,758","$16,634","$23,785"
"982",110109,"EMANUEL MEDICAL CENTER","Not Available","$15,688","$17,318","Not Available"
"983",110111,"UNIVERSITY HOSPITAL MCDUFFIE","Not Available","Not Available","$17,153","$25,122"
"984",110113,"BURKE MEDICAL CENTER","Not Available","Not Available","$14,593","Not Available"
"985",110115,"WELLSTAR ATLANTA MEDICAL CENTER","$24,230","$16,566","$19,058","$24,255"
"986",110121,"GRADY GENERAL HOSPITAL","Not Available","$13,182","$12,650","Not Available"
"987",110122,"SOUTH GEORGIA MEDICAL CENTER","$24,954","$14,969","$15,715","$21,860"
"988",110124,"WAYNE MEMORIAL HOSPITAL","$23,652","$15,571","$15,370","$19,397"
"989",110125,"FAIRVIEW PARK HOSPITAL","$24,457","$15,346","$16,464","$19,989"
"990",110128,"MEADOWS REGIONAL MEDICAL CENTER","$21,324","$14,181","$17,238","$23,456"
"991",110129,"ST FRANCIS HOSPITAL","$22,513","$15,831","$17,291","$23,360"
"992",110130,"IRWIN COUNTY HOSPITAL","Not Available","Not Available","$16,087","Not Available"
"993",110132,"MEMORIAL HOSPITAL AND MANOR","Not Available","$14,800","$12,891","$21,770"
"994",110135,"TAYLOR REGIONAL HOSPITAL","Not Available","$15,882","$14,529","$23,400"
"995",110142,"EVANS MEMORIAL HOSPITAL","Not Available","$14,452","$16,831","Not Available"
"996",110143,"WELLSTAR COBB HOSPITAL","$22,627","$16,409","$17,202","$21,843"
"997",110146,"SOUTHEAST GEORGIA HEALTH SYSTEM- CAMDEN CAMPUS","Not Available","$16,766","$16,005","$20,648"
"998",110150,"OCONEE REGIONAL MEDICAL CENTER","Not Available","$15,021","$16,262","$21,823"
"999",110153,"PERRY HOSPITAL","Not Available","$15,240","$17,021","$22,107"
"1000",110161,"NORTHSIDE HOSPITAL","$21,755","$17,043","$17,226","$20,155"
"1001",110164,"COLISEUM MEDICAL CENTERS","$23,892","$15,942","$15,833","Not Available"
"1002",110165,"SOUTHERN REGIONAL MEDICAL CENTER","$21,348","$15,958","$17,373","$21,965"
"1003",110168,"REDMOND REGIONAL MEDICAL CENTER","$19,541","$15,000","$16,356","$21,209"
"1004",110177,"DOCTORS HOSPITAL","$22,340","$15,133","$17,248","$21,359"
"1005",110184,"WELLSTAR DOUGLAS HOSPITAL","$22,068","$15,996","$16,863","$20,857"
"1006",110187,"CHESTATEE REGIONAL HOSPITAL","Not Available","$13,970","$14,093","$20,024"
"1007",110189,"FANNIN REGIONAL HOSPITAL","Not Available","$16,521","$15,139","Not Available"
"1008",110190,"FLINT RIVER COMMUNITY HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"1009",110191,"PIEDMONT HENRY HOSPITAL","$23,045","$16,876","$18,658","$22,287"
"1010",110192,"EASTSIDE MEDICAL CENTER","$22,602","$16,329","$18,145","$22,694"
"1011",110194,"DONALSONVILLE HOSPITAL INC","Not Available","$14,090","$12,160","Not Available"
"1012",110198,"WELLSTAR NORTH FULTON HOSPITAL","$23,208","$16,737","$18,208","$22,358"
"1013",110200,"NORTHSIDE MEDICAL CENTER","Not Available","Not Available","Not Available","$22,440"
"1014",110201,"COLISEUM NORTHSIDE HOSPITAL","Not Available","$14,542","$15,175","$21,772"
"1015",110209,"TURNING POINT HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"1016",110215,"PIEDMONT FAYETTE HOSPITAL","$23,397","$16,227","$17,909","$20,674"
"1017",110225,"PIEDMONT MOUNTAINSIDE HOSPITAL INC","$21,738","$14,786","$16,176","$19,191"
"1018",110226,"DEKALB MEDICAL CENTER AT HILLANDALE","$23,909","$14,601","$15,387","Not Available"
"1019",110229,"PIEDMONT NEWNAN HOSPITAL, INC","$22,952","$14,417","$16,766","$22,018"
"1020",110230,"EMORY JOHNS CREEK HOSPITAL","$21,697","$14,678","$15,856","$20,672"
"1021",110233,"SOUTHEASTERN REGIONAL MEDICAL CENTER","Not Available","Not Available","Not Available","Not Available"
"1022",110234,"SGMC BERRIEN CAMPUS","Not Available","Not Available","$13,035","Not Available"
"1023",110236,"CORNERSTONE MEDICAL CENTER","Not Available","Not Available","Not Available","Not Available"
"1024",111300,"SOUTHWEST GEORGIA REGIONAL MEDICAL CENTER","Not Available","Not Available","$14,059","Not Available"
"1025",111302,"BLECKLEY MEMORIAL HOSPITAL","Not Available","Not Available","$18,237","Not Available"
"1026",111303,"JASPER MEMORIAL HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"1027",111304,"MORGAN MEMORIAL HOSPITAL","Not Available","Not Available","$16,956","Not Available"
"1028",111305,"MILLER COUNTY HOSPITAL","Not Available","Not Available","$16,503","Not Available"
"1029",111306,"EFFINGHAM HEALTH SYSTEM","Not Available","Not Available","$16,720","Not Available"
"1030",111308,"CLINCH MEMORIAL HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"1031",111310,"MEDICAL CENTER OF PEACH COUNTY, NAVICENT HEALTH","Not Available","$13,869","$14,868","Not Available"
"1032",111311,"JENKIN COUNTY MEDICAL CENTER","Not Available","Not Available","Not Available","Not Available"
"1033",111312,"OPTIM MEDICAL CENTER - SCREVEN","Not Available","Not Available","$15,421","Not Available"
"1034",111313,"PUTNAM GENERAL HOSPITAL","Not Available","$14,434","$16,414","Not Available"
"1035",111314,"PIONEER COMMUNITY HOSPITAL OF EARLY","Not Available","Not Available","$18,834","Not Available"
"1036",111316,"WARM SPRINGS MEDICAL CENTER","Not Available","Not Available","Not Available","Not Available"
"1037",111318,"MONROE COUNTY HOSPITAL","Not Available","$15,281","$16,980","Not Available"
"1038",111319,"WELLSTAR SYLVAN GROVE HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"1039",111320,"HIGGINS GENERAL HOSPITAL","Not Available","Not Available","$19,160","Not Available"
"1040",111323,"OPTIM MEDICAL CENTER - TATTNALL","Not Available","Not Available","Not Available","$44,673"
"1041",111324,"CHATUGE REGIONAL HOSPITAL","Not Available","$15,820","$14,525","Not Available"
"1042",111325,"WILLS MEMORIAL HOSPITAL","Not Available","$16,124","$17,024","Not Available"
"1043",111326,"SGMC LANIER CAMPUS","Not Available","Not Available","Not Available","Not Available"
"1044",111327,"BACON COUNTY HOSPITAL","Not Available","$16,197","$13,473","Not Available"
"1045",111328,"PHOEBE WORTH MEDICAL CENTER","Not Available","Not Available","Not Available","Not Available"
"1046",111329,"ST MARY'S GOOD SAMARITAN HOSPITAL","Not Available","$16,442","$15,765","$23,788"
"1047",111330,"POLK MEDICAL CENTER","Not Available","Not Available","Not Available","Not Available"
"1048",111331,"MITCHELL COUNTY HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"1049",111332,"BROOKS COUNTY HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"1050",111333,"JEFF DAVIS HOSPITAL","Not Available","$15,490","$15,625","Not Available"
"1051",111334,"CANDLER COUNTY HOSPITAL","Not Available","$15,774","$16,469","Not Available"
"1052",111335,"LIBERTY REGIONAL MEDICAL CENTER","Not Available","$14,456","$17,164","Not Available"
"1053",111336,"MOUNTAIN LAKES MEDICAL CENTER","Not Available","$15,374","$15,328","Not Available"
"1054",113300,"CHILDREN'S HEALTHCARE OF ATLANTA AT EGLESTON","Not Available","Not Available","Not Available","Not Available"
"1055",113301,"CHILDREN'S HEALTHCARE OF ATLANTA AT SCOTTISH RITE","Not Available","Not Available","Not Available","Not Available"
"1056",120001,"THE QUEENS MEDICAL CENTER","$19,638","$14,581","$15,944","$19,409"
"1057",120002,"MAUI MEMORIAL MEDICAL CENTER","$20,345","$15,629","$15,762","Not Available"
"1058",120004,"WAHIAWA GENERAL HOSPITAL","$21,297","$16,044","$14,854","Not Available"
"1059",120005,"HILO MEDICAL CENTER","$20,266","$15,153","$15,751","$19,811"
"1060",120006,"CASTLE MEDICAL CENTER","$21,145","$16,575","$16,360","$18,085"
"1061",120007,"KUAKINI MEDICAL CENTER","$22,994","$15,871","$17,435","$27,240"
"1062",120011,"KAISER FOUNDATION HOSPITAL","$21,114","$15,715","$14,104","Not Available"
"1063",120014,"WILCOX MEMORIAL HOSPITAL","$21,523","$12,921","$14,723","$19,001"
"1064",120019,"KONA COMMUNITY HOSPITAL","Not Available","$15,568","$15,963","Not Available"
"1065",120022,"STRAUB CLINIC AND HOSPITAL","$20,825","$15,498","$18,726","$19,688"
"1066",120026,"PALI MOMI MEDICAL CENTER","$23,352","$15,732","$16,832","Not Available"
"1067",120028,"NORTH HAWAII COMMUNITY HOSPITAL","Not Available","$15,729","$14,893","$20,383"
"1068",121300,"KAUAI VETERANS MEMORIAL HOSPITAL","Not Available","Not Available","$19,067","Not Available"
"1069",121301,"KAU HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"1070",121302,"KOHALA HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"1071",121303,"MOLOKAI GENERAL HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"1072",121304,"KAHUKU MEDICAL CENTER","Not Available","Not Available","Not Available","Not Available"
"1073",121305,"LANAI COMMUNITY HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"1074",121306,"SAMUEL MAHELONA MEMORIAL HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"1075",121307,"HALE HO'OLA HAMAKUA","Not Available","Not Available","Not Available","Not Available"
"1076",121308,"KULA HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"1077",123300,"KAPIOLANI MEDICAL CENTER FOR WOMEN & CHILDREN","Not Available","Not Available","Not Available","Not Available"
"1078",123301,"SHRINERS HOSPITAL FOR CHILDREN","Not Available","Not Available","Not Available","Not Available"
"1079",130002,"ST LUKE'S MAGIC VALLEY RMC","$22,485","$14,907","$16,633","$21,686"
"1080",130003,"ST JOSEPH REGIONAL MEDICAL CENTER","$22,082","$15,282","$17,560","$20,727"
"1081",130006,"ST LUKE'S REGIONAL MEDICAL CENTER","$19,671","$14,666","$16,752","$18,782"
"1082",130007,"SAINT ALPHONSUS REGIONAL MEDICAL CENTER","$22,032","$14,914","$16,457","$18,881"
"1083",130013,"SAINT ALPHONSUS MEDICAL CENTER - NAMPA","$21,577","$14,858","$16,948","$19,627"
"1084",130014,"WEST VALLEY MEDICAL CENTER","$21,009","$14,901","$17,004","$20,943"
"1085",130018,"EASTERN IDAHO REGIONAL MEDICAL CENTER","$23,113","$15,700","$16,053","$22,229"
"1086",130025,"MADISON MEMORIAL HOSPITAL","Not Available","$13,775","$17,620","$20,813"
"1087",130028,"PORTNEUF MEDICAL CENTER","$23,522","$16,116","$17,513","$20,729"
"1088",130049,"KOOTENAI HEALTH","$22,396","$17,345","$17,039","$21,143"
"1089",130063,"TREASURE VALLEY HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"1090",130065,"MOUNTAIN VIEW HOSPITAL","Not Available","Not Available","Not Available","$21,086"
"1091",130066,"NORTHWEST SPECIALTY HOSPITAL","Not Available","Not Available","Not Available","$20,015"
"1092",130067,"IDAHO DOCTORS HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"1093",131301,"BOUNDARY COMMUNITY HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"1094",131302,"NORTH CANYON MEDICAL CENTER","Not Available","$20,364","$20,272","Not Available"
"1095",131303,"NELL J REDFIELD MEMORIAL HOSPITAL","Not Available","Not Available","$19,239","Not Available"
"1096",131304,"POWER COUNTY HOSPITAL DISTRICT","Not Available","Not Available","Not Available","Not Available"
"1097",131305,"STEELE MEMORIAL MEDICAL CENTER","Not Available","Not Available","$14,748","$18,037"
"1098",131307,"WEISER MEMORIAL HOSPITAL","Not Available","Not Available","$18,383","$24,366"
"1099",131308,"CASCADE MEDICAL CENTER","Not Available","Not Available","Not Available","Not Available"
"1100",131309,"CARIBOU MEMORIAL HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"1101",131310,"ST LUKE'S JEROME","Not Available","Not Available","$17,682","Not Available"
"1102",131311,"ST LUKE'S ELMORE MEDICAL CENTER","Not Available","Not Available","$16,787","Not Available"
"1103",131312,"ST LUKE'S MCCALL","Not Available","Not Available","$15,372","$20,654"
"1104",131313,"TETON VALLEY HOSPITAL","Not Available","Not Available","Not Available","Not Available"
"1105",131314,"SHOSHONE MEDICAL CENTER","Not Available","Not Available","$18,955","Not Available"
