Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Communication with Nurses Floor,Communication with Nurses Achievement Threshold,Communication with Nurses Benchmark,Communication with Nurses Baseline Rate,Communication with Nurses Performance Rate,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Floor,Communication with Doctors Achievement Threshold,Communication with Doctors Benchmark,Communication with Doctors Baseline Rate,Communication with Doctors Performance Rate,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Floor,Responsiveness of Hospital Staff Achievement Threshold,Responsiveness of Hospital Staff Benchmark,Responsiveness of Hospital Staff Baseline Rate,Responsiveness of Hospital Staff Performance Rate,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Care Transition Floor,Care Transition Achievement Threshold,Care Transition Benchmark,Care Transition Baseline Rate,Care Transition Performance Rate,Care Transition Achievement Points,Care Transition Improvement Points,Care Transition Dimension Score,Communication about Medicines Floor,Communication about Medicines Achievement Threshold,Communication about Medicines Benchmark,Communication about Medicines Baseline Rate,Communication about Medicines Performance Rate,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Floor,Cleanliness and Quietness of Hospital Environment Achievement Threshold,Cleanliness and Quietness of Hospital Environment Benchmark,Cleanliness and Quietness of Hospital Environment Baseline Rate,Cleanliness and Quietness of Hospital Environment Performance Rate,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Floor,Discharge Information Achievement Threshold,Discharge Information Benchmark,Discharge Information Baseline Rate,Discharge Information Performance Rate,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Floor,Overall Rating of Hospital Achievement Threshold,Overall Rating of Hospital Benchmark,Overall Rating of Hospital Baseline Rate,Overall Rating of Hospital Performance Rate,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
"330175","CORTLAND REGIONAL MEDICAL CENTER, INC","134 HOMER AVENUE","CORTLAND","NY","13045","Cortland","55.27","78.52","86.68","74.54","71.87","0 out of 10","0 out of 9","0 out of 10","57.39","80.44","88.51","72.02","71.57","0 out of 10","0 out of 9","0 out of 10","38.40","65.08","80.35","60.39","59.55","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","41.20","43.68","0 out of 10","1 out of 9","1 out of 10","43.43","63.37","73.66","61.55","59.09","0 out of 10","0 out of 9","0 out of 10","40.05","65.60","79.00","61.94","61.04","0 out of 10","0 out of 9","0 out of 10","62.25","86.60","91.63","87.41","86.97","1 out of 10","0 out of 9","1 out of 10","37.67","70.23","84.58","51.98","56.75","0 out of 10","1 out of 9","1 out of 10","3","11"
"520038","AURORA MEDICAL CTR WASHINGTON COUNTY","1032 E SUMNER ST","HARTFORD","WI","53027","Washington","55.27","78.52","86.68","82.76","84.26","7 out of 10","3 out of 9","7 out of 10","57.39","80.44","88.51","87.04","87.26","8 out of 10","1 out of 9","8 out of 10","38.40","65.08","80.35","71.88","77.58","8 out of 10","6 out of 9","8 out of 10","25.21","51.45","62.44","52.07","56.76","5 out of 10","4 out of 9","5 out of 10","43.43","63.37","73.66","69.01","68.07","5 out of 10","0 out of 9","5 out of 10","40.05","65.60","79.00","69.18","68.23","2 out of 10","0 out of 9","2 out of 10","62.25","86.60","91.63","89.47","89.35","5 out of 10","0 out of 9","5 out of 10","37.67","70.23","84.58","68.51","76.54","4 out of 10","4 out of 9","4 out of 10","44","20"
"080001","CHRISTIANA CARE HEALTH SERVICES, INC.","4755 OGLETOWN-STANTON ROAD","NEWARK","DE","19718","New Castle","55.27","78.52","86.68","79.58","79.08","1 out of 10","0 out of 9","1 out of 10","57.39","80.44","88.51","77.90","77.97","0 out of 10","0 out of 9","0 out of 10","38.40","65.08","80.35","71.16","70.99","4 out of 10","0 out of 9","4 out of 10","25.21","51.45","62.44","52.61","53.55","2 out of 10","0 out of 9","2 out of 10","43.43","63.37","73.66","64.81","67.33","4 out of 10","2 out of 9","4 out of 10","40.05","65.60","79.00","61.38","63.72","0 out of 10","1 out of 9","1 out of 10","62.25","86.60","91.63","86.63","86.84","1 out of 10","0 out of 9","1 out of 10","37.67","70.23","84.58","69.89","73.43","3 out of 10","2 out of 9","3 out of 10","16","17"
"420027","ANMED HEALTH","800 N FANT ST","ANDERSON","SC","29621","Anderson","55.27","78.52","86.68","79.94","80.10","2 out of 10","0 out of 9","2 out of 10","57.39","80.44","88.51","82.10","82.17","2 out of 10","0 out of 9","2 out of 10","38.40","65.08","80.35","67.97","65.94","1 out of 10","0 out of 9","1 out of 10","25.21","51.45","62.44","53.64","49.81","0 out of 10","0 out of 9","0 out of 10","43.43","63.37","73.66","63.49","63.43","1 out of 10","0 out of 9","1 out of 10","40.05","65.60","79.00","71.86","68.99","3 out of 10","0 out of 9","3 out of 10","62.25","86.60","91.63","86.08","88.19","3 out of 10","3 out of 9","3 out of 10","37.67","70.23","84.58","72.13","70.24","1 out of 10","0 out of 9","1 out of 10","13","18"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","ANNISTON","AL","36201","Calhoun","55.27","78.52","86.68","78.01","75.35","0 out of 10","0 out of 9","0 out of 10","57.39","80.44","88.51","80.55","82.57","3 out of 10","2 out of 9","3 out of 10","38.40","65.08","80.35","60.61","58.17","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","48.11","47.52","0 out of 10","0 out of 9","0 out of 10","43.43","63.37","73.66","61.29","62.74","0 out of 10","1 out of 9","1 out of 10","40.05","65.60","79.00","74.07","74.83","7 out of 10","1 out of 9","7 out of 10","62.25","86.60","91.63","84.70","82.45","0 out of 10","0 out of 9","0 out of 10","37.67","70.23","84.58","69.46","72.56","2 out of 10","2 out of 9","2 out of 10","13","14"
"140117","PRESENCE RESURRECTION MEDICAL CENTER","7435 W TALCOTT AVENUE","CHICAGO","IL","60631","Cook","55.27","78.52","86.68","76.35","78.90","1 out of 10","2 out of 9","2 out of 10","57.39","80.44","88.51","79.17","78.52","0 out of 10","0 out of 9","0 out of 10","38.40","65.08","80.35","63.18","64.44","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","47.65","49.91","0 out of 10","1 out of 9","1 out of 10","43.43","63.37","73.66","54.53","56.87","0 out of 10","1 out of 9","1 out of 10","40.05","65.60","79.00","60.01","63.92","0 out of 10","2 out of 9","2 out of 10","62.25","86.60","91.63","83.47","82.60","0 out of 10","0 out of 9","0 out of 10","37.67","70.23","84.58","71.09","69.73","0 out of 10","0 out of 9","0 out of 10","6","13"
"140242","CENTRAL DUPAGE HOSPITAL","25 NORTH WINFIELD ROAD","WINFIELD","IL","60190","DuPage","55.27","78.52","86.68","78.83","81.72","4 out of 10","3 out of 9","4 out of 10","57.39","80.44","88.51","77.20","82.15","2 out of 10","4 out of 9","4 out of 10","38.40","65.08","80.35","62.31","65.82","1 out of 10","1 out of 9","1 out of 10","25.21","51.45","62.44","54.60","58.43","6 out of 10","4 out of 9","6 out of 10","43.43","63.37","73.66","61.07","64.43","1 out of 10","2 out of 9","2 out of 10","40.05","65.60","79.00","69.94","73.55","6 out of 10","3 out of 9","6 out of 10","62.25","86.60","91.63","90.48","89.32","5 out of 10","0 out of 9","5 out of 10","37.67","70.23","84.58","78.17","82.53","8 out of 10","6 out of 9","8 out of 10","36","20"
"200020","YORK HOSPITAL","15 HOSPITAL DRIVE","YORK","ME","03909","York","55.27","78.52","86.68","84.98","82.22","5 out of 10","0 out of 9","5 out of 10","57.39","80.44","88.51","86.80","83.86","4 out of 10","0 out of 9","4 out of 10","38.40","65.08","80.35","69.87","67.28","2 out of 10","0 out of 9","2 out of 10","25.21","51.45","62.44","63.81","58.75","6 out of 10","0 out of 9","6 out of 10","43.43","63.37","73.66","68.71","68.17","5 out of 10","0 out of 9","5 out of 10","40.05","65.60","79.00","71.66","68.09","2 out of 10","0 out of 9","2 out of 10","62.25","86.60","91.63","89.34","90.91","8 out of 10","6 out of 9","8 out of 10","37.67","70.23","84.58","84.51","80.89","7 out of 10","0 out of 9","7 out of 10","39","20"
"330181","GLEN COVE HOSPITAL","101 ST ANDREWS LANE","GLEN COVE","NY","11542","Nassau","55.27","78.52","86.68","78.15","75.85","0 out of 10","0 out of 9","0 out of 10","57.39","80.44","88.51","79.57","79.52","0 out of 10","0 out of 9","0 out of 10","38.40","65.08","80.35","57.36","58.26","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","45.69","47.57","0 out of 10","1 out of 9","1 out of 10","43.43","63.37","73.66","59.94","59.99","0 out of 10","0 out of 9","0 out of 10","40.05","65.60","79.00","58.90","64.69","0 out of 10","2 out of 9","2 out of 10","62.25","86.60","91.63","74.92","79.80","0 out of 10","2 out of 9","2 out of 10","37.67","70.23","84.58","67.77","64.70","0 out of 10","0 out of 9","0 out of 10","5","14"
"360151","AFFINITY MEDICAL CENTER","875 EIGHTH STREET NE","MASSILLON","OH","44646","Stark","55.27","78.52","86.68","74.44","79.34","1 out of 10","3 out of 9","3 out of 10","57.39","80.44","88.51","78.13","79.70","0 out of 10","1 out of 9","1 out of 10","38.40","65.08","80.35","58.85","63.97","0 out of 10","2 out of 9","2 out of 10","25.21","51.45","62.44","48.48","49.40","0 out of 10","0 out of 9","0 out of 10","43.43","63.37","73.66","55.10","60.16","0 out of 10","2 out of 9","2 out of 10","40.05","65.60","79.00","61.10","55.40","0 out of 10","0 out of 9","0 out of 10","62.25","86.60","91.63","86.39","87.32","2 out of 10","1 out of 9","2 out of 10","37.67","70.23","84.58","67.02","66.65","0 out of 10","0 out of 9","0 out of 10","10","12"
"450462","TEXAS HEALTH PRESBYTERIAN HOSPITAL  DALLAS","8200 WALNUT HILL LANE","DALLAS","TX","75231","Dallas","55.27","78.52","86.68","78.87","76.69","0 out of 10","0 out of 9","0 out of 10","57.39","80.44","88.51","82.01","80.51","1 out of 10","0 out of 9","1 out of 10","38.40","65.08","80.35","62.83","61.70","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","54.30","53.79","2 out of 10","0 out of 9","2 out of 10","43.43","63.37","73.66","63.52","61.73","0 out of 10","0 out of 9","0 out of 10","40.05","65.60","79.00","68.36","65.11","0 out of 10","0 out of 9","0 out of 10","62.25","86.60","91.63","85.86","87.31","2 out of 10","2 out of 9","2 out of 10","37.67","70.23","84.58","78.43","73.85","3 out of 10","0 out of 9","3 out of 10","8","17"
"450711","RIO GRANDE REGIONAL HOSPITAL","101 E RIDGE RD","MCALLEN","TX","78503","Hidalgo","55.27","78.52","86.68","74.32","74.24","0 out of 10","0 out of 9","0 out of 10","57.39","80.44","88.51","78.92","78.23","0 out of 10","0 out of 9","0 out of 10","38.40","65.08","80.35","58.28","57.45","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","40.79","42.04","0 out of 10","0 out of 9","0 out of 10","43.43","63.37","73.66","64.34","60.84","0 out of 10","0 out of 9","0 out of 10","40.05","65.60","79.00","67.09","65.36","0 out of 10","0 out of 9","0 out of 10","62.25","86.60","91.63","83.81","83.57","0 out of 10","0 out of 9","0 out of 10","37.67","70.23","84.58","67.91","70.35","1 out of 10","1 out of 9","1 out of 10","1","12"
"190118","DESOTO REGIONAL HEALTH SYSTEM","207 JEFFERSON STREET","MANSFIELD","LA","71052","De Soto","55.27","78.52","86.68","86.22","88.36","10 out of 10","9 out of 9","10 out of 10","57.39","80.44","88.51","94.15","94.38","10 out of 10","9 out of 9","10 out of 10","38.40","65.08","80.35","80.75","78.94","9 out of 10","0 out of 9","9 out of 10","25.21","51.45","62.44","60.21","51.93","1 out of 10","0 out of 9","1 out of 10","43.43","63.37","73.66","83.40","81.34","10 out of 10","0 out of 9","10 out of 10","40.05","65.60","79.00","76.11","82.07","10 out of 10","9 out of 9","10 out of 10","62.25","86.60","91.63","85.79","88.24","3 out of 10","4 out of 9","4 out of 10","37.67","70.23","84.58","78.51","83.38","9 out of 10","8 out of 9","9 out of 10","63","20"
"100050","LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS","1475 W 49TH ST","HIALEAH","FL","33012","Miami-Dade","55.27","78.52","86.68","76.73","77.66","0 out of 10","0 out of 9","0 out of 10","57.39","80.44","88.51","79.77","79.28","0 out of 10","0 out of 9","0 out of 10","38.40","65.08","80.35","62.77","57.31","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","61.60","57.26","5 out of 10","0 out of 9","5 out of 10","43.43","63.37","73.66","61.39","57.03","0 out of 10","0 out of 9","0 out of 10","40.05","65.60","79.00","68.07","62.35","0 out of 10","0 out of 9","0 out of 10","62.25","86.60","91.63","70.45","78.16","0 out of 10","3 out of 9","3 out of 10","37.67","70.23","84.58","52.00","55.86","0 out of 10","1 out of 9","1 out of 10","9","11"
"050411","KAISER FOUNDATION HOSPITAL - SOUTH BAY","25825 SOUTH VERMONT AVENUE","HARBOR CITY","CA","90710","Los Angeles","55.27","78.52","86.68","76.84","76.81","0 out of 10","0 out of 9","0 out of 10","57.39","80.44","88.51","81.94","81.09","1 out of 10","0 out of 9","1 out of 10","38.40","65.08","80.35","66.15","64.74","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","53.09","51.41","0 out of 10","0 out of 9","0 out of 10","43.43","63.37","73.66","62.36","62.89","0 out of 10","0 out of 9","0 out of 10","40.05","65.60","79.00","62.18","66.72","1 out of 10","2 out of 9","2 out of 10","62.25","86.60","91.63","85.69","85.65","0 out of 10","0 out of 9","0 out of 10","37.67","70.23","84.58","75.04","75.32","4 out of 10","0 out of 9","4 out of 10","7","18"
"100232","PUTNAM COMMUNITY MEDICAL CENTER","611 ZEAGLER DR","PALATKA","FL","32177","Putnam","55.27","78.52","86.68","72.63","75.47","0 out of 10","2 out of 9","2 out of 10","57.39","80.44","88.51","76.82","78.86","0 out of 10","1 out of 9","1 out of 10","38.40","65.08","80.35","51.10","62.38","0 out of 10","3 out of 9","3 out of 10","25.21","51.45","62.44","46.48","45.94","0 out of 10","0 out of 9","0 out of 10","43.43","63.37","73.66","57.94","61.98","0 out of 10","2 out of 9","2 out of 10","40.05","65.60","79.00","58.53","64.40","0 out of 10","2 out of 9","2 out of 10","62.25","86.60","91.63","84.72","87.16","2 out of 10","3 out of 9","3 out of 10","37.67","70.23","84.58","58.57","63.07","0 out of 10","1 out of 9","1 out of 10","14","15"
"360159","ADENA REGIONAL MEDICAL CENTER","272 HOSPITAL ROAD","CHILLICOTHE","OH","45601","Ross","55.27","78.52","86.68","81.55","80.81","3 out of 10","0 out of 9","3 out of 10","57.39","80.44","88.51","80.77","78.75","0 out of 10","0 out of 9","0 out of 10","38.40","65.08","80.35","69.63","63.69","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","51.97","52.34","1 out of 10","0 out of 9","1 out of 10","43.43","63.37","73.66","65.03","62.57","0 out of 10","0 out of 9","0 out of 10","40.05","65.60","79.00","60.03","61.60","0 out of 10","0 out of 9","0 out of 10","62.25","86.60","91.63","89.41","88.81","4 out of 10","0 out of 9","4 out of 10","37.67","70.23","84.58","68.59","63.30","0 out of 10","0 out of 9","0 out of 10","8","15"
"490040","INOVA ALEXANDRIA HOSPITAL","4320 SEMINARY RD","ALEXANDRIA","VA","22304","Alexandria City","55.27","78.52","86.68","75.54","74.96","0 out of 10","0 out of 9","0 out of 10","57.39","80.44","88.51","72.99","74.90","0 out of 10","1 out of 9","1 out of 10","38.40","65.08","80.35","59.18","58.35","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","48.07","48.43","0 out of 10","0 out of 9","0 out of 10","43.43","63.37","73.66","63.79","58.35","0 out of 10","0 out of 9","0 out of 10","40.05","65.60","79.00","62.15","61.68","0 out of 10","0 out of 9","0 out of 10","62.25","86.60","91.63","84.13","82.75","0 out of 10","0 out of 9","0 out of 10","37.67","70.23","84.58","63.59","65.47","0 out of 10","0 out of 9","0 out of 10","1","14"
"140054","MACNEAL  HOSPITAL","3249 SOUTH OAK PARK AVENUE","BERWYN","IL","60402","Cook","55.27","78.52","86.68","75.38","77.15","0 out of 10","1 out of 9","1 out of 10","57.39","80.44","88.51","78.41","80.68","1 out of 10","2 out of 9","2 out of 10","38.40","65.08","80.35","62.83","62.37","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","41.61","41.41","0 out of 10","0 out of 9","0 out of 10","43.43","63.37","73.66","58.76","63.78","1 out of 10","3 out of 9","3 out of 10","40.05","65.60","79.00","55.56","59.89","0 out of 10","1 out of 9","1 out of 10","62.25","86.60","91.63","84.18","87.00","1 out of 10","3 out of 9","3 out of 10","37.67","70.23","84.58","63.43","67.03","0 out of 10","1 out of 9","1 out of 10","11","12"
"150109","FRANCISCAN HEALTH LAFAYETTE","1701 S CREASY LN","LAFAYETTE","IN","47905","Tippecanoe","55.27","78.52","86.68","81.54","84.24","7 out of 10","5 out of 9","7 out of 10","57.39","80.44","88.51","81.12","82.07","2 out of 10","1 out of 9","2 out of 10","38.40","65.08","80.35","65.02","69.01","3 out of 10","2 out of 9","3 out of 10","25.21","51.45","62.44","53.97","57.08","5 out of 10","3 out of 9","5 out of 10","43.43","63.37","73.66","65.68","66.73","3 out of 10","1 out of 9","3 out of 10","40.05","65.60","79.00","66.82","68.68","3 out of 10","1 out of 9","3 out of 10","62.25","86.60","91.63","88.48","89.03","5 out of 10","1 out of 9","5 out of 10","37.67","70.23","84.58","77.06","81.12","7 out of 10","5 out of 9","7 out of 10","35","20"
"020006","MAT-SU REGIONAL MEDICAL CENTER","2500 SOUTH WOODWORTH LOOP","PALMER","AK","99645","Matanuska Susitna","55.27","78.52","86.68","72.89","77.34","0 out of 10","3 out of 9","3 out of 10","57.39","80.44","88.51","77.31","78.02","0 out of 10","0 out of 9","0 out of 10","38.40","65.08","80.35","57.42","59.61","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","53.00","53.77","2 out of 10","0 out of 9","2 out of 10","43.43","63.37","73.66","63.44","66.14","3 out of 10","2 out of 9","3 out of 10","40.05","65.60","79.00","67.86","65.17","0 out of 10","0 out of 9","0 out of 10","62.25","86.60","91.63","88.72","89.72","6 out of 10","3 out of 9","6 out of 10","37.67","70.23","84.58","66.47","70.97","1 out of 10","2 out of 9","2 out of 10","16","15"
"180050","HARLAN ARH HOSPITAL","81 BALL PARK ROAD","HARLAN","KY","40831","Harlan","55.27","78.52","86.68","72.57","78.24","0 out of 10","4 out of 9","4 out of 10","57.39","80.44","88.51","76.57","81.46","2 out of 10","4 out of 9","4 out of 10","38.40","65.08","80.35","65.14","72.70","5 out of 10","4 out of 9","5 out of 10","25.21","51.45","62.44","43.22","44.93","0 out of 10","0 out of 9","0 out of 10","43.43","63.37","73.66","54.86","60.51","0 out of 10","3 out of 9","3 out of 10","40.05","65.60","79.00","64.79","66.80","1 out of 10","1 out of 9","1 out of 10","62.25","86.60","91.63","79.34","81.56","0 out of 10","1 out of 9","1 out of 10","37.67","70.23","84.58","62.63","66.24","0 out of 10","1 out of 9","1 out of 10","19","15"
"050281","ALHAMBRA HOSPITAL MEDICAL CENTER","100 S RAYMOND AVE","ALHAMBRA","CA","91801","Los Angeles","55.27","78.52","86.68","70.23","74.59","0 out of 10","2 out of 9","2 out of 10","57.39","80.44","88.51","71.78","72.27","0 out of 10","0 out of 9","0 out of 10","38.40","65.08","80.35","64.20","61.51","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","46.64","36.62","0 out of 10","0 out of 9","0 out of 10","43.43","63.37","73.66","65.55","64.11","1 out of 10","0 out of 9","1 out of 10","40.05","65.60","79.00","62.99","65.67","1 out of 10","1 out of 9","1 out of 10","62.25","86.60","91.63","84.68","85.76","0 out of 10","1 out of 9","1 out of 10","37.67","70.23","84.58","64.44","63.78","0 out of 10","0 out of 9","0 out of 10","5","8"
"450137","BAYLOR SCOTT AND WHITE ALL SAINTS MEDICAL CENTER","1400 EIGHTH AVE","FORT WORTH","TX","76104","Tarrant","55.27","78.52","86.68","76.43","76.64","0 out of 10","0 out of 9","0 out of 10","57.39","80.44","88.51","78.03","79.11","0 out of 10","1 out of 9","1 out of 10","38.40","65.08","80.35","60.58","61.75","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","51.64","51.25","0 out of 10","0 out of 9","0 out of 10","43.43","63.37","73.66","62.93","60.40","0 out of 10","0 out of 9","0 out of 10","40.05","65.60","79.00","62.85","64.20","0 out of 10","0 out of 9","0 out of 10","62.25","86.60","91.63","84.70","86.24","0 out of 10","2 out of 9","2 out of 10","37.67","70.23","84.58","72.83","71.55","1 out of 10","0 out of 9","1 out of 10","4","17"
"030073","TUBA CITY REGIONAL HEALTH CARE CORPORATION","PO BOX 600","TUBA CITY","AZ","86045","Coconino","55.27","78.52","86.68","68.65","70.58","0 out of 10","1 out of 9","1 out of 10","57.39","80.44","88.51","75.47","77.83","0 out of 10","1 out of 9","1 out of 10","38.40","65.08","80.35","56.10","62.98","0 out of 10","2 out of 9","2 out of 10","25.21","51.45","62.44","47.03","65.35","10 out of 10","9 out of 9","10 out of 10","43.43","63.37","73.66","60.82","63.03","0 out of 10","1 out of 9","1 out of 10","40.05","65.60","79.00","64.13","70.63","4 out of 10","4 out of 9","4 out of 10","62.25","86.60","91.63","84.93","85.60","0 out of 10","0 out of 9","0 out of 10","37.67","70.23","84.58","56.55","61.81","0 out of 10","1 out of 9","1 out of 10","20","13"
"450661","ODESSA REGIONAL MEDICAL CENTER","520 E 6TH STREET","ODESSA","TX","79761","Ector","55.27","78.52","86.68","78.23","76.57","0 out of 10","0 out of 9","0 out of 10","57.39","80.44","88.51","80.35","78.35","0 out of 10","0 out of 9","0 out of 10","38.40","65.08","80.35","65.70","60.38","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","50.45","44.92","0 out of 10","0 out of 9","0 out of 10","43.43","63.37","73.66","64.35","63.24","0 out of 10","0 out of 9","0 out of 10","40.05","65.60","79.00","68.36","64.61","0 out of 10","0 out of 9","0 out of 10","62.25","86.60","91.63","85.74","87.43","2 out of 10","2 out of 9","2 out of 10","37.67","70.23","84.58","69.56","70.26","1 out of 10","0 out of 9","1 out of 10","3","15"
"340069","WAKEMED, RALEIGH CAMPUS","3000 NEW BERN AVE","RALEIGH","NC","27610","Wake","55.27","78.52","86.68","80.90","81.04","3 out of 10","0 out of 9","3 out of 10","57.39","80.44","88.51","82.72","81.37","2 out of 10","0 out of 9","2 out of 10","38.40","65.08","80.35","64.40","69.50","3 out of 10","3 out of 9","3 out of 10","25.21","51.45","62.44","53.05","49.62","0 out of 10","0 out of 9","0 out of 10","43.43","63.37","73.66","68.01","67.89","4 out of 10","0 out of 9","4 out of 10","40.05","65.60","79.00","62.74","59.99","0 out of 10","0 out of 9","0 out of 10","62.25","86.60","91.63","86.44","89.05","5 out of 10","5 out of 9","5 out of 10","37.67","70.23","84.58","71.82","74.83","3 out of 10","2 out of 9","3 out of 10","20","15"
"520066","MERCY HEALTH SYSTEM CORP","1000 MINERAL POINT AVE","JANESVILLE","WI","53548","Rock","55.27","78.52","86.68","79.85","81.53","4 out of 10","2 out of 9","4 out of 10","57.39","80.44","88.51","81.07","82.64","3 out of 10","2 out of 9","3 out of 10","38.40","65.08","80.35","68.20","67.14","2 out of 10","0 out of 9","2 out of 10","25.21","51.45","62.44","52.15","55.45","4 out of 10","3 out of 9","4 out of 10","43.43","63.37","73.66","66.73","66.47","3 out of 10","0 out of 9","3 out of 10","40.05","65.60","79.00","71.05","68.66","3 out of 10","0 out of 9","3 out of 10","62.25","86.60","91.63","89.65","89.34","5 out of 10","0 out of 9","5 out of 10","37.67","70.23","84.58","71.11","76.11","4 out of 10","3 out of 9","4 out of 10","28","20"
"050195","WASHINGTON HOSPITAL","2000 MOWRY AVE","FREMONT","CA","94538","Alameda","55.27","78.52","86.68","74.12","78.88","1 out of 10","3 out of 9","3 out of 10","57.39","80.44","88.51","78.13","82.22","2 out of 10","3 out of 9","3 out of 10","38.40","65.08","80.35","62.18","66.31","1 out of 10","2 out of 9","2 out of 10","25.21","51.45","62.44","46.36","55.29","4 out of 10","5 out of 9","5 out of 10","43.43","63.37","73.66","61.09","66.04","3 out of 10","3 out of 9","3 out of 10","40.05","65.60","79.00","63.16","67.56","2 out of 10","2 out of 9","2 out of 10","62.25","86.60","91.63","82.72","86.13","0 out of 10","3 out of 9","3 out of 10","37.67","70.23","84.58","66.41","72.09","2 out of 10","3 out of 9","3 out of 10","24","19"
"450678","BAYLOR SCOTT AND WHITE MEDICAL CENTER WHITE ROCK","9440 POPPY DR","DALLAS","TX","75218","Dallas","55.27","78.52","86.68","76.70","75.49","0 out of 10","0 out of 9","0 out of 10","57.39","80.44","88.51","83.52","80.02","0 out of 10","0 out of 9","0 out of 10","38.40","65.08","80.35","63.88","61.01","0 out of 10","0 out of 9","0 out of 10","25.21","51.45","62.44","45.55","44.95","0 out of 10","0 out of 9","0 out of 10","43.43","63.37","73.66","61.35","61.83","0 out of 10","0 out of 9","0 out of 10","40.05","65.60","79.00","67.17","66.61","1 out of 10","0 out of 9","1 out of 10","62.25","86.60","91.63","85.94","85.39","0 out of 10","0 out of 9","0 out of 10","37.67","70.23","84.58","67.26","68.15","0 out of 10","0 out of 9","0 out of 10","1","15"
"180080","BAPTIST HEALTH CORBIN","ONE TRILLIUM WAY","CORBIN","KY","40701","Whitley","55.27","78.52","86.68","82.62","81.60","4 out of 10","0 out of 9","4 out of 10","57.39","80.44","88.51","87.15","84.11","5 out of 10","0 out of 9","5 out of 10","38.40","65.08","80.35","65.79","69.44","3 out of 10","2 out of 9","3 out of 10","25.21","51.45","62.44","51.18","55.95","4 out of 10","4 out of 9","4 out of 10","43.43","63.37","73.66","60.05","69.69","6 out of 10","7 out of 9","7 out of 10","40.05","65.60","79.00","61.01","64.92","0 out of 10","2 out of 9","2 out of 10","62.25","86.60","91.63","86.32","88.95","5 out of 10","4 out of 9","5 out of 10","37.67","70.23","84.58","69.16","72.97","2 out of 10","2 out of 9","2 out of 10","32","19"
"100132","SOUTH FLORIDA BAPTIST HOSPITAL","301 N ALEXANDER ST","PLANT CITY","FL","33563","Hillsborough","55.27","78.52","86.68","78.94","79.55","2 out of 10","0 out of 9","2 out of 10","57.39","80.44","88.51","77.95","76.33","0 out of 10","0 out of 9","0 out of 10","38.40","65.08","80.35","67.83","66.90","2 out of 10","0 out of 9","2 out of 10","25.21","51.45","62.44","55.08","54.13","3 out of 10","0 out of 9","3 out of 10","43.43","63.37","73.66","67.13","66.14","3 out of 10","0 out of 9","3 out of 10","40.05","65.60","79.00","68.04","68.22","2 out of 10","0 out of 9","2 out of 10","62.25","86.60","91.63","89.70","88.26","3 out of 10","0 out of 9","3 out of 10","37.67","70.23","84.58","73.70","74.87","3 out of 10","1 out of 9","3 out of 10","18","16"
