"HOSPITAL_NAME","PROVIDER_ID","STATE","FISCAL_YEAR","DOMAIN_1_SCORE","DOMAIN_1_FOOTNOTE","DOMAIN_1_START_DATE","DOMAIN_1_END_DATE","PSI_90_W_Z_SCORE","PSI_90_FOOTNOTE","DOMAIN_2_SCORE","DOMAIN_2_FOOTNOTE","CLABSI_W_Z_SCORE","CLABSI_FOOTNOTE","CAUTI_W_Z_SCORE","CAUTI_FOOTNOTE","SSI_W_Z_SCORE","SSI_FOOTNOTE","MRSA_W_Z_SCORE","MRSA_FOOTNOTE","CDI_W_Z_SCORE","CDI_FOOTNOTE","DOMAIN_2_START_DATE","DOMAIN_2_END_DATE","TOTAL_HAC_SCORE","TOTAL_HAC_FOOTNOTE","PAYMENT_REDUCTION","PAYMENT_REDUCTION_FOOTNOTE"
"NORTHWESTERN LAKE FOREST HOSPITAL","140130","IL","2018","0.3233","","07/01/2014","09/30/2015","0.3233","","0.8802","","-0.5740","","1.9810","","1.3515","","2.2236","","-0.5811","","01/01/2015","12/31/2016","0.7967","","Yes",""
"HOLY CROSS HOSPITAL","140133","IL","2018","0.1022","","07/01/2014","09/30/2015","0.1022","","0.3150","","2.0407","","0.9102","","-0.2085","","-0.5864","","-0.5811","","01/01/2015","12/31/2016","0.2831","","No",""
"DECATUR MEMORIAL HOSPITAL","140135","IL","2018","-1.7118","","07/01/2014","09/30/2015","-1.7118","","0.3885","","0.8551","","-0.3577","","-0.7552","","1.2362","","0.9641","","01/01/2015","12/31/2016","0.0735","","No",""
"GREENVILLE REGIONAL HOSPITAL INC","140137","IL","2018","-0.0254","","07/01/2014","09/30/2015","-0.0254","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","-0.0254","","No",""
"ST MARGARETS HOSPITAL","140143","IL","2018","-0.5242","","07/01/2014","09/30/2015","-0.5242","","0.4456","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","0.4456","","01/01/2015","12/31/2016","0.3001","","No",""
"ST JOSEPHS HOSPITAL","140145","IL","2018","0.3333","","07/01/2014","09/30/2015","0.3333","","-0.3180","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","-0.3180","","01/01/2015","12/31/2016","-0.2203","","No",""
"RICHLAND MEMORIAL HOSPITAL","140147","IL","2018","-0.6441","","07/01/2014","09/30/2015","-0.6441","","1.6204","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","1.6204","","01/01/2015","12/31/2016","1.2808","","Yes",""
"MEMORIAL MEDICAL CENTER, AN AFFILIATE OF MEMORIAL HEALTH SYSTEM","140148","IL","2018","-0.2921","","07/01/2014","09/30/2015","-0.2921","","0.1810","","0.2209","","0.1485","","0.9357","","-0.3785","","-0.0218","","01/01/2015","12/31/2016","0.1100","","No",""
"UNIVERSITY OF ILLINOIS HOSPITAL","140150","IL","2018","2.3268","","07/01/2014","09/30/2015","2.3268","","0.2148","","-0.1512","","0.4275","","0.6667","","-0.3910","","0.5222","","01/01/2015","12/31/2016","0.5316","","Yes",""
"PROVENA ST MARYS HOSPITAL","140155","IL","2018","0.9451","","07/01/2014","09/30/2015","0.9451","","0.0560","","0.5422","","-0.7402","","-0.4653","","0.1582","","0.7853","","01/01/2015","12/31/2016","0.1894","","No",""
"MERCY HOSPITAL AND MEDICAL CENTER","140158","IL","2018","0.2264","","07/01/2014","09/30/2015","0.2264","","0.8165","","0.1972","","1.7171","","2.1044","","-0.4406","","0.5044","","01/01/2015","12/31/2016","0.7280","","Yes",""
"FHN MEMORIAL HOSPITAL","140160","IL","2018","-1.1210","","07/01/2014","09/30/2015","-1.1210","","-0.0539","","-1.5110","","-1.5254","","1.1995","","-0.3925","","1.9601","","01/01/2015","12/31/2016","-0.2139","","No",""
"OSF SAINT JAMES HOSPITAL","140161","IL","2018","0.1052","","07/01/2014","09/30/2015","0.1052","","1.2654","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","1.2654","","01/01/2015","12/31/2016","1.0914","","Yes",""
"ST JOSEPH MEDICAL CENTER","140162","IL","2018","-1.7118","","07/01/2014","09/30/2015","-1.7118","","0.7235","","0.3968","","-0.0553","","2.0432","","0.4886","","0.7444","","01/01/2015","12/31/2016","0.3582","","No",""
"MEMORIAL HOSPITAL OF CARBONDALE","140164","IL","2018","0.5561","","07/01/2014","09/30/2015","0.5561","","-0.2637","","-0.7973","","-0.7870","","-1.1884","","1.0904","","0.3639","","01/01/2015","12/31/2016","-0.1407","","No",""
"ST MARYS HOSPITAL","140166","IL","2018","0.8373","","07/01/2014","09/30/2015","0.8373","","-0.5891","","-0.9952","","-1.5254","","0.7663","","-0.8935","","-0.2976","","01/01/2015","12/31/2016","-0.3751","","No",""
"IROQUOIS MEMORIAL HOSPITAL","140167","IL","2018","0.9590","","07/01/2014","09/30/2015","0.9590","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","Not Available","5","01/01/2015","12/31/2016","0.9590","","Yes",""
"FRANCISCAN ALLIANCE, INC., DBA, FRANCISCAN ST. JAMES HEALTH","140172","IL","2018","2.3268","","07/01/2014","09/30/2015","2.3268","","0.2114","","0.1448","","0.7415","","-0.3307","","0.3086","","0.1928","","01/01/2015","12/31/2016","0.5287","","Yes",""
"PRESENCE MERCY MEDICAL CENTER","140174","IL","2018","-0.3567","","07/01/2014","09/30/2015","-0.3567","","-0.1610","","-1.2100","","-0.4579","","1.3148","","-0.2669","","-0.1852","","01/01/2015","12/31/2016","-0.1904","","No",""
"CENTEGRA HOSPITAL - WOODSTOCK","140176","IL","2018","-0.3273","","07/01/2014","09/30/2015","-0.3273","","-0.1970","","-0.8886","","0.1685","","0.1793","","-0.0574","","-0.3870","","01/01/2015","12/31/2016","-0.2166","","No",""
"JACKSON PARK HOSPITAL","140177","IL","2018","0.0060","","07/01/2014","09/30/2015","0.0060","","-1.6129","","-1.5110","","-1.5254","","Not Available","5","-1.4551","","-1.9602","","01/01/2015","12/31/2016","-1.3701","","No",""
"LITTLE COMPANY OF MARY HOSPITAL","140179","IL","2018","1.1492","","07/01/2014","09/30/2015","1.1492","","0.6053","","1.5282","","0.4191","","0.9043","","-0.6640","","0.8389","","01/01/2015","12/31/2016","0.6869","","Yes",""
"PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER","140180","IL","2018","-0.1232","","07/01/2014","09/30/2015","-0.1232","","-0.6469","","-0.8328","","-0.9206","","-0.3115","","-0.2669","","-0.9029","","01/01/2015","12/31/2016","-0.5684","","No",""
"SOUTH SHORE HOSPITAL","140181","IL","2018","-0.1609","","07/01/2014","09/30/2015","-0.1609","","1.8669","","1.9257","","2.1498","","Not Available","5","2.2236","","1.1684","","01/01/2015","12/31/2016","1.5627","","Yes",""
"ADVOCATE ILLINOIS MASONIC MEDICAL CENTER","140182","IL","2018","1.5589","","07/01/2014","09/30/2015","1.5589","","-0.2063","","0.1769","","0.6831","","-0.3832","","-1.0269","","-0.4815","","01/01/2015","12/31/2016","0.0585","","No",""
"HEARTLAND REGIONAL MEDICAL CENTER","140184","IL","2018","2.3268","","07/01/2014","09/30/2015","2.3268","","-0.5873","","-1.5110","","-1.1579","","-1.4872","","Not Available","5","1.8069","","01/01/2015","12/31/2016","-0.1502","","No",""
"MEMORIAL HOSPITAL","140185","IL","2018","0.7730","","07/01/2014","09/30/2015","0.7730","","0.1648","","0.1076","","-0.1706","","-0.0233","","-0.1148","","1.0254","","01/01/2015","12/31/2016","0.2561","","No",""
"RIVERSIDE MEDICAL CENTER","140186","IL","2018","-1.0171","","07/01/2014","09/30/2015","-1.0171","","-0.5816","","-1.0510","","-0.6183","","-0.0530","","-0.6252","","-0.5607","","01/01/2015","12/31/2016","-0.6469","","No",""
"ST ELIZABETH HOSPITAL","140187","IL","2018","0.9985","","07/01/2014","09/30/2015","0.9985","","-0.1526","","-0.5943","","0.3506","","0.2894","","-0.7229","","-0.0856","","01/01/2015","12/31/2016","0.0201","","No",""
"SARAH BUSH LINCOLN HEALTH CENTER","140189","IL","2018","-0.9904","","07/01/2014","09/30/2015","-0.9904","","0.9568","","0.0230","","1.1074","","1.6030","","1.5155","","0.5350","","01/01/2015","12/31/2016","0.6647","","Yes",""
"INGALLS MEMORIAL HOSPITAL","140191","IL","2018","-1.7118","","07/01/2014","09/30/2015","-1.7118","","0.2394","","-0.1461","","-0.0286","","2.1044","","-0.6345","","-0.0984","","01/01/2015","12/31/2016","-0.0533","","No",""
"METHODIST HOSPITAL OF CHICAGO","140197","IL","2018","-0.3074","","07/01/2014","09/30/2015","-0.3074","","-0.9769","","Not Available","5","-0.1238","","Not Available","5","Not Available","5","-1.8300","","01/01/2015","12/31/2016","-0.8765","","No",""
"ELMHURST MEMORIAL HOSPITAL","140200","IL","2018","1.7342","","07/01/2014","09/30/2015","1.7342","","-0.9778","","-1.4045","","-1.0058","","-1.4872","","-1.4551","","0.4635","","01/01/2015","12/31/2016","-0.5710","","No",""
"ADVOCATE CONDELL MEDICAL CENTER","140202","IL","2018","-0.7879","","07/01/2014","09/30/2015","-0.7879","","-0.1733","","-0.0599","","-0.3627","","-1.1151","","-0.2343","","0.9053","","01/01/2015","12/31/2016","-0.2655","","No",""
"NORWEGIAN-AMERICAN HOSPITAL","140206","IL","2018","-0.1077","","07/01/2014","09/30/2015","-0.1077","","-0.6231","","-1.0239","","-0.8371","","Not Available","5","-0.1753","","-0.4559","","01/01/2015","12/31/2016","-0.5458","","No",""
"ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER","140208","IL","2018","1.4332","","07/01/2014","09/30/2015","1.4332","","-0.2921","","-0.3558","","-0.1940","","-0.9474","","-0.6236","","0.6601","","01/01/2015","12/31/2016","-0.0333","","No",""
"METHODIST MEDICAL CENTER OF ILLINOIS","140209","IL","2018","-1.5058","","07/01/2014","09/30/2015","-1.5058","","0.0998","","0.3883","","-0.5080","","-0.2871","","1.3898","","-0.4840","","01/01/2015","12/31/2016","-0.1410","","No",""
"HARRISBURG MEDICAL CENTER","140210","IL","2018","-0.2139","","07/01/2014","09/30/2015","-0.2139","","-0.1526","","Not Available","5","0.8250","","Not Available","5","Not Available","5","-1.1302","","01/01/2015","12/31/2016","-0.1618","","No",""
"DELNOR COMMUNITY HOSPITAL","140211","IL","2018","-0.3518","","07/01/2014","09/30/2015","-0.3518","","0.0217","","-0.1157","","-0.1572","","0.0396","","-1.4551","","1.7967","","01/01/2015","12/31/2016","-0.0344","","No",""
"SILVER CROSS HOSPITAL  AND MEDICAL CENTERS","140213","IL","2018","-1.7118","","07/01/2014","09/30/2015","-1.7118","","-0.2623","","-0.2510","","-0.8438","","-0.0408","","0.2109","","-0.3870","","01/01/2015","12/31/2016","-0.4798","","No",""
"PRESENCE SAINT JOSEPH HOSPITAL - ELGIN","140217","IL","2018","-0.5399","","07/01/2014","09/30/2015","-0.5399","","-0.6254","","-0.9478","","-1.5254","","-1.4872","","0.7988","","0.0344","","01/01/2015","12/31/2016","-0.6126","","No",""
"ADVOCATE LUTHERAN GENERAL HOSPITAL","140223","IL","2018","0.6168","","07/01/2014","09/30/2015","0.6168","","-0.0106","","-0.2797","","0.4692","","-0.4198","","-0.5290","","0.7061","","01/01/2015","12/31/2016","0.0835","","No",""
"PRESENCE SAINT JOSEPH HOSPITAL - CHICAGO","140224","IL","2018","-0.4660","","07/01/2014","09/30/2015","-0.4660","","-0.9321","","-1.3994","","-1.1629","","-1.1221","","-1.4551","","0.4788","","01/01/2015","12/31/2016","-0.8622","","No",""
"SWEDISH AMERICAN HOSPITAL","140228","IL","2018","1.2577","","07/01/2014","09/30/2015","1.2577","","-0.2011","","-1.0966","","-0.5114","","-0.5264","","0.4281","","0.7010","","01/01/2015","12/31/2016","0.0177","","No",""
"EDWARD HOSPITAL","140231","IL","2018","0.7155","","07/01/2014","09/30/2015","0.7155","","0.1321","","-0.3356","","1.0522","","0.0553","","-0.2607","","0.1494","","01/01/2015","12/31/2016","0.2196","","No",""
"OSF SAINT ANTHONY MEDICAL CENTER","140233","IL","2018","1.0712","","07/01/2014","09/30/2015","1.0712","","0.9136","","0.3257","","1.3462","","0.6929","","1.9824","","0.2209","","01/01/2015","12/31/2016","0.9373","","Yes",""
"ILLINOIS VALLEY COMMUNITY HOSPITAL","140234","IL","2018","-1.2310","","07/01/2014","09/30/2015","-1.2310","","-0.1868","","Not Available","5","-1.5254","","0.2562","","Not Available","5","0.7087","","01/01/2015","12/31/2016","-0.3435","","No",""
"ROCKFORD MEMORIAL HOSPITAL","140239","IL","2018","2.1861","","07/01/2014","09/30/2015","2.1861","","-0.2806","","0.2851","","-0.1606","","0.1723","","-1.1060","","-0.5939","","01/01/2015","12/31/2016","0.0894","","No",""
"WESTLAKE COMMUNITY HOSPITAL","140240","IL","2018","0.4836","","07/01/2014","09/30/2015","0.4836","","0.0024","","-0.0819","","-0.1589","","0.8152","","-1.4551","","0.8926","","01/01/2015","12/31/2016","0.0746","","No",""
"CENTRAL DUPAGE HOSPITAL","140242","IL","2018","1.6623","","07/01/2014","09/30/2015","1.6623","","0.0282","","0.0382","","0.3206","","0.6038","","-0.7741","","-0.0473","","01/01/2015","12/31/2016","0.2733","","No",""
"ADVOCATE SOUTH SUBURBAN HOSPITAL","140250","IL","2018","-0.6326","","07/01/2014","09/30/2015","-0.6326","","-0.0287","","-0.4928","","-0.3009","","0.1758","","-0.6453","","1.1199","","01/01/2015","12/31/2016","-0.1193","","No",""
"COMMUNITY FIRST MEDICAL CENTER","140251","IL","2018","0.4276","","07/01/2014","09/30/2015","0.4276","","-0.5061","","-0.6045","","-1.1228","","-0.4653","","0.5801","","-0.9182","","01/01/2015","12/31/2016","-0.3661","","No",""
"NORTHWEST COMMUNITY HOSPITAL 1","140252","IL","2018","-0.9482","","07/01/2014","09/30/2015","-0.9482","","0.1336","","-0.0852","","-0.0453","","0.0239","","0.0558","","0.7189","","01/01/2015","12/31/2016","-0.0287","","No",""
"ALEXIAN BROTHERS MEDICAL CENTER 1","140258","IL","2018","-0.1390","","07/01/2014","09/30/2015","-0.1390","","-0.7144","","-1.2066","","-0.5832","","-0.7011","","-1.4551","","0.3741","","01/01/2015","12/31/2016","-0.6281","","No",""
"GENESIS HLTH SYSTEM DBA GENESIS MDL CTR-ILLINI","140275","IL","2018","0.8583","","07/01/2014","09/30/2015","0.8583","","0.8946","","0.5067","","0.8768","","1.5576","","Not Available","5","0.6372","","01/01/2015","12/31/2016","0.8891","","Yes",""
"LOYOLA UNIVERSITY MEDICAL CENTER","140276","IL","2018","-0.6611","","07/01/2014","09/30/2015","-0.6611","","0.5428","","-0.1038","","0.1418","","1.6834","","-0.4747","","1.4672","","01/01/2015","12/31/2016","0.3622","","No",""
"TRINITY - ROCK ISLAND","140280","IL","2018","-0.7231","","07/01/2014","09/30/2015","-0.7231","","-0.1735","","0.4035","","-0.1322","","-0.4076","","-0.9928","","0.2617","","01/01/2015","12/31/2016","-0.2559","","No",""
"NORTHWESTERN MEMORIAL HOSPITAL","140281","IL","2018","1.9221","","07/01/2014","09/30/2015","1.9221","","0.2592","","0.2868","","0.3690","","0.7436","","-0.0559","","-0.0473","","01/01/2015","12/31/2016","0.5087","","Yes",""
"KISHWAUKEE COMMUNITY HOSPITAL","140286","IL","2018","0.0215","","07/01/2014","09/30/2015","0.0215","","-0.4034","","-1.1880","","-1.3349","","0.0675","","-0.4949","","0.9334","","01/01/2015","12/31/2016","-0.3396","","No",""
"ADVOCATE GOOD SAMARITAN HOSPITAL","140288","IL","2018","2.2906","","07/01/2014","09/30/2015","2.2906","","-0.1549","","-0.9055","","-0.8622","","0.8274","","-1.1914","","1.3574","","01/01/2015","12/31/2016","0.2120","","No",""
"ANDERSON HOSPITAL","140289","IL","2018","-0.5861","","07/01/2014","09/30/2015","-0.5861","","0.1120","","2.1946","","-0.1589","","-0.9526","","-0.7617","","0.2387","","01/01/2015","12/31/2016","0.0073","","No",""
"ST ALEXIUS MEDICAL CENTER","140290","IL","2018","-1.1111","","07/01/2014","09/30/2015","-1.1111","","-0.4480","","-0.5334","","0.6062","","-1.0138","","-1.2441","","-0.0550","","01/01/2015","12/31/2016","-0.5475","","No",""
"ADVOCATE GOOD SHEPHERD HOSPITAL","140291","IL","2018","-0.6394","","07/01/2014","09/30/2015","-0.6394","","-0.4119","","-0.8903","","-0.7018","","-0.2574","","-1.4551","","1.2450","","01/01/2015","12/31/2016","-0.4460","","No",""
"ADVENTIST GLENOAKS HOSPITAL","140292","IL","2018","-0.0570","","07/01/2014","09/30/2015","-0.0570","","0.1530","","1.1291","","2.1498","","Not Available","5","-1.4551","","-1.2119","","01/01/2015","12/31/2016","0.1215","","No",""
"CROSSROADS COMMUNITY HOSPITAL","140294","IL","2018","-0.3702","","07/01/2014","09/30/2015","-0.3702","","-1.2094","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","-1.2094","","01/01/2015","12/31/2016","-1.0835","","No",""
"PROVIDENT HOSPITAL OF CHICAGO","140300","IL","2018","-0.0202","","07/01/2014","09/30/2015","-0.0202","","-1.9602","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","-1.9602","","01/01/2015","12/31/2016","-1.6692","","No",""
"ADVENTIST BOLINGBROOK HOSPITAL","140304","IL","2018","-0.2383","","07/01/2014","09/30/2015","-0.2383","","-0.0524","","0.1465","","1.5751","","-1.4872","","0.0744","","-0.5709","","01/01/2015","12/31/2016","-0.0803","","No",""
"METRO-EAST SERVICES INC","140307","IL","2018","Not Available","5","07/01/2014","09/30/2015","Not Available","5","-0.1163","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","-0.1163","","01/01/2015","12/31/2016","-0.1163","","No",""
"JOHNSON MEMORIAL HOSPITAL","150001","IN","2018","-0.6005","","07/01/2014","09/30/2015","-0.6005","","-0.9067","","Not Available","5","0.1167","","-1.4872","","Not Available","5","-1.3498","","01/01/2015","12/31/2016","-0.8608","","No",""
"METHODIST HOSPITALS INC","150002","IN","2018","-0.4529","","07/01/2014","09/30/2015","-0.4529","","0.1397","","0.2547","","-0.7168","","1.9436","","-0.8889","","0.1059","","01/01/2015","12/31/2016","0.0508","","No",""
"FRANCISCAN ST. MARGARET HEALTH HAMMOND","150004","IN","2018","-0.8046","","07/01/2014","09/30/2015","-0.8046","","0.5818","","1.1274","","-0.3560","","0.6108","","0.0263","","1.5004","","01/01/2015","12/31/2016","0.3738","","Yes",""
"HENDRICKS REGIONAL HEALTH","150005","IN","2018","-1.2694","","07/01/2014","09/30/2015","-1.2694","","-0.7684","","-1.5110","","0.4692","","-1.0400","","-1.4551","","-0.3053","","01/01/2015","12/31/2016","-0.8436","","No",""
"LA PORTE HOSPITAL","150006","IN","2018","-0.1638","","07/01/2014","09/30/2015","-0.1638","","0.2708","","1.2221","","0.8067","","-0.9526","","-1.4551","","1.7328","","01/01/2015","12/31/2016","0.2056","","No",""
"COMMUNITY HOWARD REGIONAL HEALTH INC.","150007","IN","2018","-0.0371","","07/01/2014","09/30/2015","-0.0371","","0.1661","","0.7283","","-1.5254","","0.6894","","-0.0512","","0.9896","","01/01/2015","12/31/2016","0.1357","","No",""
"ST CATHERINE HOSPITAL INC","150008","IN","2018","0.4129","","07/01/2014","09/30/2015","0.4129","","-0.0584","","-1.1660","","0.0984","","0.8938","","-0.3801","","0.2617","","01/01/2015","12/31/2016","0.0123","","No",""
"CLARK MEMORIAL HOSPITAL","150009","IN","2018","0.9774","","07/01/2014","09/30/2015","0.9774","","0.1434","","-0.7144","","0.0316","","0.4746","","-1.0347","","1.9601","","01/01/2015","12/31/2016","0.2685","","No",""
"ST. JOSEPH HOSPITAL & HEALTH CENTER, INC","150010","IN","2018","-0.0572","","07/01/2014","09/30/2015","-0.0572","","-0.4492","","-0.8396","","-0.9691","","-0.7832","","0.3598","","-0.0141","","01/01/2015","12/31/2016","-0.3904","","No",""
"MARION GENERAL HOSPITAL","150011","IN","2018","0.6216","","07/01/2014","09/30/2015","0.6216","","0.6909","","-0.3440","","2.1498","","2.1044","","0.6390","","-1.0944","","01/01/2015","12/31/2016","0.6805","","Yes",""
"SAINT JOSEPH REGIONAL MEDICAL CENTER - SOUTH BEND","150012","IN","2018","0.4882","","07/01/2014","09/30/2015","0.4882","","-0.3318","","-0.3778","","-0.6818","","0.4431","","-0.4995","","-0.5428","","01/01/2015","12/31/2016","-0.2088","","No",""
"FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY","150015","IN","2018","-0.2688","","07/01/2014","09/30/2015","-0.2688","","0.3223","","-0.1377","","0.4358","","1.0161","","-0.5926","","0.8900","","01/01/2015","12/31/2016","0.2337","","No",""
"LUTHERAN HOSPITAL OF INDIANA","150017","IN","2018","1.4134","","07/01/2014","09/30/2015","1.4134","","0.3103","","0.1515","","1.0689","","0.8641","","-0.9199","","0.3869","","01/01/2015","12/31/2016","0.4758","","Yes",""
"ELKHART GENERAL HOSPITAL","150018","IN","2018","1.6663","","07/01/2014","09/30/2015","1.6663","","-0.5359","","-0.5588","","0.0316","","-0.7151","","-0.2281","","-1.2094","","01/01/2015","12/31/2016","-0.2056","","No",""
"PARKVIEW REGIONAL MEDICAL CENTER","150021","IN","2018","1.2174","","07/01/2014","09/30/2015","1.2174","","-0.1604","","-0.7584","","-0.3577","","0.7802","","-0.5771","","0.1110","","01/01/2015","12/31/2016","0.0463","","No",""
"FRANCISCAN HEALTH - CRAWFORDSVILLE","150022","IN","2018","-0.5608","","07/01/2014","09/30/2015","-0.5608","","-0.3231","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","-0.3231","","01/01/2015","12/31/2016","-0.3588","","No",""
"UNION HOSPITAL INC.","150023","IN","2018","-0.0524","","07/01/2014","09/30/2015","-0.0524","","-0.3355","","1.1308","","-0.8739","","-1.2653","","-0.9897","","0.3205","","01/01/2015","12/31/2016","-0.2931","","No",""
"ESKENAZI HEALTH","150024","IN","2018","1.9912","","07/01/2014","09/30/2015","1.9912","","0.6175","","0.7672","","0.1401","","1.1052","","1.3852","","-0.3104","","01/01/2015","12/31/2016","0.8235","","Yes",""
"IU HEALTH GOSHEN HOSPITAL","150026","IN","2018","0.9863","","07/01/2014","09/30/2015","0.9863","","0.7933","","0.2378","","0.8651","","2.1044","","0.1985","","0.5605","","01/01/2015","12/31/2016","0.8222","","Yes",""
"HENRY COUNTY MEMORIAL HOSPITAL","150030","IN","2018","-0.9133","","07/01/2014","09/30/2015","-0.9133","","-1.1545","","Not Available","5","-1.5254","","-1.4872","","Not Available","5","-0.4508","","01/01/2015","12/31/2016","-1.1183","","No",""
"ST MARY MEDICAL CENTER INC","150034","IN","2018","0.4075","","07/01/2014","09/30/2015","0.4075","","-0.3807","","-0.4472","","-0.8421","","-0.4775","","-0.7663","","0.6295","","01/01/2015","12/31/2016","-0.2625","","No",""
"PORTER REGIONAL HOSPITAL","150035","IN","2018","-1.2161","","07/01/2014","09/30/2015","-1.2161","","-0.5717","","-0.2019","","-0.9190","","-0.6976","","-1.4551","","0.4150","","01/01/2015","12/31/2016","-0.6684","","No",""
"HANCOCK REGIONAL HOSPITAL","150037","IN","2018","-0.0904","","07/01/2014","09/30/2015","-0.0904","","-0.5152","","Not Available","5","1.5033","","-1.4872","","Not Available","5","-1.5618","","01/01/2015","12/31/2016","-0.4515","","No",""
"GOOD SAMARITAN HOSPITAL","150042","IN","2018","-1.2052","","07/01/2014","09/30/2015","-1.2052","","0.7677","","0.5930","","0.8117","","1.9297","","-0.4421","","0.9462","","01/01/2015","12/31/2016","0.4717","","Yes",""
"BAPTIST HEALTH FLOYD","150044","IN","2018","1.9659","","07/01/2014","09/30/2015","1.9659","","-0.3251","","-0.1106","","-0.3978","","-1.0312","","-0.0745","","-0.0115","","01/01/2015","12/31/2016","0.0185","","No",""
"DEKALB HEALTH","150045","IN","2018","0.2400","","07/01/2014","09/30/2015","0.2400","","-1.4721","","Not Available","5","-1.5254","","Not Available","5","Not Available","5","-1.4188","","01/01/2015","12/31/2016","-1.2153","","No",""
"TERRE HAUTE REGIONAL HOSPITAL","150046","IN","2018","1.1446","","07/01/2014","09/30/2015","1.1446","","-0.1405","","1.8276","","-0.6467","","-0.9264","","0.1551","","-1.1123","","01/01/2015","12/31/2016","0.0522","","No",""
"ST JOSEPH HOSPITAL","150047","IN","2018","0.7334","","07/01/2014","09/30/2015","0.7334","","-0.0894","","0.8619","","-0.2190","","Not Available","5","-0.8485","","-0.1520","","01/01/2015","12/31/2016","0.0340","","No",""
"REID HOSPITAL & HEALTH CARE SERVICES","150048","IN","2018","-0.3636","","07/01/2014","09/30/2015","-0.3636","","-1.1111","","-1.5110","","-1.3550","","-1.4872","","-1.1603","","-0.0422","","01/01/2015","12/31/2016","-0.9990","","No",""
"INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL","150051","IN","2018","-0.6520","","07/01/2014","09/30/2015","-0.6520","","0.0479","","0.4729","","-0.0687","","0.8449","","-0.6888","","-0.3206","","01/01/2015","12/31/2016","-0.0570","","No",""
"INDIANA UNIVERSITY HEALTH METHODIST HOSPITAL (INDIANAPOLIS)","150056","IN","2018","-0.7320","","07/01/2014","09/30/2015","-0.7320","","0.4218","","0.8991","","0.3523","","0.3523","","0.3304","","0.1749","","01/01/2015","12/31/2016","0.2487","","No",""
"FRANCISCAN HEALTH MOORESVILLE","150057","IN","2018","-1.3204","","07/01/2014","09/30/2015","-1.3204","","-1.3365","","-1.5110","","-1.5254","","-0.4286","","Not Available","5","-1.8811","","01/01/2015","12/31/2016","-1.3341","","No",""
"MEMORIAL HOSPITAL OF SOUTH BEND","150058","IN","2018","-1.7118","","07/01/2014","09/30/2015","-1.7118","","-0.3285","","-0.5808","","0.4659","","-0.2486","","-0.7027","","-0.5760","","01/01/2015","12/31/2016","-0.5360","","No",""
"RIVERVIEW HEALTH","150059","IN","2018","-1.4299","","07/01/2014","09/30/2015","-1.4299","","0.1103","","-0.3998","","-0.6968","","0.6912","","1.1447","","-0.1878","","01/01/2015","12/31/2016","-0.1207","","No",""
"DAVIESS COMMUNITY HOSPITAL","150061","IN","2018","-0.7957","","07/01/2014","09/30/2015","-0.7957","","-0.3512","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","-0.3512","","01/01/2015","12/31/2016","-0.4179","","No",""
"FAYETTE REGIONAL HEALTH SYSTEM","150064","IN","2018","-0.2779","","07/01/2014","09/30/2015","-0.2779","","-0.2618","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","-0.2618","","01/01/2015","12/31/2016","-0.2642","","No",""
"SCHNECK MEDICAL CENTER","150065","IN","2018","-0.8382","","07/01/2014","09/30/2015","-0.8382","","-0.3864","","-1.0222","","-0.4746","","-0.9404","","-1.4551","","1.9601","","01/01/2015","12/31/2016","-0.4542","","No",""
"KING'S DAUGHTERS' HEALTH","150069","IN","2018","-0.3097","","07/01/2014","09/30/2015","-0.3097","","-0.7210","","-0.4878","","-1.0877","","-0.7325","","Not Available","5","-0.5760","","01/01/2015","12/31/2016","-0.6593","","No",""
"MEMORIAL HOSPITAL","150072","IN","2018","-0.1508","","07/01/2014","09/30/2015","-0.1508","","-0.3829","","Not Available","5","-0.5348","","-0.4722","","Not Available","5","-0.1418","","01/01/2015","12/31/2016","-0.3481","","No",""
"COMMUNITY HOSPITAL EAST","150074","IN","2018","-0.7845","","07/01/2014","09/30/2015","-0.7845","","0.3339","","0.1904","","0.8033","","-0.3971","","1.4038","","-0.3308","","01/01/2015","12/31/2016","0.1662","","No",""
"BLUFFTON REGIONAL MEDICAL CENTER","150075","IN","2018","-0.4129","","07/01/2014","09/30/2015","-0.4129","","-1.5414","","Not Available","5","Not Available","5","Not Available","5","Not Available","5","-1.5414","","01/01/2015","12/31/2016","-1.3721","","No",""
