Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,MORT-30-AMI Achievement Threshold,MORT-30-AMI Benchmark,MORT-30-AMI Baseline Rate,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Achievement Threshold,MORT-30-HF Benchmark,MORT-30-HF Baseline Rate,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Achievement Threshold,MORT-30-PN Benchmark,MORT-30-PN Baseline Rate,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score
"070020","MIDDLESEX HOSPITAL","28 CRESCENT ST","MIDDLETOWN","CT","06457","Middlesex","0.850916","0.873053","0.847766","0.870069","8 out of 10","8 out of 9","8 out of 10","0.883421","0.907656","0.892176","0.858962","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.892984","0.901786","7 out of 10","5 out of 9","7 out of 10"
"070021","WINDHAM COMM MEM HOSP & HATCH HOSP","112 MANSFIELD AVENUE","WILLIMANTIC","CT","06226","Windham","0.850916","0.873053","0.852581","0.873583","10 out of 10","9 out of 9","10 out of 10","0.883421","0.907656","0.862263","0.878521","0 out of 10","3 out of 9","3 out of 10","0.882860","0.907900","0.882057","0.907557","9 out of 10","9 out of 9","9 out of 10"
"070022","YALE-NEW HAVEN HOSPITAL","20 YORK ST","NEW HAVEN","CT","06504","New Haven","0.850916","0.873053","0.877870","0.880221","10 out of 10","9 out of 9","10 out of 10","0.883421","0.907656","0.916620","0.887189","2 out of 10","0 out of 9","2 out of 10","0.882860","0.907900","0.907848","0.916972","10 out of 10","9 out of 9","10 out of 10"
"070024","WILLIAM W BACKUS HOSPITAL","326 WASHINGTON ST","NORWICH","CT","06360","New London","0.850916","0.873053","0.842380","0.868597","8 out of 10","8 out of 9","8 out of 10","0.883421","0.907656","0.887923","0.898422","6 out of 10","5 out of 9","6 out of 10","0.882860","0.907900","0.901464","0.908526","10 out of 10","9 out of 9","10 out of 10"
"070025","HARTFORD HOSPITAL","80 SEYMOUR STREET","HARTFORD","CT","06102","Hartford","0.850916","0.873053","0.853481","0.849281","0 out of 10","0 out of 9","0 out of 10","0.883421","0.907656","0.888155","0.896122","5 out of 10","4 out of 9","5 out of 10","0.882860","0.907900","0.892818","0.909031","10 out of 10","9 out of 9","10 out of 10"
"070027","MANCHESTER MEMORIAL HOSPITAL","71 HAYNES ST","MANCHESTER","CT","06040","Hartford","0.850916","0.873053","0.841183","0.868125","7 out of 10","8 out of 9","8 out of 10","0.883421","0.907656","0.842341","0.864024","0 out of 10","3 out of 9","3 out of 10","0.882860","0.907900","0.892259","0.899676","7 out of 10","4 out of 9","7 out of 10"
"070028","ST VINCENT'S MEDICAL CENTER","2800 MAIN ST","BRIDGEPORT","CT","06606","Fairfield","0.850916","0.873053","0.871460","0.859099","4 out of 10","0 out of 9","4 out of 10","0.883421","0.907656","0.891791","0.877597","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.897816","0.892421","4 out of 10","0 out of 9","4 out of 10"
"070029","BRISTOL HOSPITAL","BREWSTER RD","BRISTOL","CT","06010","Hartford","0.850916","0.873053","0.849278","0.868592","8 out of 10","8 out of 9","8 out of 10","0.883421","0.907656","0.867525","0.873459","0 out of 10","1 out of 9","1 out of 10","0.882860","0.907900","0.873846","0.885813","2 out of 10","3 out of 9","3 out of 10"
"070031","GRIFFIN HOSPITAL","130 DIVISION ST","DERBY","CT","06418","New Haven","0.850916","0.873053","0.851429","0.872120","9 out of 10","9 out of 9","9 out of 10","0.883421","0.907656","0.896101","0.864076","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.891675","0.894675","5 out of 10","1 out of 9","5 out of 10"
"070033","DANBURY HOSPITAL","24 HOSPITAL AVE","DANBURY","CT","06810","Fairfield","0.850916","0.873053","0.864228","0.868758","8 out of 10","5 out of 9","8 out of 10","0.883421","0.907656","0.893532","0.884354","1 out of 10","0 out of 9","1 out of 10","0.882860","0.907900","0.890819","0.885098","1 out of 10","0 out of 9","1 out of 10"
"070034","NORWALK HOSPITAL ASSOCIATION","24 STEVENS STREET","NORWALK","CT","06856","Fairfield","0.850916","0.873053","0.868356","0.864982","6 out of 10","0 out of 9","6 out of 10","0.883421","0.907656","0.900884","0.895269","5 out of 10","0 out of 9","5 out of 10","0.882860","0.907900","0.895753","0.887106","2 out of 10","0 out of 9","2 out of 10"
"070035","HOSPITAL OF CENTRAL CONNECTICUT, THE","100 GRAND STREET","NEW BRITAIN","CT","06050","Hartford","0.850916","0.873053","0.855183","0.872659","9 out of 10","9 out of 9","9 out of 10","0.883421","0.907656","0.880655","0.896462","5 out of 10","5 out of 9","5 out of 10","0.882860","0.907900","0.907962","0.906965","9 out of 10","0 out of 9","9 out of 10"
"070036","JOHN DEMPSEY HOSPITAL","263 FARMINGTON AVE","FARMINGTON","CT","06032","Hartford","0.850916","0.873053","0.849569","0.845174","0 out of 10","0 out of 9","0 out of 10","0.883421","0.907656","0.890318","0.889910","3 out of 10","0 out of 9","3 out of 10","0.882860","0.907900","0.888628","0.906230","9 out of 10","9 out of 9","9 out of 10"
"080001","CHRISTIANA CARE HEALTH SERVICES, INC.","4755 OGLETOWN-STANTON ROAD","NEWARK","DE","19718","New Castle","0.850916","0.873053","0.858044","0.865220","6 out of 10","4 out of 9","6 out of 10","0.883421","0.907656","0.895030","0.898814","6 out of 10","2 out of 9","6 out of 10","0.882860","0.907900","0.880400","0.902102","7 out of 10","7 out of 9","7 out of 10"
"080003","ST FRANCIS HOSPITAL","7TH AND CLAYTON STS","WILMINGTON","DE","19805","New Castle","0.850916","0.873053","0.846008","0.868647","8 out of 10","8 out of 9","8 out of 10","0.883421","0.907656","0.888242","0.890598","3 out of 10","1 out of 9","3 out of 10","0.882860","0.907900","0.881683","0.885963","2 out of 10","1 out of 9","2 out of 10"
"080004","BAYHEALTH - KENT GENERAL HOSPITAL","640 S STATE STREET","DOVER","DE","19901","Kent","0.850916","0.873053","0.863994","0.869253","8 out of 10","5 out of 9","8 out of 10","0.883421","0.907656","0.898017","0.889466","3 out of 10","0 out of 9","3 out of 10","0.882860","0.907900","0.886483","0.905648","9 out of 10","8 out of 9","9 out of 10"
"080006","NANTICOKE MEMORIAL HOSPITAL","801 MIDDLEFORD RD","SEAFORD","DE","19973","Sussex","0.850916","0.873053","0.858190","0.864781","6 out of 10","4 out of 9","6 out of 10","0.883421","0.907656","0.898967","0.880738","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.897702","0.908906","10 out of 10","9 out of 9","10 out of 10"
"080007","BEEBE MEDICAL CENTER","424 SAVANNAH RD","LEWES","DE","19958","Sussex","0.850916","0.873053","0.875755","0.872970","9 out of 10","0 out of 9","9 out of 10","0.883421","0.907656","0.881033","0.882021","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.891855","0.891382","4 out of 10","0 out of 9","4 out of 10"
"080009","BAYHEALTH - MILFORD MEMORIAL HOSPITAL","21 WEST CLARKE AVENUE","MILFORD","DE","19963","Sussex","0.850916","0.873053","0.849678","0.881445","10 out of 10","9 out of 9","10 out of 10","0.883421","0.907656","0.877680","0.885898","1 out of 10","2 out of 9","2 out of 10","0.882860","0.907900","0.885201","0.888744","3 out of 10","1 out of 9","3 out of 10"
"090001","GEORGE WASHINGTON UNIV HOSPITAL","900 23RD ST NW","WASHINGTON","DC","20037","District of Columbia","0.850916","0.873053","0.856305","0.872987","9 out of 10","9 out of 9","9 out of 10","0.883421","0.907656","0.879832","0.884941","1 out of 10","1 out of 9","1 out of 10","0.882860","0.907900","0.878424","0.875274","0 out of 10","0 out of 9","0 out of 10"
"090003","HOWARD UNIVERSITY HOSPITAL","2041 GEORGIA AVE NW","WASHINGTON","DC","20060","District of Columbia","0.850916","0.873053","0.843131","0.866832","7 out of 10","7 out of 9","7 out of 10","0.883421","0.907656","0.888738","0.902710","8 out of 10","7 out of 9","8 out of 10","0.882860","0.907900","0.901210","0.891077","3 out of 10","0 out of 9","3 out of 10"
"090004","MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL","3800 RESERVOIR RD","WASHINGTON","DC","20007","District of Columbia","0.850916","0.873053","0.858238","0.873763","10 out of 10","Not Available","10 out of 10","0.883421","0.907656","0.892317","0.886203","2 out of 10","0 out of 9","2 out of 10","0.882860","0.907900","0.865822","0.884507","1 out of 10","4 out of 9","4 out of 10"
"090005","SIBLEY MEMORIAL HOSPITAL","5255 LOUGHBORO RD NW","WASHINGTON","DC","20016","District of Columbia","0.850916","0.873053","0.853321","0.864785","6 out of 10","5 out of 9","6 out of 10","0.883421","0.907656","0.889794","0.883073","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.890395","0.891108","3 out of 10","0 out of 9","3 out of 10"
"090006","PROVIDENCE HOSPITAL","1150 VARNUM ST NE","WASHINGTON","DC","20017","District of Columbia","0.850916","0.873053","0.863099","0.866811","7 out of 10","3 out of 9","7 out of 10","0.883421","0.907656","0.906683","0.913554","10 out of 10","9 out of 9","10 out of 10","0.882860","0.907900","0.887971","0.884313","1 out of 10","0 out of 9","1 out of 10"
"090008","UNITED MEDICAL CENTER","1310 SOUTHERN AVENUE  SE","WASHINGTON","DC","20032","District of Columbia","0.850916","0.873053","0.839636","0.864413","6 out of 10","Not Available","6 out of 10","0.883421","0.907656","0.894460","0.902638","8 out of 10","6 out of 9","8 out of 10","0.882860","0.907900","0.883162","0.882593","0 out of 10","0 out of 9","0 out of 10"
"090011","MEDSTAR WASHINGTON HOSPITAL CENTER","110 IRVING ST NW","WASHINGTON","DC","20010","District of Columbia","0.850916","0.873053","0.856481","0.851989","1 out of 10","0 out of 9","1 out of 10","0.883421","0.907656","0.914848","0.903878","8 out of 10","0 out of 9","8 out of 10","0.882860","0.907900","0.902060","0.887914","2 out of 10","0 out of 9","2 out of 10"
"100001","UF HEALTH JACKSONVILLE","655 W 8TH ST","JACKSONVILLE","FL","32209","Duval","0.850916","0.873053","0.838847","0.845334","0 out of 10","1 out of 9","1 out of 10","0.883421","0.907656","0.904301","0.894675","5 out of 10","0 out of 9","5 out of 10","0.882860","0.907900","0.892602","0.902189","7 out of 10","6 out of 9","7 out of 10"
"100002","BETHESDA HOSPITAL EAST","2815 S SEACREST BLVD","BOYNTON BEACH","FL","33435","Palm Beach","0.850916","0.873053","0.852223","0.878142","10 out of 10","9 out of 9","10 out of 10","0.883421","0.907656","0.890714","0.874992","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.886144","0.899210","6 out of 10","6 out of 9","6 out of 10"
"100006","ORLANDO HEALTH","52 W UNDERWOOD ST","ORLANDO","FL","32806","Orange","0.850916","0.873053","0.860074","0.866636","7 out of 10","5 out of 9","7 out of 10","0.883421","0.907656","0.885352","0.881076","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.885100","0.894401","5 out of 10","4 out of 9","5 out of 10"
"100007","FLORIDA HOSPITAL","601 E ROLLINS ST","ORLANDO","FL","32803","Orange","0.850916","0.873053","0.861627","0.869297","8 out of 10","6 out of 9","8 out of 10","0.883421","0.907656","0.896988","0.897402","6 out of 10","0 out of 9","6 out of 10","0.882860","0.907900","0.890759","0.913118","10 out of 10","9 out of 9","10 out of 10"
"100008","BAPTIST HOSPITAL OF MIAMI","8900 N KENDALL DR","MIAMI","FL","33176","Miami-Dade","0.850916","0.873053","0.859496","0.852357","1 out of 10","0 out of 9","1 out of 10","0.883421","0.907656","0.889920","0.888068","2 out of 10","0 out of 9","2 out of 10","0.882860","0.907900","0.911389","0.901713","7 out of 10","0 out of 9","7 out of 10"
"100009","UNIVERSITY OF MIAMI HOSPITAL","1400 NW 12TH AVE","MIAMI","FL","33136","Miami-Dade","0.850916","0.873053","0.860193","0.866324","7 out of 10","4 out of 9","7 out of 10","0.883421","0.907656","0.904258","0.911810","10 out of 10","9 out of 9","10 out of 10","0.882860","0.907900","0.889230","0.898259","6 out of 10","4 out of 9","6 out of 10"
"100012","LEE MEMORIAL HOSPITAL","2776 CLEVELAND AVE","FORT MYERS","FL","33901","Lee","0.850916","0.873053","0.865501","0.879934","10 out of 10","9 out of 9","10 out of 10","0.883421","0.907656","0.888595","0.875773","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.888323","0.876142","0 out of 10","0 out of 9","0 out of 10"
"100014","FLORIDA HOSPITAL NEW SMYRNA","401 PALMETTO ST","NEW SMYRNA BEACH","FL","32170","Volusia","0.850916","0.873053","0.862010","0.838272","0 out of 10","0 out of 9","0 out of 10","0.883421","0.907656","0.885101","0.869959","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.866536","0.878849","0 out of 10","2 out of 9","2 out of 10"
"100017","HALIFAX HEALTH MEDICAL CENTER","303 N CLYDE MORRIS BLVD","DAYTONA BEACH","FL","32114","Volusia","0.850916","0.873053","0.839425","0.835166","0 out of 10","0 out of 9","0 out of 10","0.883421","0.907656","0.877000","0.865051","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.855442","0.869694","0 out of 10","2 out of 9","2 out of 10"
"100018","NAPLES COMMUNITY HOSPITAL","350 7TH ST N","NAPLES","FL","34102","Collier","0.850916","0.873053","0.858609","0.876642","10 out of 10","9 out of 9","10 out of 10","0.883421","0.907656","0.880299","0.882728","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.884460","0.889687","3 out of 10","2 out of 9","3 out of 10"
"100019","HOLMES REGIONAL MEDICAL CENTER","1350 S HICKORY ST","MELBOURNE","FL","32901","Brevard","0.850916","0.873053","0.871061","0.854034","2 out of 10","0 out of 9","2 out of 10","0.883421","0.907656","0.871262","0.901570","7 out of 10","8 out of 9","8 out of 10","0.882860","0.907900","0.886810","0.909882","10 out of 10","9 out of 9","10 out of 10"
"100022","JACKSON MEMORIAL HOSPITAL","1611 NW 12TH AVE","MIAMI","FL","33136","Miami-Dade","0.850916","0.873053","0.858583","0.852782","1 out of 10","0 out of 9","1 out of 10","0.883421","0.907656","0.888155","0.887909","2 out of 10","0 out of 9","2 out of 10","0.882860","0.907900","0.833960","0.880325","0 out of 10","6 out of 9","6 out of 10"
"100023","CITRUS MEMORIAL HOSPITAL","502 W HIGHLAND BLVD","INVERNESS","FL","34452","Citrus","0.850916","0.873053","0.824778","0.864205","6 out of 10","8 out of 9","8 out of 10","0.883421","0.907656","0.860279","0.851010","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.869319","0.842207","0 out of 10","0 out of 9","0 out of 10"
"100025","SACRED HEART HOSPITAL","5151 N 9TH AVE","PENSACOLA","FL","32504","Escambia","0.850916","0.873053","0.863304","0.833651","0 out of 10","0 out of 9","0 out of 10","0.883421","0.907656","0.870679","0.874464","0 out of 10","1 out of 9","1 out of 10","0.882860","0.907900","0.862701","0.900193","7 out of 10","8 out of 9","8 out of 10"
"100026","BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM","615 N BONITA AVE","PANAMA CITY","FL","32401","Bay","0.850916","0.873053","0.853689","0.866684","7 out of 10","6 out of 9","7 out of 10","0.883421","0.907656","0.910348","0.899667","7 out of 10","0 out of 9","7 out of 10","0.882860","0.907900","0.902039","0.887605","2 out of 10","0 out of 9","2 out of 10"
"100028","PARRISH MEDICAL CENTER","951 N WASHINGTON AVE","TITUSVILLE","FL","32796","Brevard","0.850916","0.873053","0.852739","0.854438","2 out of 10","0 out of 9","2 out of 10","0.883421","0.907656","0.880136","0.870973","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.901879","0.895678","5 out of 10","0 out of 9","5 out of 10"
"100029","NORTH SHORE MEDICAL CENTER","1100 NW 95TH ST","MIAMI","FL","33150","Miami-Dade","0.850916","0.873053","0.841909","0.863064","5 out of 10","6 out of 9","6 out of 10","0.883421","0.907656","0.889529","0.898259","6 out of 10","4 out of 9","6 out of 10","0.882860","0.907900","0.878515","0.891289","4 out of 10","4 out of 9","4 out of 10"
"100030","HEALTH CENTRAL","10000 W COLONIAL DR","OCOEE","FL","34761","Orange","0.850916","0.873053","0.840114","0.861531","5 out of 10","6 out of 9","6 out of 10","0.883421","0.907656","0.867738","0.882363","0 out of 10","3 out of 9","3 out of 10","0.882860","0.907900","0.875849","0.871150","0 out of 10","0 out of 9","0 out of 10"
"100032","BAYFRONT HEALTH - ST PETERSBURG","701 6TH ST S","SAINT PETERSBURG","FL","33701","Pinellas","0.850916","0.873053","0.837821","0.851927","1 out of 10","4 out of 9","4 out of 10","0.883421","0.907656","0.896676","0.880349","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.877661","0.897740","6 out of 10","6 out of 9","6 out of 10"
"100034","MOUNT SINAI MEDICAL CENTER","4300 ALTON RD","MIAMI BEACH","FL","33140","Miami-Dade","0.850916","0.873053","0.876045","0.877218","10 out of 10","9 out of 9","10 out of 10","0.883421","0.907656","0.896429","0.891952","4 out of 10","0 out of 9","4 out of 10","0.882860","0.907900","0.911981","0.915435","10 out of 10","9 out of 9","10 out of 10"
"100035","MANATEE MEMORIAL HOSPITAL","206 2ND ST E","BRADENTON","FL","34208","Manatee","0.850916","0.873053","0.845311","0.828323","0 out of 10","0 out of 9","0 out of 10","0.883421","0.907656","0.861125","0.858313","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.865175","0.869671","0 out of 10","1 out of 9","1 out of 10"
"100038","MEMORIAL REGIONAL HOSPITAL","3501 JOHNSON ST","HOLLYWOOD","FL","33021","Broward","0.850916","0.873053","0.846226","0.886562","10 out of 10","9 out of 9","10 out of 10","0.883421","0.907656","0.878215","0.902767","8 out of 10","8 out of 9","8 out of 10","0.882860","0.907900","0.857901","0.902828","8 out of 10","8 out of 9","8 out of 10"
"100039","BROWARD HEALTH MEDICAL CENTER","1600 S ANDREWS AVE","FORT LAUDERDALE","FL","33316","Broward","0.850916","0.873053","0.853134","0.862989","5 out of 10","4 out of 9","5 out of 10","0.883421","0.907656","0.904006","0.895260","5 out of 10","0 out of 9","5 out of 10","0.882860","0.907900","0.893256","0.892642","4 out of 10","0 out of 9","4 out of 10"
"100040","ST VINCENT'S MEDICAL CENTER RIVERSIDE","1 SHIRCLIFF WAY","JACKSONVILLE","FL","32204","Duval","0.850916","0.873053","0.848716","0.868601","8 out of 10","8 out of 9","8 out of 10","0.883421","0.907656","0.892539","0.901506","7 out of 10","5 out of 9","7 out of 10","0.882860","0.907900","0.880168","0.876821","0 out of 10","0 out of 9","0 out of 10"
"100043","MEASE DUNEDIN HOSPITAL","601 MAIN ST","DUNEDIN","FL","34698","Pinellas","0.850916","0.873053","0.870496","0.868951","8 out of 10","0 out of 9","8 out of 10","0.883421","0.907656","0.878877","0.874917","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.895221","0.886530","2 out of 10","0 out of 9","2 out of 10"
"100044","MARTIN MEDICAL CENTER","200 SE HOSPITAL AVE","STUART","FL","34995","Martin","0.850916","0.873053","0.866459","0.862568","5 out of 10","0 out of 9","5 out of 10","0.883421","0.907656","0.890282","0.876212","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.895621","0.894052","5 out of 10","0 out of 9","5 out of 10"
"100045","FLORIDA HOSPITAL DELAND","701 W PLYMOUTH AVE","DELAND","FL","32720","Volusia","0.850916","0.873053","0.861707","0.875392","10 out of 10","9 out of 9","10 out of 10","0.883421","0.907656","0.873172","0.884490","1 out of 10","3 out of 9","3 out of 10","0.882860","0.907900","0.830577","0.887987","2 out of 10","7 out of 9","7 out of 10"
"100046","FLORIDA HOSPITAL ZEPHYRHILLS","7050 GALL BLVD","ZEPHYRHILLS","FL","33541","Pasco","0.850916","0.873053","0.827933","0.869415","8 out of 10","9 out of 9","9 out of 10","0.883421","0.907656","0.873506","0.883919","1 out of 10","3 out of 9","3 out of 10","0.882860","0.907900","0.882253","0.883319","1 out of 10","0 out of 9","1 out of 10"
"100047","BAYFRONT HEALTH PUNTA GORDA","809 E MARION AVE","PUNTA GORDA","FL","33950","Charlotte","0.850916","0.873053","0.854764","0.854866","2 out of 10","0 out of 9","2 out of 10","0.883421","0.907656","0.886249","0.851523","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.896172","0.893793","4 out of 10","0 out of 9","4 out of 10"
"100048","JAY HOSPITAL","14114 ALABAMA ST","JAY","FL","32565","Santa Rosa","0.850916","0.873053","0.848413","0.862774","Not Available","Not Available","Not Available","0.883421","0.907656","0.874486","0.889679","3 out of 10","4 out of 9","4 out of 10","0.882860","0.907900","0.872531","0.890445","3 out of 10","5 out of 9","5 out of 10"
"100049","HIGHLANDS REGIONAL MEDICAL CENTER","3600 S HIGHLANDS AVE","SEBRING","FL","33870","Highlands","0.850916","0.873053","0.858318","0.851172","1 out of 10","0 out of 9","1 out of 10","0.883421","0.907656","0.896916","0.885385","1 out of 10","0 out of 9","1 out of 10","0.882860","0.907900","0.850346","0.869338","0 out of 10","3 out of 9","3 out of 10"
"100050","LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS","1475 W 49TH ST","HIALEAH","FL","33012","Miami-Dade","0.850916","0.873053","0.869800","0.869424","8 out of 10","0 out of 9","8 out of 10","0.883421","0.907656","0.885840","0.887793","2 out of 10","0 out of 9","2 out of 10","0.882860","0.907900","0.873326","0.889944","3 out of 10","4 out of 9","4 out of 10"
"100051","SOUTH LAKE HOSPITAL","1900 DON WICKHAM DR","CLERMONT","FL","34711","Lake","0.850916","0.873053","0.834382","0.847408","0 out of 10","3 out of 9","3 out of 10","0.883421","0.907656","0.896123","0.907630","9 out of 10","9 out of 9","9 out of 10","0.882860","0.907900","0.876970","0.889584","3 out of 10","4 out of 9","4 out of 10"
"100052","WINTER HAVEN HOSPITAL","200 AVE F NE","WINTER HAVEN","FL","33881","Polk","0.850916","0.873053","0.822148","0.860221","4 out of 10","7 out of 9","7 out of 10","0.883421","0.907656","0.865030","0.868078","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.857768","0.874907","0 out of 10","3 out of 9","3 out of 10"
"100053","HIALEAH HOSPITAL","651 E 25TH ST","HIALEAH","FL","33013","Miami-Dade","0.850916","0.873053","0.858546","0.868170","8 out of 10","6 out of 9","8 out of 10","0.883421","0.907656","0.891169","0.895139","5 out of 10","2 out of 9","5 out of 10","0.882860","0.907900","0.906046","0.870227","0 out of 10","0 out of 9","0 out of 10"
"100054","TWIN CITIES HOSPITAL","2190 HWY 85 N","NICEVILLE","FL","32578","Okaloosa","0.850916","0.873053","0.849709","0.874094","10 out of 10","9 out of 9","10 out of 10","0.883421","0.907656","0.879890","0.890353","3 out of 10","3 out of 9","3 out of 10","0.882860","0.907900","0.873126","0.880326","0 out of 10","2 out of 9","2 out of 10"
"100055","FLORIDA HOSPITAL NORTH PINELLAS","1395 S PINELLAS AVE","TARPON SPRINGS","FL","34689","Pinellas","0.850916","0.873053","0.846701","0.875170","10 out of 10","9 out of 9","10 out of 10","0.883421","0.907656","0.886086","0.899734","7 out of 10","6 out of 9","7 out of 10","0.882860","0.907900","0.873895","0.871783","0 out of 10","0 out of 9","0 out of 10"
"100057","FLORIDA HOSPITAL WATERMAN","1000 WATERMAN WAY","TAVARES","FL","32778","Lake","0.850916","0.873053","0.850047","0.864741","6 out of 10","6 out of 9","6 out of 10","0.883421","0.907656","0.877546","0.875335","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.860963","0.887419","2 out of 10","5 out of 9","5 out of 10"
"100062","MUNROE REGIONAL MEDICAL CENTER","1500 SW 1ST AVE","OCALA","FL","34474","Marion","0.850916","0.873053","0.860905","0.877423","10 out of 10","9 out of 9","10 out of 10","0.883421","0.907656","0.872650","0.860607","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.893422","0.896387","5 out of 10","2 out of 9","5 out of 10"
"100063","MORTON PLANT NORTH BAY HOSPITAL","6600 MADISON ST","NEW PORT RICHEY","FL","34652","Pasco","0.850916","0.873053","0.849974","0.881493","10 out of 10","9 out of 9","10 out of 10","0.883421","0.907656","0.878656","0.879103","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.873387","0.888319","2 out of 10","4 out of 9","4 out of 10"
"100067","ST ANTHONYS HOSPITAL","1200 SEVENTH AVE N","SAINT PETERSBURG","FL","33705","Pinellas","0.850916","0.873053","0.846889","0.886867","10 out of 10","9 out of 9","10 out of 10","0.883421","0.907656","0.861052","0.897959","6 out of 10","7 out of 9","7 out of 10","0.882860","0.907900","0.876195","0.892477","4 out of 10","5 out of 9","5 out of 10"
"100068","FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER","301 MEMORIAL MEDICAL PARKWAY","DAYTONA BEACH","FL","32117","Volusia","0.850916","0.873053","0.849403","0.871920","9 out of 10","9 out of 9","9 out of 10","0.883421","0.907656","0.874027","0.865117","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.892982","0.882120","0 out of 10","0 out of 9","0 out of 10"
"100069","FLORIDA HOSPITAL CARROLLWOOD","7171 N DALE MABRY HWY","TAMPA","FL","33614","Hillsborough","0.850916","0.873053","0.848900","0.864007","Not Available","Not Available","Not Available","0.883421","0.907656","0.883011","0.882171","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.851887","0.878346","0 out of 10","4 out of 9","4 out of 10"
"100070","VENICE REGIONAL MEDICAL CENTER - BAYFRONT HEALTH","540 THE RIALTO","VENICE","FL","34285","Sarasota","0.850916","0.873053","0.871404","0.872649","9 out of 10","7 out of 9","9 out of 10","0.883421","0.907656","0.882217","0.861177","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.876213","0.880081","0 out of 10","1 out of 9","1 out of 10"
"100071","BAYFRONT HEALTH BROOKSVILLE","17240 CORTEZ BLVD","BROOKSVILLE","FL","34601","Hernando","0.850916","0.873053","0.849798","0.845703","0 out of 10","0 out of 9","0 out of 10","0.883421","0.907656","0.863303","0.873142","0 out of 10","2 out of 9","2 out of 10","0.882860","0.907900","0.877132","0.872191","0 out of 10","0 out of 9","0 out of 10"
"100072","FLORIDA HOSPITAL FISH MEMORIAL","1055 SAXON BLVD","ORANGE CITY","FL","32763","Volusia","0.850916","0.873053","0.848523","0.867785","7 out of 10","7 out of 9","7 out of 10","0.883421","0.907656","0.892773","0.893057","4 out of 10","0 out of 9","4 out of 10","0.882860","0.907900","0.901185","0.889976","3 out of 10","0 out of 9","3 out of 10"
"100073","HOLY CROSS HOSPITAL","4725 N FEDERAL HWY","FORT LAUDERDALE","FL","33308","Broward","0.850916","0.873053","0.860315","0.875365","10 out of 10","9 out of 9","10 out of 10","0.883421","0.907656","0.877105","0.871154","0 out of 10","0 out of 9","0 out of 10","0.882860","0.907900","0.864859","0.889498","3 out of 10","5 out of 9","5 out of 10"
"100075","ST JOSEPHS HOSPITAL","3001 W MARTIN LUTHER KING JR BLVD","TAMPA","FL","33677","Hillsborough","0.850916","0.873053","0.858366","0.880840","10 out of 10","9 out of 9","10 out of 10","0.883421","0.907656","0.885609","0.893336","4 out of 10","3 out of 9","4 out of 10","0.882860","0.907900","0.884019","0.903325","8 out of 10","8 out of 9","8 out of 10"
"100077","BAYFRONT HEALTH PORT CHARLOTTE","2500 HARBOR BLVD","PORT CHARLOTTE","FL","33952","Charlotte","0.850916","0.873053","0.840059","0.865560","6 out of 10","7 out of 9","7 out of 10","0.883421","0.907656","0.887385","0.895696","5 out of 10","4 out of 9","5 out of 10","0.882860","0.907900","0.883728","0.891800","4 out of 10","3 out of 9","4 out of 10"
