"Provider_Number","Hospital_Name","Address","City","State","ZIP_Code","County_Name","FUH_Measure_Description","FUH-30_%","FUH-30_Numerator","FUH-30_Denominator","FUH-30_Footnote","FUH-7_%","FUH-7_Numerator","FUH-7_Denominator","FUH-7_Footnote","FUH_Measure_Start_Date","FUH_Measure_End_Date"
"110092","DODGE COUNTY HOSPITAL","901 GRIFFIN AVE","EASTMAN","GA","31023","Dodge","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"110101","COOK  MEDICAL CENTER  A CAMPUS OF TIFT REG MED CTR","706 N PARRISH AVE.","ADEL","GA","31620","Cook","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","61.90","13","21","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"110107","MEDICAL CENTER, NAVICENT HEALTH (THE)","777 HEMLOCK STREET","MACON","GA","31201","Bibb","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","57.78","26","45","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"110109","EMANUEL MEDICAL CENTER","117 KITE ROAD","SWAINSBORO","GA","30401","Emanuel","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","48.57","17","35","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"110115","WELLSTAR ATLANTA MEDICAL CENTER","303 PARKWAY DR NE","ATLANTA","GA","30312","Fulton","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","34.66","61","176","","19.89","35","176","","07/01/2015","06/30/2016"
"110129","ST FRANCIS HOSPITAL","2122 MANCHESTER EXPRESSWAY","COLUMBUS","GA","31995","Muscogee","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","47.73","42","88","","13.64","12","88","","07/01/2015","06/30/2016"
"110164","COLISEUM MEDICAL CENTERS, LLC, DBA","350 HOSPITAL DRIVE","MACON","GA","31217","Bibb","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","50.00","54","108","","30.56","33","108","","07/01/2015","06/30/2016"
"110187","CHESTATEE REGIONAL HOSPITAL","227 MOUNTAIN DR","DAHLONEGA","GA","30533","Lumpkin","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"110190","FLINT RIVER COMMUNITY HOSPITAL","509 SUMTER STREET, BOX 770","MONTEZUMA","GA","31063","Dooly","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","46.62","62","133","","30.08","40","133","","07/01/2015","06/30/2016"
"110192","EASTSIDE MEDICAL CENTER","1700 MEDICAL WAY","SNELLVILLE","GA","30078","Gwinnett","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","52.25","93","178","","35.96","64","178","","07/01/2015","06/30/2016"
"110209","TURNING POINT HOSPITAL","3015 VETERANS PARKWAY","MOULTRIE","GA","31788","Colquitt","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","88.94","362","407","","84.77","345","407","","07/01/2015","06/30/2016"
"110234","SGMC BERRIEN CAMPUS","1221 E MCPHERSON AVENUE","NASHVILLE","GA","31639","Berrien","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"111314","PIONEER COMMUNITY HOSPITAL OF EARLY","11740 COLUMBIA STREET","BLAKELY","GA","39823","Early","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"111324","CHATUGE REGIONAL HOSPITAL","110 EAST MAIN STREET","HIAWASSEE","GA","30546","Towns","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"114004","SUMMITRIDGE CENTER- PSYCHIATRY & ADDICTIVE MED","250 SCENIC HIGHWAY","LAWRENCEVILLE","GA","30046","Gwinnett","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","46.96","139","296","","23.31","69","296","","07/01/2015","06/30/2016"
"114008","COASTAL HARBOR TREATMENT CENTER","1150 CORNELL AVE","SAVANNAH","GA","31406","Chatham","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","37.57","65","173","","18.50","32","173","","07/01/2015","06/30/2016"
"114010","PEACHFORD BEHAVIORAL HEALTH SYSTEM OF ATLANTA","2151 PEACHFORD ROAD","ATLANTA","GA","30338","DeKalb","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","50.07","357","713","","28.61","204","713","","07/01/2015","06/30/2016"
"114012","RIDGEVIEW INSTITUTE","3995 S COBB DRIVE, SE","SMYRNA","GA","30080","Cobb","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","58.00","145","250","","30.80","77","250","","07/01/2015","06/30/2016"
"114013","WEST CENTRAL GEORGIA REGIONAL HOSPITAL","3000 SCHATULGA RD BOX 12435","COLUMBUS","GA","31917","Muscogee","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"114016","ST SIMONS-BY-THE-SEA","2927 DEMERE ROAD","SAINT SIMONS ISLAND","GA","31522","Glynn","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","56.37","115","204","","32.35","66","204","","07/01/2015","06/30/2016"
"114019","GEORGIA REGIONAL HOSPITAL ATLANTA","3073 PANTHERSVILLE ROAD","DECATUR","GA","30034","DeKalb","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","27.63","21","76","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"114028","GEORGIA REGIONAL HOSP SAVANNAH","1915 EISENHOWER DR","SAVANNAH","GA","31416","Chatham","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","46.15","12","26","","42.31","11","26","","07/01/2015","06/30/2016"
"114029","EAST CENTRAL REGIONAL HOSPITAL","3405 MIKE PADGETT HWY","AUGUSTA","GA","30906","Richmond","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","22.81","13","57","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"114032","SO CRESCENT BEH HLTH SYS - ANCHOR HOSPITAL CAMPUS","5454 YORKTOWNE DRIVE","COLLEGE PARK","GA","30349","Fulton","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","44.07","182","413","","27.60","114","413","","07/01/2015","06/30/2016"
"114035","RIVERWOODS BEHAVIORAL HEALTH SYSTEM","223 MEDICAL CENTER DRIVE","RIVERDALE","GA","30274","Clayton","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","42.33","334","789","","23.70","187","789","","07/01/2015","06/30/2016"
"114036","GREENLEAF CENTER","2209 PINEVIEW DRIVE","VALDOSTA","GA","31602","Lowndes","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","44.47","169","380","","25.00","95","380","","07/01/2015","06/30/2016"
"120004","WAHIAWA GENERAL HOSPITAL","128 LEHUA STREET","WAHIAWA","HI","96786","Honolulu","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","78.57","11","14","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"120019","KONA COMMUNITY HOSPITAL","79-1019 HAUKAPILA STREET","KEALAKEKUA","HI","96750","Hawaii","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","44.12","15","34","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"121306","SAMUEL MAHELONA MEMORIAL HOSPITAL","4800 KAWAIHAU ROAD","KAPAA","HI","96746","Kauai","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"124001","KAHI MOHALA","91-2301 FORT WEAVER ROAD","EWA BEACH","HI","96706","Honolulu","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","5","Not Available","Not Available","Not Available","5","07/01/2015","06/30/2016"
"130002","ST LUKES MAGIC VALLEY MEDICAL CENTER","650 ADDISON AVENUE WEST","TWIN FALLS","ID","83301","Twin Falls","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","77.55","38","49","","57.14","28","49","","07/01/2015","06/30/2016"
"130003","ST JOSEPH REGIONAL MEDICAL CENTER","415 6TH STREET","LEWISTON","ID","83501","Nez Perce","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","68.66","46","67","","37.31","25","67","","07/01/2015","06/30/2016"
"130018","EASTERN IDAHO REGIONAL MEDICAL CENTER","3100 CHANNING WAY","IDAHO FALLS","ID","83404","Bonneville","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","49.40","41","83","","28.92","24","83","","07/01/2015","06/30/2016"
"130028","PORTNEUF MEDICAL CENTER","777 HOSPITAL WAY","POCATELLO","ID","83201","Bannock","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","51.25","41","80","","40.00","32","80","","07/01/2015","06/30/2016"
"134002","INTERMOUNTAIN HOSPITAL","303 NORTH ALLUMBAUGH STREET","BOISE","ID","83704","Ada","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","60.96","153","251","","42.23","106","251","","07/01/2015","06/30/2016"
"134009","SAFE HAVEN HOSPITAL OF TREASURE VALLEY","8050 WEST NORTHVIEW STREET","BOISE","ID","83704","Ada","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","57.35","39","68","","38.24","26","68","","07/01/2015","06/30/2016"
"134010","STATE HOSPITAL SOUTH","700 EAST ALICE STREET","BLACKFOOT","ID","83221","Bingham","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","37.59","50","133","","22.56","30","133","","07/01/2015","06/30/2016"
"140002","ALTON MEMORIAL HOSPITAL","ONE MEMORIAL DRIVE","ALTON","IL","62002","Madison","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","57.14","28","49","","22.45","11","49","","07/01/2015","06/30/2016"
"140008","GOTTLIEB MEMORIAL HOSPITAL","701 WEST NORTH AVE","MELROSE PARK","IL","60160","Cook","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"140010","NORTHSHORE UNIVERSITY HEALTHSYSTEM - EVANSTON HOSPITAL","2650 RIDGE AVE ROOM:  BURCH 300","EVANSTON","IL","60201","Cook","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","84.96","113","133","","56.39","75","133","","07/01/2015","06/30/2016"
"140012","KATHERINE SHAW BETHEA HOSPITAL","403 E 1ST ST","DIXON","IL","61021","Lee","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","58.33","42","72","","27.78","20","72","","07/01/2015","06/30/2016"
"140013","PROCTOR HOSPITAL","5409 N KNOXVILLE AVE","PEORIA","IL","61354","La Salle","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","56.82","25","44","","29.55","13","44","","07/01/2015","06/30/2016"
"140015","BLESSING HOSPITAL","1005 BROADWAY ST","QUINCY","IL","62301","Adams","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","63.29","100","158","","28.48","45","158","","07/01/2015","06/30/2016"
"140018","MT SINAI HOSPITAL MEDICAL CENTER","15TH STREET AT CALIFORNIA","CHICAGO","IL","60608","Cook","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","31.58","24","76","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"140033","VISTA MEDICAL CENTER WEST","2615 WASHINGTON ST","WAUKEGAN","IL","60085","Lake","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","48.00","48","100","","28.00","28","100","","07/01/2015","06/30/2016"
"140034","SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA","400 NORTH PLEASANT AVENUE","CENTRALIA","IL","62801","Marion","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","50.85","30","59","","28.81","17","59","","07/01/2015","06/30/2016"
"140040","GALESBURG COTTAGE HOSPITAL","695 N KELLOGG ST","GALESBURG","IL","61401","Knox","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"140053","ST JOHNS HOSPITAL","800 E CARPENTER ST","SPRINGFIELD","IL","62769","Sangamon","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","59.26","32","54","","33.33","18","54","","07/01/2015","06/30/2016"
"140054","MACNEAL  HOSPITAL","3249 SOUTH OAK PARK AVENUE","BERWYN","IL","60402","Cook","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","46.11","77","167","","22.75","38","167","","07/01/2015","06/30/2016"
"140058","PASSAVANT AREA HOSPITAL","1600 W WALNUT ST","JACKSONVILLE","IL","62650","Morgan","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","5","Not Available","Not Available","Not Available","5","07/01/2015","06/30/2016"
"140062","PALOS COMMUNITY HOSPITAL","12251 SOUTH 80TH AVENUE","PALOS HEIGHTS","IL","60463","Cook","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","72.09","62","86","","41.86","36","86","","07/01/2015","06/30/2016"
"140082","LOUIS A WEISS MEMORIAL HOSPITAL","4646 N MARINE DRIVE","CHICAGO","IL","60640","Cook","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"140089","MC DONOUGH DISTRICT HOSPITAL","525 EAST GRANT STREET","MACOMB","IL","61455","McDonough","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","66.67","16","24","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"140095","SAINT ANTHONY HOSPITAL","2875 WEST 19TH STREET","CHICAGO","IL","60623","Cook","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","32.35","22","68","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"140103","ST BERNARD HOSPITAL","326 W 64TH ST","CHICAGO","IL","60621","Cook","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","15.45","17","110","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"140110","OTTAWA REGIONAL HOSPITAL DBA OSF SAINT ELIZABETH MDL CTR","1100 EAST NORRIS DRIVE","OTTAWA","IL","61350","La Salle","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","68.50","87","127","","42.52","54","127","","07/01/2015","06/30/2016"
"140114","SWEDISH COVENANT HOSPITAL","5145 N CALIFORNIA AVE","CHICAGO","IL","60625","Cook","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","63.01","46","73","","32.88","24","73","","07/01/2015","06/30/2016"
"140118","METROSOUTH MEDICAL CENTER","12935 S GREGORY","BLUE ISLAND","IL","60406","Cook","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"140119","RUSH UNIVERSITY MEDICAL CENTER","1653 WEST CONGRESS PARKWAY","CHICAGO","IL","60612","Cook","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","66.47","113","170","","35.29","60","170","","07/01/2015","06/30/2016"
"140122","HINSDALE HOSPITAL","120 NORTH OAK ST","HINSDALE","IL","60521","DuPage","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","78.95","45","57","","57.89","33","57","","07/01/2015","06/30/2016"
"140125","GATEWAY REGIONAL MEDICAL CENTER","2100 MADISON AVENUE","GRANITE CITY","IL","62040","Madison","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","30.48","32","105","","13.33","14","105","","07/01/2015","06/30/2016"
"140135","DECATUR MEMORIAL HOSPITAL","2300 NORTH EDWARD STREET","DECATUR","IL","62526","Macon","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"140137","GREENVILLE REGIONAL HOSPITAL","200 HEALTHCARE DIVE","GREENVILLE","IL","62246","Bond","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","50.00","18","36","","30.56","11","36","","07/01/2015","06/30/2016"
"140147","RICHLAND MEMORIAL HOSPITAL","800 EAST LOCUST","OLNEY","IL","62450","Richland","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","41.51","22","53","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"140148","MEMORIAL MEDICAL CENTER, AN AFFILIATE OF MEMORIAL HEALTH SYSTEM","701 N. FIRST STREET","SPRINGFIELD","IL","62781","Sangamon","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","66.67","128","192","","34.38","66","192","","07/01/2015","06/30/2016"
"140150","UNIVERSITY OF ILLINOIS HOSPITAL","1740 WEST TAYLOR BUILDING 924-M/C 581","CHICAGO","IL","60612","Cook","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","50.00","30","60","","38.33","23","60","","07/01/2015","06/30/2016"
"140158","MERCY HOSPITAL AND MEDICAL CENTER","2525 S MICHIGAN AVE","CHICAGO","IL","60616","Cook","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","40.85","29","71","","15.49","11","71","","07/01/2015","06/30/2016"
"140166","ST MARYS HOSPITAL","1800 E LAKE SHORE DR","DECATUR","IL","62521","Macon","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","52.00","13","25","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"140174","PRESENCE MERCY MEDICAL CENTER","1325 N HIGHLAND AVENUE","AURORA","IL","60506","Kane","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","62.59","87","139","","33.81","47","139","","07/01/2015","06/30/2016"
"140179","LITTLE COMPANY OF MARY HOSPITAL","2800 W 95TH ST","EVERGREEN PARK","IL","60805","Cook","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","56.70","55","97","","34.02","33","97","","07/01/2015","06/30/2016"
"140181","SOUTH SHORE HOSPITAL","8012 SOUTH CRANDON AVENUE","CHICAGO","IL","60617","Cook","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"140182","ADVOCATE ILLINOIS MASONIC MEDICAL CENTER","836 WEST WELLINGTON AVENUE","CHICAGO","IL","60657","Cook","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","57.26","67","117","","31.62","37","117","","07/01/2015","06/30/2016"
"140186","RIVERSIDE MEDICAL CENTER","350 N WALL ST","KANKAKEE","IL","60901","Kankakee","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","65.22","15","23","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"140189","SARAH BUSH LINCOLN HEALTH CENTER","1000 HEALTH CENTER DRIVE P O BOX 372 P.O. BOX 372","MATTOON","IL","61938","Coles","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","62.50","65","104","","19.23","20","104","","07/01/2015","06/30/2016"
"140191","INGALLS MEMORIAL HOSPITAL","ONE INGALLS DRIVE","HARVEY","IL","60426","Cook","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","43.80","53","121","","14.88","18","121","","07/01/2015","06/30/2016"
"140206","NORWEGIAN-AMERICAN HOSPITAL","1044 N FRANCISCO AVE","CHICAGO","IL","60622","Cook","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","30.95","13","42","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"140208","ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER","4440 W 95TH STREET","OAK LAWN","IL","60453","Cook","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","50.26","97","193","","21.24","41","193","","07/01/2015","06/30/2016"
"140209","METHODIST MEDICAL CENTER OF ILLINOIS","221 N E GLEN OAK AVE","PEORIA","IL","61636","Peoria","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","56.77","109","192","","34.38","66","192","","07/01/2015","06/30/2016"
"140210","HARRISBURG MEDICAL CENTER","100 DR WARREN TUTTLE DRIVE","HARRISBURG","IL","62946","Saline","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","62.44","133","213","","23.47","50","213","","07/01/2015","06/30/2016"
"140213","SILVER CROSS HOSPITAL  AND MEDICAL CENTERS","1900SILVER CROSS BOULEVARD","NEW LENOX","IL","60451","Will","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","46.36","51","110","","16.36","18","110","","07/01/2015","06/30/2016"
"140223","ADVOCATE LUTHERAN GENERAL HOSPITAL","1775 DEMPSTER ST","PARK RIDGE","IL","60068","Cook","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","77.88","81","104","","38.46","40","104","","07/01/2015","06/30/2016"
"140228","SWEDISH AMERICAN HOSPITAL","1401 EAST STATE STREET","ROCKFORD","IL","61104","Winnebago","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","42.31","44","104","","25.00","26","104","","07/01/2015","06/30/2016"
"140239","ROCKFORD MEMORIAL HOSPITAL","2400 NORTH ROCKTON AVENUE","ROCKFORD","IL","61103","Winnebago","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","46.27","31","67","","19.40","13","67","","07/01/2015","06/30/2016"
"140240","WESTLAKE COMMUNITY HOSPITAL","1225 WEST LAKE STREET","MELROSE PARK","IL","60160","Cook","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","46.67","42","90","","18.89","17","90","","07/01/2015","06/30/2016"
"140242","CENTRAL DUPAGE HOSPITAL","25 NORTH WINFIELD ROAD","WINFIELD","IL","60190","DuPage","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","74.36","58","78","","47.44","37","78","","07/01/2015","06/30/2016"
"140252","NORTHWEST COMMUNITY HOSPITAL 1","800 W CENTRAL ROAD","ARLINGTON HEIGHTS","IL","60005","Cook","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","61.11","55","90","","36.67","33","90","","07/01/2015","06/30/2016"
"140258","ALEXIAN BROTHERS MEDICAL CENTER 1","800 W BIESTERFIELD RD","ELK GROVE VILLAGE","IL","60007","Cook","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"140281","NORTHWESTERN MEMORIAL HOSPITAL","211 E ONTARIO ST SUITE 1550","CHICAGO","IL","60611","Cook","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","65.79","75","114","","37.72","43","114","","07/01/2015","06/30/2016"
"140288","ADVOCATE GOOD SAMARITAN HOSPITAL","3815 S HIGHLAND AVENUE","DOWNERS GROVE","IL","60515","DuPage","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","75.79","72","95","","48.42","46","95","","07/01/2015","06/30/2016"
"140292","ADVENTIST GLENOAKS HOSPITAL","701 WINTHROP AVENUE","GLENDALE HEIGHTS","IL","60139","DuPage","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"140304","ADVENTIST BOLINGBROOK HOSPITAL","500 REMINGTON BOULEVARD","BOLINGBROOK","IL","60440","Will","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
"141315","ILLINI COMMUNITY HOSPITAL","640 W WASHINGTON","PITTSFIELD","IL","62363","Pike","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","73.33","11","15","","Not Available","Not Available","Not Available","1","07/01/2015","06/30/2016"
