Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,PSI-90 Achievement Threshold,PSI-90 Benchmark,PSI-90 Baseline Rate,PSI-90 Performance Rate,PSI-90 Achievement Points,PSI-90 Improvement Points,PSI-90 Measure Score,HAI-1 Achievement Threshold,HAI-1 Benchmark,HAI-1 Baseline Rate,HAI-1 Performance Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score,HAI-2 Achievement Threshold,HAI-2 Benchmark,HAI-2 Baseline Rate,HAI-2 Performance Rate,HAI-2 Achievement Points,HAI-2 Improvement Points,HAI-2 Measure Score,Combined SSI Measure Score,HAI-3 Achievement Threshold,HAI-3 Benchmark,HAI-3 Baseline Rate,HAI-3 Performance Rate,HAI-3 Achievement Points,HAI-3 Improvement Points,HAI-3 Measure Score,HAI-4 Achievement Threshold,HAI-4 Benchmark,HAI-4 Baseline Rate,HAI-4 Performance Rate,HAI-4 Achievement Points,HAI-4 Improvement Points,HAI-4 Measure Score,HAI-5 Achievement Threshold,HAI-5 Benchmark,HAI-5 Baseline Rate,HAI-5 Performance Rate,HAI-5 Achievement Points,HAI-5 Improvement Points,HAI-5 Measure Score,HAI-6 Achievement Threshold,HAI-6 Benchmark,HAI-6 Baseline Rate,HAI-6 Performance Rate,HAI-6 Achievement Points,HAI-6 Improvement Points,HAI-6 Measure Score,PC-01 Achievement Threshold,PC-01 Benchmark,PC-01 Baseline Rate,PC-01 Performance Rate,PC-01 Achievement Points,PC-01 Improvement Points,PC-01 Measure Score
"050278","PROVIDENCE HOLY CROSS MEDICAL CENTER","15031 RINALDI ST","MISSION HILLS","CA","91346","Los Angeles","0.964542","0.709498","1.281945","0.428111","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.786","0.602","0 out of 10","2 out of 9","2 out of 10","0.906","0.000","1.978","2.394","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0.824","0.000","0.000","1.072","0 out of 10","0 out of 9","0 out of 10","0.710","0.000","0.000","1.981","0 out of 10","0 out of 9","0 out of 10","0.767","0.000","0.771","0.665","2 out of 10","1 out of 9","2 out of 10","0.805","0.004","0.969","1.068","0 out of 10","0 out of 9","0 out of 10","0.020408","0.000000","0.069231","0.024000","0 out of 10","6 out of 9","6 out of 10"
"050279","HI-DESERT MEDICAL CENTER","6601 WHITE FEATHER ROAD","JOSHUA TREE","CA","92252","San Bernardino","0.964542","0.709498","0.905961","0.640290","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.906","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","Not Available","0.824","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.805","0.004","0.250","0.000","10 out of 10","9 out of 9","10 out of 10","0.020408","0.000000","0.015385","0.025641","0 out of 10","0 out of 9","0 out of 10"
"050280","MERCY MEDICAL CENTER REDDING","2175 ROSALINE AVE, CLAIRMONT HGTS","REDDING","CA","96001","Shasta","0.964542","0.709498","0.762003","0.642310","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.417","0.862","0 out of 10","0 out of 9","0 out of 10","0.906","0.000","2.032","0.438","5 out of 10","7 out of 9","7 out of 10","7 out of 10","0.824","0.000","0.823","0.231","7 out of 10","7 out of 9","7 out of 10","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","1.288","1.586","0 out of 10","0 out of 9","0 out of 10","0.805","0.004","0.623","1.201","0 out of 10","0 out of 9","0 out of 10","0.020408","0.000000","0.074627","0.034483","0 out of 10","5 out of 9","5 out of 10"
"050281","ALHAMBRA HOSPITAL MEDICAL CENTER","100 S RAYMOND AVE","ALHAMBRA","CA","91801","Los Angeles","0.964542","0.709498","0.818719","0.680801","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0.906","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","10 out of 10","0.824","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","0.792","Not Available","Not Available","Not Available","Not Available","0.805","0.004","1.148","1.114","0 out of 10","0 out of 9","0 out of 10","0.020408","0.000000","Not Available","Not Available","Not Available","Not Available","Not Available"
"050283","STANFORD HEALTH CARE - VALLEYCARE","5555 WEST LAS POSITAS BOULEVARD","PLEASANTON","CA","94588","Alameda","0.964542","0.709498","0.869983","0.685409","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.000","1.107","0 out of 10","0 out of 9","0 out of 10","0.906","0.000","0.000","0.885","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0.824","0.000","0.428","2.600","0 out of 10","0 out of 9","0 out of 10","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","0.675","0.000","10 out of 10","9 out of 9","10 out of 10","0.805","0.004","1.502","1.114","0 out of 10","2 out of 9","2 out of 10","0.020408","0.000000","0.022727","0.015625","3 out of 10","3 out of 9","3 out of 10"
"050289","SETON MEDICAL CENTER","1900 SULLIVAN AVENUE","DALY CITY","CA","94015","San Mateo","0.964542","0.709498","1.280845","0.876313","4 out of 10","7 out of 9","7 out of 10","0.369","0.000","0.000","0.535","0 out of 10","0 out of 9","0 out of 10","0.906","0.000","0.283","0.885","1 out of 10","0 out of 9","1 out of 10","10 out of 10","0.824","0.000","0.624","0.000","10 out of 10","9 out of 9","10 out of 10","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","0.604","0.935","0 out of 10","0 out of 9","0 out of 10","0.805","0.004","1.354","1.343","0 out of 10","0 out of 9","0 out of 10","0.020408","0.000000","0.000000","Not Available","Not Available","Not Available","Not Available"
"050290","PROVIDENCE SAINT JOHN'S HEALTH CENTER","2121 SANTA MONICA BLVD","SANTA MONICA","CA","90404","Los Angeles","0.964542","0.709498","0.852518","0.695913","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.745","0.383","0 out of 10","4 out of 9","4 out of 10","0.906","0.000","1.176","0.880","1 out of 10","2 out of 9","2 out of 10","0 out of 10","0.824","0.000","1.381","1.298","0 out of 10","0 out of 9","0 out of 10","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","0.732","0.886","0 out of 10","0 out of 9","0 out of 10","0.805","0.004","1.117","1.137","0 out of 10","0 out of 9","0 out of 10","0.020408","0.000000","0.097561","0.000000","10 out of 10","9 out of 9","10 out of 10"
"050291","SUTTER SANTA ROSA REGIONAL HOSPITAL","30 MARK WEST SPRINGS ROAD","SANTA ROSA","CA","95403","Sonoma","0.964542","0.709498","1.032850","0.807016","6 out of 10","6 out of 9","6 out of 10","0.369","0.000","0.456","0.261","3 out of 10","4 out of 9","4 out of 10","0.906","0.000","0.441","0.000","10 out of 10","9 out of 9","10 out of 10","7 out of 10","0.824","0.000","3.418","0.713","2 out of 10","7 out of 9","7 out of 10","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","0.930","Not Available","Not Available","Not Available","Not Available","0.805","0.004","1.697","0.630","2 out of 10","6 out of 9","6 out of 10","0.020408","0.000000","0.029630","0.075342","0 out of 10","0 out of 9","0 out of 10"
"050292","RIVERSIDE UNIVERSITY HEALTH SYSTEM-MEDICAL CENTER","26520 CACTUS AVENUE","MORENO VALLEY","CA","92555","Riverside","0.964542","0.709498","0.748539","0.526322","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.149","0.388","0 out of 10","0 out of 9","0 out of 10","0.906","0.000","2.170","0.840","1 out of 10","6 out of 9","6 out of 10","0 out of 10","0.824","0.000","1.733","3.880","0 out of 10","0 out of 9","0 out of 10","0.710","0.000","0.733","Not Available","Not Available","Not Available","Not Available","0.767","0.000","1.324","0.575","3 out of 10","5 out of 9","5 out of 10","0.805","0.004","0.520","0.544","3 out of 10","0 out of 9","3 out of 10","0.020408","0.000000","0.033898","0.000000","10 out of 10","9 out of 9","10 out of 10"
"050295","MERCY HOSPITAL","2215 TRUXTUN AVENUE","BAKERSFIELD","CA","93301","Kern","0.964542","0.709498","0.930334","0.740743","8 out of 10","8 out of 9","8 out of 10","0.369","0.000","0.000","0.480","0 out of 10","0 out of 9","0 out of 10","0.906","0.000","0.000","0.255","7 out of 10","0 out of 9","7 out of 10","5 out of 10","0.824","0.000","2.007","0.457","5 out of 10","7 out of 9","7 out of 10","0.710","0.000","2.052","1.472","0 out of 10","2 out of 9","2 out of 10","0.767","0.000","0.000","1.794","0 out of 10","0 out of 9","0 out of 10","0.805","0.004","0.868","0.635","2 out of 10","2 out of 9","2 out of 10","0.020408","0.000000","0.000000","0.000000","10 out of 10","0 out of 9","10 out of 10"
"050296","HAZEL HAWKINS MEMORIAL HOSPITAL","911 SUNSET DRIVE","HOLLISTER","CA","95023","San Benito","0.964542","0.709498","1.026827","0.876685","4 out of 10","4 out of 9","4 out of 10","0.369","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.906","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","Not Available","0.824","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.805","0.004","0.450","0.492","4 out of 10","0 out of 9","4 out of 10","0.020408","0.000000","0.000000","0.000000","10 out of 10","Not Available","10 out of 10"
"050298","BARSTOW COMMUNITY HOSPITAL","820 E MOUNTAIN VIEW STREET","BARSTOW","CA","92311","San Bernardino","0.964542","0.709498","0.851303","0.569480","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.906","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.824","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.805","0.004","0.000","0.255","7 out of 10","0 out of 9","7 out of 10","0.020408","0.000000","0.000000","0.000000","10 out of 10","0 out of 9","10 out of 10"
"050300","ST MARY MEDICAL CENTER","18300 HIGHWAY 18","APPLE VALLEY","CA","92307","San Bernardino","0.964542","0.709498","1.115979","0.661953","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.478","0.709","0 out of 10","0 out of 9","0 out of 10","0.906","0.000","0.339","0.561","4 out of 10","0 out of 9","4 out of 10","0 out of 10","0.824","0.000","1.152","2.096","0 out of 10","0 out of 9","0 out of 10","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","1.425","0.878","0 out of 10","3 out of 9","3 out of 10","0.805","0.004","0.692","1.168","0 out of 10","0 out of 9","0 out of 10","0.020408","0.000000","0.105882","0.000000","10 out of 10","9 out of 9","10 out of 10"
"050301","UKIAH VALLEY MEDICAL CENTER","275 HOSPITAL DRIVE","UKIAH","CA","95482","Mendocino","0.964542","0.709498","0.944068","0.670890","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.906","0.000","0.000","0.678","3 out of 10","0 out of 9","3 out of 10","0 out of 10","0.824","0.000","Not Available","1.890","0 out of 10","Not Available","0 out of 10","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.805","0.004","1.181","0.268","7 out of 10","7 out of 9","7 out of 10","0.020408","0.000000","0.041667","0.000000","10 out of 10","9 out of 9","10 out of 10"
"050305","ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP","2450 ASHBY AVENUE","BERKELEY","CA","94705","Alameda","0.964542","0.709498","0.943661","0.740357","8 out of 10","8 out of 9","8 out of 10","0.369","0.000","0.383","0.407","0 out of 10","0 out of 9","0 out of 10","0.906","0.000","0.886","0.893","1 out of 10","0 out of 9","1 out of 10","8 out of 10","0.824","0.000","2.123","0.411","5 out of 10","8 out of 9","8 out of 10","0.710","0.000","2.959","0.876","0 out of 10","7 out of 9","7 out of 10","0.767","0.000","0.268","0.881","0 out of 10","0 out of 9","0 out of 10","0.805","0.004","0.604","0.966","0 out of 10","0 out of 9","0 out of 10","0.020408","0.000000","0.012821","0.011161","5 out of 10","1 out of 9","5 out of 10"
"050308","EL CAMINO HOSPITAL","2500 GRANT ROAD","MOUNTAIN VIEW","CA","94040","Santa Clara","0.964542","0.709498","1.040556","0.585484","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.000","0.207","4 out of 10","0 out of 9","4 out of 10","0.906","0.000","0.111","1.128","0 out of 10","0 out of 9","0 out of 10","4 out of 10","0.824","0.000","0.541","0.493","4 out of 10","0 out of 9","4 out of 10","0.710","0.000","0.198","0.609","2 out of 10","0 out of 9","2 out of 10","0.767","0.000","0.453","0.792","0 out of 10","0 out of 9","0 out of 10","0.805","0.004","1.283","0.548","3 out of 10","5 out of 9","5 out of 10","0.020408","0.000000","0.000000","0.000000","10 out of 10","0 out of 9","10 out of 10"
"050309","SUTTER ROSEVILLE MEDICAL CENTER","ONE MEDICAL PLAZA","ROSEVILLE","CA","95661","Placer","0.964542","0.709498","1.009002","0.677261","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.075","0.077","8 out of 10","0 out of 9","8 out of 10","0.906","0.000","0.817","0.661","3 out of 10","1 out of 9","3 out of 10","6 out of 10","0.824","0.000","0.000","0.414","5 out of 10","0 out of 9","5 out of 10","0.710","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0.767","0.000","0.261","1.311","0 out of 10","0 out of 9","0 out of 10","0.805","0.004","1.248","0.973","0 out of 10","2 out of 9","2 out of 10","0.020408","0.000000","0.011396","0.038732","0 out of 10","0 out of 9","0 out of 10"
"050313","SUTTER TRACY COMMUNITY HOSPITAL","1420 NORTH TRACY BLVD","TRACY","CA","95376","San Joaquin","0.964542","0.709498","0.866988","0.601500","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.878","0.000","10 out of 10","9 out of 9","10 out of 10","0.906","0.000","1.004","Not Available","Not Available","Not Available","Not Available","Not Available","0.824","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.805","0.004","1.629","1.643","0 out of 10","0 out of 9","0 out of 10","0.020408","0.000000","0.000000","0.000000","10 out of 10","0 out of 9","10 out of 10"
"050315","KERN MEDICAL CENTER","1700 MOUNT VERNON AVENUE","BAKERSFIELD","CA","93306","Kern","0.964542","0.709498","1.006870","0.823400","5 out of 10","6 out of 9","6 out of 10","0.369","0.000","0.000","0.258","3 out of 10","0 out of 9","3 out of 10","0.906","0.000","2.336","1.647","0 out of 10","2 out of 9","2 out of 10","8 out of 10","0.824","0.000","2.351","0.286","6 out of 10","8 out of 9","8 out of 10","0.710","0.000","4.329","Not Available","Not Available","Not Available","Not Available","0.767","0.000","1.584","0.834","0 out of 10","4 out of 9","4 out of 10","0.805","0.004","0.307","0.332","6 out of 10","0 out of 9","6 out of 10","0.020408","0.000000","0.011494","0.030303","0 out of 10","0 out of 9","0 out of 10"
"050320","HIGHLAND HOSPITAL","1411 E 31ST STREET","OAKLAND","CA","94602","Alameda","0.964542","0.709498","1.234893","1.123732","0 out of 10","2 out of 9","2 out of 10","0.369","0.000","0.428","0.520","0 out of 10","0 out of 9","0 out of 10","0.906","0.000","2.345","1.041","0 out of 10","5 out of 9","5 out of 10","5 out of 10","0.824","0.000","2.273","0.923","0 out of 10","5 out of 9","5 out of 10","0.710","0.000","0.000","Not Available","Not Available","Not Available","Not Available","0.767","0.000","0.000","0.911","0 out of 10","0 out of 9","0 out of 10","0.805","0.004","0.566","0.380","5 out of 10","3 out of 9","5 out of 10","0.020408","0.000000","0.019608","0.000000","10 out of 10","9 out of 9","10 out of 10"
"050324","SCRIPPS MEMORIAL HOSPITAL LA JOLLA","9888 GENESEE AVENUE","LA JOLLA","CA","92037","San Diego","0.964542","0.709498","1.216334","0.587068","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.624","0.201","5 out of 10","6 out of 9","6 out of 10","0.906","0.000","1.808","0.829","1 out of 10","5 out of 9","5 out of 10","2 out of 10","0.824","0.000","0.772","1.415","0 out of 10","0 out of 9","0 out of 10","0.710","0.000","1.885","0.782","0 out of 10","5 out of 9","5 out of 10","0.767","0.000","0.626","0.582","3 out of 10","0 out of 9","3 out of 10","0.805","0.004","1.055","0.715","2 out of 10","3 out of 9","3 out of 10","0.020408","0.000000","0.046512","0.015152","3 out of 10","6 out of 9","6 out of 10"
"050327","LOMA LINDA UNIVERSITY MEDICAL CENTER","11234 ANDERSON ST","LOMA LINDA","CA","92354","San Bernardino","0.964542","0.709498","1.122807","0.762907","8 out of 10","8 out of 9","8 out of 10","0.369","0.000","0.523","0.557","0 out of 10","0 out of 9","0 out of 10","0.906","0.000","1.747","0.321","6 out of 10","8 out of 9","8 out of 10","1 out of 10","0.824","0.000","0.582","3.324","0 out of 10","0 out of 9","0 out of 10","0.710","0.000","2.484","1.895","0 out of 10","2 out of 9","2 out of 10","0.767","0.000","1.725","1.270","0 out of 10","2 out of 9","2 out of 10","0.805","0.004","1.114","1.227","0 out of 10","0 out of 9","0 out of 10","0.020408","0.000000","0.028571","Not Available","Not Available","Not Available","Not Available"
"050329","CORONA REGIONAL MEDICAL CENTER","800 SOUTH MAIN STREET","CORONA","CA","92882","Riverside","0.964542","0.709498","0.851048","0.551320","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.000","0.533","0 out of 10","0 out of 9","0 out of 10","0.906","0.000","0.390","1.101","0 out of 10","0 out of 9","0 out of 10","6 out of 10","0.824","0.000","1.718","0.573","3 out of 10","6 out of 9","6 out of 10","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","0.000","2.893","0 out of 10","0 out of 9","0 out of 10","0.805","0.004","1.549","2.124","0 out of 10","0 out of 9","0 out of 10","0.020408","0.000000","0.032787","0.000000","10 out of 10","9 out of 9","10 out of 10"
"050334","SALINAS VALLEY MEMORIAL HOSPITAL","450 EAST ROMIE LANE","SALINAS","CA","93901","Monterey","0.964542","0.709498","0.924704","0.602033","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.427","2.773","0 out of 10","0 out of 9","0 out of 10","0.906","0.000","0.536","4.776","0 out of 10","0 out of 9","0 out of 10","1 out of 10","0.824","0.000","0.000","0.787","1 out of 10","0 out of 9","1 out of 10","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","0.000","0.489","4 out of 10","0 out of 9","4 out of 10","0.805","0.004","1.177","1.319","0 out of 10","0 out of 9","0 out of 10","0.020408","0.000000","0.004878","0.000000","10 out of 10","9 out of 9","10 out of 10"
"050335","ADVENTIST HEALTH SONORA","1000 GREENLEY ROAD","SONORA","CA","95370","Tuolumne","0.964542","0.709498","0.972624","0.603107","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.906","0.000","2.389","0.914","0 out of 10","6 out of 9","6 out of 10","0 out of 10","0.824","0.000","1.762","1.752","0 out of 10","0 out of 9","0 out of 10","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.805","0.004","0.434","0.990","0 out of 10","0 out of 9","0 out of 10","0.020408","0.000000","0.038462","0.000000","10 out of 10","9 out of 9","10 out of 10"
"050336","LODI MEMORIAL HOSPITAL","975 S FAIRMONT AVENUE","LODI","CA","95240","San Joaquin","0.964542","0.709498","0.860970","0.656690","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.588","0.745","0 out of 10","0 out of 9","0 out of 10","0.906","0.000","1.392","0.696","3 out of 10","5 out of 9","5 out of 10","0 out of 10","0.824","0.000","0.679","1.957","0 out of 10","0 out of 9","0 out of 10","0.710","0.000","0.951","Not Available","Not Available","Not Available","Not Available","0.767","0.000","1.340","3.363","0 out of 10","0 out of 9","0 out of 10","0.805","0.004","1.117","1.344","0 out of 10","0 out of 9","0 out of 10","0.020408","0.000000","0.023256","0.000000","10 out of 10","9 out of 9","10 out of 10"
"050342","PIONEERS MEMORIAL HEALTHCARE DISTRICT","207 WEST LEGION ROAD","BRAWLEY","CA","92227","Imperial","0.964542","0.709498","0.796671","0.690501","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.758","1.661","0 out of 10","0 out of 9","0 out of 10","0.906","0.000","2.296","0.000","10 out of 10","9 out of 9","10 out of 10","Not Available","0.824","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","Not Available","1.963","0 out of 10","Not Available","0 out of 10","0.805","0.004","1.000","1.303","0 out of 10","0 out of 9","0 out of 10","0.020408","0.000000","0.018868","0.000000","10 out of 10","9 out of 9","10 out of 10"
"050348","UNIVERSITY OF CALIFORNIA IRVINE MED CENTER","101 CITY DRIVE SOUTH","ORANGE","CA","92868","Orange","0.964542","0.709498","1.190718","0.633202","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.103","0.295","2 out of 10","0 out of 9","2 out of 10","0.906","0.000","1.226","0.503","5 out of 10","5 out of 9","5 out of 10","3 out of 10","0.824","0.000","1.439","0.737","1 out of 10","4 out of 9","4 out of 10","0.710","0.000","0.000","1.285","0 out of 10","0 out of 9","0 out of 10","0.767","0.000","0.527","0.895","0 out of 10","0 out of 9","0 out of 10","0.805","0.004","1.376","0.953","0 out of 10","3 out of 9","3 out of 10","0.020408","0.000000","0.000000","0.000000","10 out of 10","0 out of 9","10 out of 10"
"050350","BEVERLY HOSPITAL","309 W BEVERLY BLVD","MONTEBELLO","CA","90640","Los Angeles","0.964542","0.709498","0.723917","0.482147","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.469","1.020","0 out of 10","0 out of 9","0 out of 10","0.906","0.000","1.508","0.739","2 out of 10","5 out of 9","5 out of 10","10 out of 10","0.824","0.000","0.000","Not Available","Not Available","Not Available","Not Available","0.710","0.000","Not Available","0.000","10 out of 10","Not Available","10 out of 10","0.767","0.000","1.479","0.371","5 out of 10","7 out of 9","7 out of 10","0.805","0.004","1.903","2.027","0 out of 10","0 out of 9","0 out of 10","0.020408","0.000000","0.164706","0.011111","5 out of 10","9 out of 9","9 out of 10"
"050351","TORRANCE MEMORIAL MEDICAL CENTER","3330 LOMITA BLVD","TORRANCE","CA","90509","Los Angeles","0.964542","0.709498","0.851923","0.577757","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.321","0.257","3 out of 10","1 out of 9","3 out of 10","0.906","0.000","2.074","0.969","0 out of 10","5 out of 9","5 out of 10","4 out of 10","0.824","0.000","1.817","1.200","0 out of 10","3 out of 9","3 out of 10","0.710","0.000","1.913","0.306","6 out of 10","8 out of 9","8 out of 10","0.767","0.000","0.808","0.825","0 out of 10","0 out of 9","0 out of 10","0.805","0.004","1.023","1.225","0 out of 10","0 out of 9","0 out of 10","0.020408","0.000000","0.009091","0.020000","1 out of 10","0 out of 9","1 out of 10"
"050352","BARTON MEMORIAL HOSPITAL","2170 SOUTH AVENUE","SOUTH LAKE TAHOE","CA","96150","El Dorado","0.964542","0.709498","1.173368","0.870781","4 out of 10","6 out of 9","6 out of 10","0.369","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.906","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","10 out of 10","0.824","0.000","Not Available","0.000","10 out of 10","Not Available","10 out of 10","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.805","0.004","0.000","0.308","6 out of 10","0 out of 9","6 out of 10","0.020408","0.000000","0.025641","0.000000","10 out of 10","9 out of 9","10 out of 10"
"050353","PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE","4101 TORRANCE BLVD","TORRANCE","CA","90503","Los Angeles","0.964542","0.709498","0.575543","0.713050","9 out of 10","0 out of 9","9 out of 10","0.369","0.000","0.653","0.847","0 out of 10","0 out of 9","0 out of 10","0.906","0.000","0.191","0.865","1 out of 10","0 out of 9","1 out of 10","5 out of 10","0.824","0.000","1.129","0.780","1 out of 10","3 out of 9","3 out of 10","0.710","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0.767","0.000","0.308","0.000","10 out of 10","9 out of 9","10 out of 10","0.805","0.004","0.702","0.807","0 out of 10","0 out of 9","0 out of 10","0.020408","0.000000","0.010309","0.000000","10 out of 10","9 out of 9","10 out of 10"
"050357","GOLETA VALLEY COTTAGE HOSPITAL","351 S PATTERSON AVE","SANTA BARBARA","CA","93111","Santa Barbara","0.964542","0.709498","1.122762","0.548033","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.906","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.824","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.805","0.004","0.219","1.491","0 out of 10","0 out of 9","0 out of 10","0.020408","0.000000","Not Available","Not Available","Not Available","Not Available","Not Available"
"050359","TULARE REGIONAL MEDICAL CENTER","869 NORTH CHERRY AVENUE","TULARE","CA","93274","Tulare","0.964542","0.709498","0.733244","0.780942","7 out of 10","0 out of 9","7 out of 10","0.369","0.000","0.000","0.733","0 out of 10","0 out of 9","0 out of 10","0.906","0.000","0.744","1.157","0 out of 10","0 out of 9","0 out of 10","Not Available","0.824","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.805","0.004","0.959","0.674","2 out of 10","2 out of 9","2 out of 10","0.020408","0.000000","0.054545","0.000000","Not Available","Not Available","Not Available"
"050360","MARIN GENERAL HOSPITAL","250 BON AIR ROAD, PO BOX 8010","GREENBRAE","CA","94904","Marin","0.964542","0.709498","1.418929","0.534436","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.302","1.133","0 out of 10","0 out of 9","0 out of 10","0.906","0.000","2.098","0.261","7 out of 10","8 out of 9","8 out of 10","Not Available","0.824","0.000","0.575","Not Available","Not Available","Not Available","Not Available","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","1.950","2.002","0 out of 10","0 out of 9","0 out of 10","0.805","0.004","1.297","1.753","0 out of 10","0 out of 9","0 out of 10","0.020408","0.000000","0.000000","0.000000","10 out of 10","0 out of 9","10 out of 10"
"050367","NORTHBAY MEDICAL CENTER","1200 B  GALE WILSON BLVD","FAIRFIELD","CA","94533","Solano","0.964542","0.709498","1.051973","0.705707","10 out of 10","9 out of 9","10 out of 10","0.369","0.000","0.881","1.043","0 out of 10","0 out of 9","0 out of 10","0.906","0.000","2.136","0.779","2 out of 10","6 out of 9","6 out of 10","7 out of 10","0.824","0.000","1.090","0.317","6 out of 10","7 out of 9","7 out of 10","0.710","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.767","0.000","0.000","0.436","4 out of 10","0 out of 9","4 out of 10","0.805","0.004","1.254","1.627","0 out of 10","0 out of 9","0 out of 10","0.020408","0.000000","0.024390","0.000000","10 out of 10","9 out of 9","10 out of 10"
