Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,HBIPS-2_Measure_Description,HBIPS-2_Overall_Rate_Per_1000,HBIPS-2_Overall_Num,HBIPS-2_Overall_Den,HBIPS-2_Overall_Footnote,HBIPS-3_Measure_Description,HBIPS-3_Overall_Rate_Per_1000,HBIPS-3_Overall_Num,HBIPS-3_Overall_Den,HBIPS-3_Overall_Footnote,HBIPS-5_Measure_Description,HBIPS-5_Overall_%_of_Total,HBIPS-5_Overall_Num,HBIPS-5_Overall_Den,HBIPS-5_Overall_Footnote,SUB-1_Measure_Description,SUB-1_%,SUB-1_Numerator,SUB-1_Denominator,SUB-1_Footnote, SUB-2/-2a_Measure_Description,SUB-2_%,SUB-2_Numerator,SUB-2_Denominator,SUB-2_Footnote ,SUB-2a_%,SUB-2a_Numerator,SUB-2a_Denominator,SUB-2a_Footnote , TOB-1_Measure_Description,TOB-1_%,TOB-1_Numerator,TOB-1_Denominator,TOB-1_Footnote,TOB-2/-2a_Measure_Desc,TOB-2_%,TOB-2_Numerator,TOB-2_Denominator,TOB-2_Footnote,TOB-2a_%,TOB-2a_Numerator,TOB-2a_Denominator,TOB-2a_Footnote,TOB-3/-3a_Measure_Description,TOB-3_%,TOB-3_Numerator,TOB-3_Denominator,TOB-3_Footnote,TOB-3a_%,TOB-3a_Numerator,TOB-3a_Denominator,TOB-3a_Footnote,PEoC_Measure_Description,PEoC_Assessed_Response,PEoC_Assessed_Footnote,EHR_Use_Measure_Description,EHR_Use_Response,EHR_Use_Footnote,HIE_Measure_Description,HIE_Response,HIE_Footnote,Start_Date,End_Date,FUH_Measure_Description,FUH-30_%,FUH-30_Numerator,FUH-30_Denominator,FUH-30_Footnote,FUH-7_%,FUH-7_Numerator,FUH-7_Denominator,FUH-7_Footnote,FUH_Measure_Start_Date,FUH_Measure_End_Date,IMM-2_Measure_Description,IMM-2_%,IMM-2_Numerator,IMM-2_Denominator,IMM-2_Footnote,HCP_Measure_Description,HCP_%,HCP_Numerator,HCP_Denominator,HCP_Footnote,Flu_Season_Start_Date,Flu_Season_End_Date
"144034","BHC STREAMWOOD HOSPITAL INC","1400 E IRVING PARK ROAD ","STREAMWOOD","IL","60107","Cook","Hours of physical-restraint use","0.08","70.06","38632","","Hours of seclusion","0.08","76.83","38632","","Patients discharged on multiple antipsychotic medications with appropriate justification","96.00%","24","25","","Alcohol Use Screening","93.14%","95","102","","Alcohol Use Brief Intervention Provided or Offered","41.38%","12","29","","Not Available","Not Available","Not Available","1","Tobacco Use Screening","100.00%","106","106","","Tobacco Use Treatment (during the hospital stay)","60.00%","27","45","","26.67%","12","45","","Tobacco Use Treatment Provided or Offered at Discharge","29.55%","13","44","","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","93.60%","453","484","","Healthcare Personnel Influenza Vaccination","69%","239","346","","10/01/2016","03/31/2017"
"144035","LINDEN OAKS AT EDWARD","801 SOUTH WASHINGTON ST ","NAPERVILLE","IL","60540","DuPage","Hours of physical-restraint use","0.28","214.03","31341","","Hours of seclusion","0.07","52.62","31341","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","96.19%","1992","2071","","Alcohol Use Brief Intervention Provided or Offered","85.35%","373","437","","37.76%","165","437","","Tobacco Use Screening","99.21%","1749","1763","","Tobacco Use Treatment (during the hospital stay)","88.90%","625","703","","70.13%","493","703","","Tobacco Use Treatment Provided or Offered at Discharge","67.85%","477","703","","27.45%","193","703","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","97.57%","2085","2137","","Healthcare Personnel Influenza Vaccination","97%","762","782","","10/01/2016","03/31/2017"
"144037","ELGIN MENTAL HEALTH CENTER","750 S STATE ST ","ELGIN","IL","60123","Kane","Hours of physical-restraint use","1.86","588.52","13170","","Hours of seclusion","0.02","5.83","13170","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","0","0","7","Alcohol Use Screening","99.49%","591","594","","Alcohol Use Brief Intervention Provided or Offered","33.01%","34","103","","26.21%","27","103","","Tobacco Use Screening","99.35%","608","612","","Tobacco Use Treatment (during the hospital stay)","96.54%","279","289","","24.57%","71","289","","Tobacco Use Treatment Provided or Offered at Discharge","55.88%","152","272","","11.40%","31","272","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","95.92%","188","196","","Healthcare Personnel Influenza Vaccination","44%","407","926","","10/01/2016","03/31/2017"
"144038","CHOATE MENTAL HEALTH & DEVELOPMENT CTR","1000 N MAIN ST ","ANNA","IL","62906","Union","Hours of physical-restraint use","0.37","129.77","14678","","Hours of seclusion","0.00",".6","14678","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","97.65%","83","85","","Alcohol Use Brief Intervention Provided or Offered","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Screening","100.00%","85","85","","Tobacco Use Treatment (during the hospital stay)","93.33%","56","60","","33.33%","20","60","","Tobacco Use Treatment Provided or Offered at Discharge","85.19%","46","54","","0.00%","0","54","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","100.00%","30","30","","Healthcare Personnel Influenza Vaccination","73%","154","210","","10/01/2016","03/31/2017"
"144039","GARFIELD PARK HOSPITAL","520 N RIDGEWAY AVE ","CHICAGO","IL","60624","Cook","Hours of physical-restraint use","0.24","50.85","8971","","Hours of seclusion","0.41","88.21","8971","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","Not Available","Not Available","Not Available","7","Alcohol Use Brief Intervention Provided or Offered","Not Available","Not Available","Not Available","7","Not Available","Not Available","Not Available","7","Tobacco Use Screening","Not Available","Not Available","Not Available","7","Tobacco Use Treatment (during the hospital stay)","Not Available","Not Available","Not Available","7","Not Available","Not Available","Not Available","7","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","7","Not Available","Not Available","Not Available","7","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","84.70%","371","438","","Healthcare Personnel Influenza Vaccination","74%","134","180","","10/01/2016","03/31/2017"
"144040","CHICAGO BEHAVIORAL HOSPITAL","555 WILSON LANE ","DES PLAINES","IL","60016","Cook","Hours of physical-restraint use","0.00","2.98","36748","","Hours of seclusion","0.01","6.93","36748","","Patients discharged on multiple antipsychotic medications with appropriate justification","55.00%","11","20","","Alcohol Use Screening","99.66%","581","583","","Alcohol Use Brief Intervention Provided or Offered","96.92%","126","130","","96.92%","126","130","","Tobacco Use Screening","99.50%","592","595","","Tobacco Use Treatment (during the hospital stay)","75.63%","149","197","","74.62%","147","197","","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","1","0.00%","0","179","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","76.07%","337","443","","Healthcare Personnel Influenza Vaccination","63%","196","311","","10/01/2016","03/31/2017"
"150002","METHODIST HOSPITALS INC","600 GRANT ST ","GARY","IN","46402","Lake","Hours of physical-restraint use","0.00","0","7272","","Hours of seclusion","0.00","0","7272","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","Not Available","Not Available","Not Available","1","Alcohol Use Brief Intervention Provided or Offered","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Screening","96.75%","149","154","","Tobacco Use Treatment (during the hospital stay)","0.00%","0","77","","0.00%","0","77","","Tobacco Use Treatment Provided or Offered at Discharge","0.00%","0","51","","0.00%","0","51","","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","63.64%","49","77","","Healthcare Personnel Influenza Vaccination","96%","44","46","","10/01/2016","03/31/2017"
"150004","FRANCISCAN ST. MARGARET HEALTH HAMMOND","5454 HOHMAN AVENUE ","HAMMOND","IN","46320","Lake","Hours of physical-restraint use","3.10","735","9872","","Hours of seclusion","0.14","32","9872","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","72.64%","154","212","","Alcohol Use Brief Intervention Provided or Offered","62.00%","31","50","","62.00%","31","50","","Tobacco Use Screening","98.32%","292","297","","Tobacco Use Treatment (during the hospital stay)","73.72%","115","156","","64.10%","100","156","","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","1","0.00%","0","155","","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","82.43%","258","313","","Healthcare Personnel Influenza Vaccination","99%","229","232","","10/01/2016","03/31/2017"
"150008","ST CATHERINE HOSPITAL INC","4321 FIR STREET ","EAST CHICAGO","IN","46312","Lake","Hours of physical-restraint use","0.97","75.35","3221","","Hours of seclusion","0.00","0","3221","","Patients discharged on multiple antipsychotic medications with appropriate justification","68.42%","13","19","","Alcohol Use Screening","93.94%","217","231","","Alcohol Use Brief Intervention Provided or Offered","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Screening","97.78%","220","225","","Tobacco Use Treatment (during the hospital stay)","45.83%","11","24","","45.83%","11","24","","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","92.11%","105","114","","Healthcare Personnel Influenza Vaccination","53%","40","76","","10/01/2016","03/31/2017"
"150009","CLARK MEMORIAL HOSPITAL","1220 MISSOURI AVE ","JEFFERSONVILLE","IN","47130","Clark","Hours of physical-restraint use","1.32","94.2","2977","","Hours of seclusion","0.13","9.6","2977","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","92.72%","293","316","","Alcohol Use Brief Intervention Provided or Offered","91.67%","11","12","","Not Available","Not Available","Not Available","1","Tobacco Use Screening","97.26%","319","328","","Tobacco Use Treatment (during the hospital stay)","57.14%","28","49","","Not Available","Not Available","Not Available","1","Tobacco Use Treatment Provided or Offered at Discharge","0.00%","0","18","","0.00%","0","18","","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","78.48%","124","158","","Healthcare Personnel Influenza Vaccination","77%","50","65","","10/01/2016","03/31/2017"
"150015","FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY","301 W HOMER ST ","MICHIGAN CITY","IN","46360","LaPorte","Hours of physical-restraint use","0.34","26.02","3161","","Hours of seclusion","0.11","8.34","3161","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","90.84%","238","262","","Alcohol Use Brief Intervention Provided or Offered","75.00%","30","40","","75.00%","30","40","","Tobacco Use Screening","97.95%","335","342","","Tobacco Use Treatment (during the hospital stay)","94.27%","181","192","","71.88%","138","192","","Tobacco Use Treatment Provided or Offered at Discharge","23.91%","44","184","","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","95.22%","199","209","","Healthcare Personnel Influenza Vaccination","99%","89","90","","10/01/2016","03/31/2017"
"150018","ELKHART GENERAL HOSPITAL","600 EAST BOULEVARD ","ELKHART","IN","46514","Elkhart","Hours of physical-restraint use","0.86","57.6","2792","","Hours of seclusion","0.21","14.12","2792","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","100.00%","208","208","","Alcohol Use Brief Intervention Provided or Offered","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Screening","98.09%","205","209","","Tobacco Use Treatment (during the hospital stay)","37.07%","43","116","","20.69%","24","116","","Tobacco Use Treatment Provided or Offered at Discharge","22.73%","25","110","","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","100.00%","225","225","","Healthcare Personnel Influenza Vaccination","100%","20","20","","10/01/2016","03/31/2017"
"150021","PARKVIEW REGIONAL MEDICAL CENTER","11109 PARKVIEW PLAZA DRIVE ","FORT WAYNE","IN","46845","Allen","Hours of physical-restraint use","0.01","1.7","11922","","Hours of seclusion","0.10","28.35","11922","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","96.67%","232","240","","Alcohol Use Brief Intervention Provided or Offered","96.97%","32","33","","81.82%","27","33","","Tobacco Use Screening","99.72%","354","355","","Tobacco Use Treatment (during the hospital stay)","82.74%","139","168","","Not Available","Not Available","Not Available","1","Tobacco Use Treatment Provided or Offered at Discharge","10.13%","16","158","","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","85.82%","224","261","","Healthcare Personnel Influenza Vaccination","78%","507","650","","10/01/2016","03/31/2017"
"150022","FRANCISCAN HEALTH CRAWFORDSVILLE","1710 LAFAYETTE RD ","CRAWFORDSVILLE","IN","47933","Montgomery","Hours of physical-restraint use","0.00","0","1955","","Hours of seclusion","0.00","0","1955","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","88.89%","104","117","","Alcohol Use Brief Intervention Provided or Offered","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Screening","83.48%","96","115","","Tobacco Use Treatment (during the hospital stay)","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","70.97%","44","62","","Healthcare Personnel Influenza Vaccination","100%","16","16","","10/01/2016","03/31/2017"
"150024","ESKENAZI HEALTH","720 ESKENAZI AVE ","INDIANAPOLIS","IN","46202","Marion","Hours of physical-restraint use","1.86","311.98","6977","","Hours of seclusion","2.02","339.08","6977","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","96.63%","459","475","","Alcohol Use Brief Intervention Provided or Offered","Not Available","Not Available","Not Available","7","Not Available","Not Available","Not Available","7","Tobacco Use Screening","92.95%","488","525","","Tobacco Use Treatment (during the hospital stay)","41.98%","110","262","","25.57%","67","262","","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","72.40%","223","308","","Healthcare Personnel Influenza Vaccination","90%","47","52","","10/01/2016","03/31/2017"
"150037","HANCOCK REGIONAL HOSPITAL","801 N STATE ST ","GREENFIELD","IN","46140","Hancock","Hours of physical-restraint use","0.00","0","793","","Hours of seclusion","0.00","0","793","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","100.00%","224","224","","Alcohol Use Brief Intervention Provided or Offered","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Screening","100.00%","227","227","","Tobacco Use Treatment (during the hospital stay)","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","99.15%","117","118","","Healthcare Personnel Influenza Vaccination","96%","23","24","","10/01/2016","03/31/2017"
"150042","GOOD SAMARITAN HOSPITAL","520 SOUTH 7TH STREET ","VINCENNES","IN","47591","Knox","Hours of physical-restraint use","3.05","219.7","3006","","Hours of seclusion","0.00","0","3006","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","77.74%","227","292","","Alcohol Use Brief Intervention Provided or Offered","37.31%","25","67","","37.31%","25","67","","Tobacco Use Screening","97.84%","407","416","","Tobacco Use Treatment (during the hospital stay)","28.15%","76","270","","0.00%","0","270","","Tobacco Use Treatment Provided or Offered at Discharge","0.00%","0","248","","0.00%","0","248","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","98.39%","306","311","","Healthcare Personnel Influenza Vaccination","98%","504","515","","10/01/2016","03/31/2017"
"150046","TERRE HAUTE REGIONAL HOSPITAL","3901 S 7TH ST ","TERRE HAUTE","IN","47802","Vigo","Hours of physical-restraint use","0.13","24.05","7704","","Hours of seclusion","0.02","3.67","7704","","Patients discharged on multiple antipsychotic medications with appropriate justification","92.86%","13","14","","Alcohol Use Screening","100.00%","801","801","","Alcohol Use Brief Intervention Provided or Offered","92.68%","266","287","","91.99%","264","287","","Tobacco Use Screening","100.00%","888","888","","Tobacco Use Treatment (during the hospital stay)","99.33%","596","600","","93.50%","561","600","","Tobacco Use Treatment Provided or Offered at Discharge","90.83%","535","589","","90.83%","535","589","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","100.00%","435","435","","Healthcare Personnel Influenza Vaccination","96%","374","391","","10/01/2016","03/31/2017"
"150047","ST JOSEPH HOSPITAL","700 BROADWAY ","FORT WAYNE","IN","46802","Allen","Hours of physical-restraint use","110.90","15610.27","5865","","Hours of seclusion","0.06","8","5865","","Patients discharged on multiple antipsychotic medications with appropriate justification","100.00%","22","22","","Alcohol Use Screening","99.43%","173","174","","Alcohol Use Brief Intervention Provided or Offered","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Screening","100.00%","164","164","","Tobacco Use Treatment (during the hospital stay)","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Non-Certified EHR Technology","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","98.87%","175","177","","Healthcare Personnel Influenza Vaccination","58%","38","65","","10/01/2016","03/31/2017"
"150048","REID HOSPITAL & HEALTH CARE SERVICES","1100 REID PKWY ","RICHMOND","IN","47374","Wayne","Hours of physical-restraint use","0.51","140.42","11563","","Hours of seclusion","0.33","92.3","11563","","Patients discharged on multiple antipsychotic medications with appropriate justification","46.67%","14","30","","Alcohol Use Screening","98.89%","533","539","","Alcohol Use Brief Intervention Provided or Offered","97.67%","42","43","","97.67%","42","43","","Tobacco Use Screening","99.45%","546","549","","Tobacco Use Treatment (during the hospital stay)","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Treatment Provided or Offered at Discharge","Not Available","Not Available","Not Available","1","0.00%","0","123","","Assessment of Patient Experience of Care","No","","Use of an Electronic Health Record","Paper or Other Form","","Interoperable health information exchanged with HISP","Yes","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","85.02%","261","307","","Healthcare Personnel Influenza Vaccination","44%","36","81","","10/01/2016","03/31/2017"
"150056","INDIANA UNIVERSITY HEALTH METHODIST HOSPITAL (INDIANAPOLIS)","1701 N SENATE BOULEVARD ","INDIANAPOLIS","IN","46202","Marion","Hours of physical-restraint use","7.38","1076.32","6074","","Hours of seclusion","1.46","212.94","6074","","Patients discharged on multiple antipsychotic medications with appropriate justification","Not Available","Not Available","Not Available","1","Alcohol Use Screening","81.94%","236","288","","Alcohol Use Brief Intervention Provided or Offered","86.05%","37","43","","86.05%","37","43","","Tobacco Use Screening","99.19%","367","370","","Tobacco Use Treatment (during the hospital stay)","32.65%","48","147","","26.53%","39","147","","Tobacco Use Treatment Provided or Offered at Discharge","15.71%","22","140","","Not Available","Not Available","Not Available","1","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","Yes","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","93.92%","278","296","","Healthcare Personnel Influenza Vaccination","99%","189","190","","10/01/2016","03/31/2017"
"150058","MEMORIAL HOSPITAL OF SOUTH BEND","615 N MICHIGAN ST ","SOUTH BEND","IN","46601","St Joseph","Hours of physical-restraint use","0.00","0","2891","","Hours of seclusion","0.00","0","2891","","Patients discharged on multiple antipsychotic medications with appropriate justification","0.00%","0","13","","Alcohol Use Screening","87.78%","158","180","","Alcohol Use Brief Intervention Provided or Offered","Not Available","Not Available","Not Available","1","Not Available","Not Available","Not Available","1","Tobacco Use Screening","100.00%","189","189","","Tobacco Use Treatment (during the hospital stay)","53.45%","31","58","","Not Available","Not Available","Not Available","1","Tobacco Use Treatment Provided or Offered at Discharge","32.00%","16","50","","0.00%","0","50","","Assessment of Patient Experience of Care","Yes","","Use of an Electronic Health Record","Certified EHR Technology","","Interoperable health information exchanged with HISP","No","","01/01/2016","12/31/2016","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available"," ","Not Available","Not Available","Not Available"," ","07/01/2015","06/30/2016","Influenza Immunization","97.09%","167","172","","Healthcare Personnel Influenza Vaccination","97%","153","157","","10/01/2016","03/31/2017"
